,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.6816213579150034,-64.21677005704625,-83.30162014313925,19.084850086093,0.005,0.9880251915511881,-84.35325631069246,-84.35325631069246,0.0,0.005,0.9777035001352937,-74.85582080595277,-82.82816843499134,7.972347629038566,0.005,0.7812666735248702,-72.13409937426924,-83.00128131842484,10.867181944155604
1.0,0.035,0.9998787125397617,-6.111649429498042,-6.111649429498042,0.0,0.0075,0.9990547265329848,-22.5073472941574,-22.950375833224935,0.4430285390675337,0.0125,0.999356308665885,-18.65145985915672,-21.01344836224897,2.361988503092249,0.005,0.8677634725137011,-53.71296811175245,-58.289397859716104,4.576429747963651
2.0,0.09,0.9990329899210568,-0.4431991232462985,-13.87725376649357,13.434054643247272,0.09,0.9995976671981713,-0.5381637125836966,-3.9207654364605116,3.382601723876815,0.0375,0.9911359965046058,-8.754168239871836,-20.771837272617468,12.017669032745632,0.005,0.8084113975328014,-39.51189638073251,-58.63154696362403,19.119650582891524
3.0,0.0775,0.995760778594648,-0.8710804319859051,-7.933299066125708,7.062218634139803,0.07,0.9986738977234867,-2.8281568474780245,-12.14482991409023,9.316673066612207,0.0275,0.9568289583611761,-11.715721654990329,-16.322866353952573,4.607144698962244,0.005,0.8179939106179115,-47.09692215304468,-57.800021466541295,10.703099313496615
4.0,0.06,0.9958107788266835,-4.9620197056239235,-5.075804574992764,0.1137848693688408,0.05,0.9994234480770227,-5.8455648082918,-7.789743076711667,1.9441782684198667,0.02,0.9469413417794054,-14.479975724457926,-34.98604129451829,20.50606557006036,0.005,0.7035211330196764,-41.87513318981316,-51.27355813200266,9.3984249421895
5.0,0.06,0.9943955309435022,-4.553269294366044,-10.412848513481354,5.85957921911531,0.045,0.999417767072739,-7.277617686259314,-34.712873457270824,27.435255771011512,0.0225,0.9388076635086191,-12.63075498545049,-28.909628190748307,16.278873205297817,0.005,0.4623866203463286,-38.679062645831415,-56.723718945457364,18.04465629962595
6.0,0.055,0.9917441935599318,-4.438658261080124,-5.978828409697623,1.5401701486174995,0.045,0.9993001959198277,-7.326219498057668,-10.303608415860113,2.977388917802445,0.02,0.8763403067013437,-14.415376136451162,-35.834368483992165,21.418992347541003,0.005,0.2854809957785584,-34.943136480239524,-42.41076587823948,7.467629397999957
7.0,0.0525,0.9909278527326196,-4.962544952102425,-37.02427637285473,32.0617314207523,0.045,0.9995119288465986,-6.987783318625041,-10.24026780946305,3.2524844908380093,0.0175,0.8505870606970345,-15.361277816647668,-50.59331061160399,35.232032794956325,0.005,0.4808710093158529,-37.04652874570234,-40.81650402107363,3.769975275371287
8.0,0.05,0.9905060921449749,-5.650560775111152,-9.0343301602104,3.3837693850992485,0.0425,0.9993203344048551,-7.766993404419206,-10.815081207364095,3.048087802944889,0.0175,0.8545342274770094,-15.74062283412881,-29.85598247150253,14.115359637373718,0.005,0.4959083534843866,-34.3226152260577,-43.67362948006505,9.351014254007353
9.0,0.0525,0.9912953764001932,-5.115314735055529,-11.949331420342462,6.834016685286933,0.04,0.9994757882090494,-8.19888769472364,-10.758615496623445,2.5597278018998058,0.02,0.8623214306192425,-14.35145281847614,-24.04625970515953,9.694806886683391,0.005,0.06923801076245073,-31.347500148490287,-44.3633928476564,13.015892699166113
10.0,0.055,0.9899651690419455,-5.950502684943869,-9.61818338189688,3.6676806969530116,0.04,0.9993368007447286,-8.040466355090865,-27.35434089464035,19.313874539549488,0.0175,0.8459617071339024,-14.48379497186562,-26.992995923828826,12.509200951963205,0.005,0.3257053961540139,-29.418856379940014,-41.97034717595511,12.551490796015099
11.0,0.055,0.9922648128759323,-5.051865482569527,-11.196597399139971,6.144731916570445,0.0425,0.9992615642802793,-7.733402100017091,-8.301541225028883,0.5681391250117915,0.0225,0.8795473079025776,-13.623295364345767,-22.86781000973004,9.244514645384273,0.005,0.24819391289201326,-27.44875693890819,-63.358785089012116,35.910028150103926
12.0,0.0475,0.9899434707050652,-6.323681029834284,-16.47886738243535,10.155186352601067,0.0425,0.9993305241970686,-7.739509916486097,-18.60577697797704,10.866267061490944,0.0225,0.8214052667198642,-13.830233991209989,-55.80755638576395,41.977322394553966,0.005,0.2866961324953932,-29.7076389222822,-47.56807135343158,17.860432431149377
13.0,0.045,0.9901229766240353,-7.081521657846963,-10.866673834703214,3.7851521768562506,0.0375,0.9992267777405439,-8.525700593872564,-11.634971279402484,3.1092706855299195,0.015,0.839070216159947,-17.112404782530493,-19.855250767385222,2.7428459848547284,0.005,0.3387976371838905,-27.90378997813042,-70.74747570852759,42.84368573039717
