,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.004044939858214486,-72.24719895935547,-133.97940008672037,61.7322011273649,0.005,-0.6467916851557565,-116.03360525907321,-118.36402911559871,2.330423856525499,0.005,0.06579124233685342,-96.29508962376478,-127.77252650359469,31.47743687982991,0.005,-0.034037473567574715,-84.98283694973668,-101.15947324188286,16.176636292146185
1.0,0.005,-0.011833727076796472,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,0.14144016140576346,-115.95112564091181,-133.97940008672037,18.028274445808563,0.005,0.23350001534672846,-93.93176204987428,-133.97940008672037,40.047638036846095,0.005,0.03493528049591179,-86.37534564924576,-94.16616228606229,7.79081663681653
2.0,0.005,-0.007618645753895859,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,-0.07712520543736726,-109.79712950984697,-128.31716100366828,18.520031493821307,0.005,-0.07436571074167017,-95.75013961342856,-98.01287744043145,2.262737827002894,0.005,-0.06045369849354288,-85.71053488214648,-104.7856831980759,19.075148315929425
3.0,0.005,-0.028561676469382614,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,-0.28321479885348216,-110.1163278406525,-118.3219680151425,8.20564017449,0.005,-0.02962054168819623,-96.41344112172905,-111.12322787276278,14.709786751033732,0.005,-0.03442050674123588,-85.75735806705475,-105.22121450378691,19.463856436732158
4.0,0.005,0.037838550904116475,-71.22414851040786,-84.28839878591472,13.064250275506865,0.005,-0.501399010055913,-112.95463178147114,-117.58343625851484,4.628804477043701,0.005,0.014790823506272206,-97.10178981388921,-108.4718335673581,11.370043753468892,0.005,-0.025614412756071403,-86.9095469836045,-100.19380889305532,13.28426190945082
5.0,0.005,0.01593645708723098,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.35772346509490416,-110.01163214445802,-127.55130534760573,17.539673203147714,0.005,0.0848597707166458,-96.50674760513782,-104.68241660787969,8.17566900274187,0.005,-0.04526097610581091,-86.42339235719787,-98.47425852415293,12.05086616695506
6.0,0.005,-0.07540708511389382,-71.22414851040786,-133.97940008672037,62.75525157631252,0.005,-0.21315858753820185,-117.07499020126862,-122.00589594056906,4.930905739300442,0.005,-0.07593163276605787,-96.42209245786937,-108.11006346378593,11.687971005916566,0.005,-0.019914661432104297,-86.22322887032688,-93.69834069195953,7.475111821632652
7.0,0.005,0.02060753144451606,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.42066500914689775,-117.82159029160997,-120.12673671644578,2.3051464248358116,0.005,0.074881634590213,-95.75072985047387,-110.88973826976724,15.139008419293361,0.005,-0.018649178550435675,-85.76804080620093,-100.15755813886999,14.389517332669058
8.0,0.005,0.02808043730204187,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,-0.3841078048863384,-113.66637984619453,-133.97940008672037,20.313020240525844,0.005,-0.013322592391170136,-95.64195404045162,-101.70874824634167,6.066794205890048,0.005,0.027070518885378453,-85.90274647013176,-97.71662114696915,11.813874676837386
9.0,0.005,0.016215635512901505,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,-0.17276841314151573,-114.44627732518299,-131.70946081721712,17.26318349203413,0.005,-0.09068972708638394,-95.22285349146743,-133.97940008672037,38.75654659525294,0.005,0.013313467245312184,-86.3341141919779,-95.58176456475154,9.247650372773634
