,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.020701631974003733,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,-0.24713696373526933,-114.56045093070213,-129.3292955901376,14.768844659435473,0.005,0.040928955768715636,-104.96962322910755,-121.136553632193,16.166930403085445,0.005,0.09415450423959709,-90.37130603851104,-112.21023821085558,21.838932172344542
1.0,0.005,0.029080699726339233,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.19688374513533086,-119.55812391352467,-125.68360915765375,6.125485244129081,0.005,-0.009892818081669754,-101.15237381311863,-116.55227638825396,15.399902575135329,0.005,0.013726934209815304,-88.78290319539889,-114.00017315561847,25.217269960219582
2.0,0.005,0.02518378595125775,-70.30899869919435,-84.28839878591472,13.979400086720375,0.005,-0.397904597118073,-116.2970332991347,-123.50411580706137,7.207082507926671,0.005,0.05954355132495107,-102.92318640819252,-111.08577103242672,8.1625846242342,0.005,-0.05589817043131901,-90.29620179735485,-112.40190713365396,22.10570533629911
3.0,0.005,-0.008701630257420595,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,-0.24110676374356604,-117.3600747864282,-125.94434512145614,8.584270335027938,0.005,-0.09139587771652177,-101.45165163737249,-117.7504896539916,16.2988380166191,0.005,-0.06404705246780461,-89.53646679356393,-115.79212603107277,26.255659237508837
4.0,0.005,0.039282264767859724,-70.30899869919435,-90.30899869919435,20.0,0.005,-0.10465047878262951,-115.90647913206156,-126.79334772096668,10.886868588905116,0.005,-0.10260801985436764,-101.49453557028505,-133.90925791730322,32.41472234701817,0.005,0.06001307480593818,-89.78628682682285,-104.97402863445389,15.187741807631042
5.0,0.025,0.1936212114642656,-12.84840245797347,-14.053404559015076,1.2050021010416057,0.005,0.975411942720883,-27.25166203205966,-55.970385494004596,28.718723461944936,0.0225,0.12620448200288245,-12.125077033531557,-19.888196541054338,7.763119507522781,0.005,-0.11010575296600196,-26.34342919704698,-38.81453009639645,12.471100899349473
6.0,0.0225,0.18947417680383083,-13.204674804527091,-23.688555278357782,10.483880473830691,0.01,0.948396211330891,-24.71947697775367,-32.71385677817809,7.994379800424422,0.02,0.04236231333277592,-13.638719504655135,-25.827681924287074,12.188962419631938,0.005,-0.03481269913697223,-26.17838522921089,-35.591695204865914,9.413309975655025
7.0,0.025,0.1671794477438813,-13.366186350926233,-27.423743223954546,14.057556873028313,0.01,0.9428402853846254,-22.65126006651041,-24.680212085237514,2.0289520187271037,0.02,-0.06168938843723801,-14.521535649108602,-19.743074552596592,5.221538903487991,0.01,-0.1135852261898566,-24.956867481615426,-36.307792357967024,11.350924876351598
8.0,0.02,0.16100258758859792,-14.246687601393816,-32.107187787312995,17.86050018591918,0.01,0.9675756355771713,-24.569610884542953,-31.9333021782486,7.363691293705646,0.015,-0.11517799651999844,-16.89656552318105,-24.232788905550834,7.336223382369784,0.005,-0.0619676898318432,-27.368409959755844,-49.65266870899632,22.28425874924048
9.0,0.02,0.417067141872458,-14.448565502274693,-39.378145429631736,24.929579927357043,0.01,0.9749251649226955,-22.572293002548214,-29.166758988872363,6.594465986324149,0.015,0.15129486148990137,-17.39987150627046,-24.68620503565365,7.286333529383189,0.005,-0.2019160366671117,-28.675542761541458,-38.58895507902342,9.913412317481963
10.0,0.0175,0.28630016699704486,-14.62807038303209,-33.53201688444925,18.90394650141716,0.0075,0.9759125291201902,-24.451217526647355,-42.75705911511384,18.305841588466485,0.015,-0.018833651651297433,-17.726128722537137,-41.03170371576151,23.305574993224372,0.005,-0.04481915412395633,-32.44833106081068,-43.01828677223728,10.569955711426601
11.0,0.02,0.2559976010793191,-15.457638011871516,-36.0224035042897,20.564765492418182,0.005,0.9465466169027319,-26.535298161809607,-38.907610774988065,12.372312613178458,0.015,0.005966295303883502,-17.926425354305298,-25.184561407708017,7.258136053402719,0.005,-0.03911419638358197,-32.89270889904308,-39.53279727980918,6.640088380766102
12.0,0.015,0.26955941772131453,-18.19858823044498,-19.810695748397016,1.6121075179520368,0.0075,0.9619981632422029,-25.820586962589807,-30.51723712436942,4.696650161779612,0.0125,-0.0902664237105306,-18.353946439145012,-21.79558653103086,3.441640091885848,0.005,-0.09498652307833486,-34.621827417126894,-57.77785230816779,23.156024891040893
13.0,0.0175,0.19606386701945555,-15.983922181273623,-23.378027528224877,7.394105346951253,0.005,0.9649055887400879,-26.9869813180251,-35.53525347649477,8.548272158469672,0.015,-0.17382791454153615,-18.841366288591267,-27.70394102781866,8.862574739227394,0.005,-0.030931013887139504,-36.637456398415395,-43.329232499956106,6.691776101540711
14.0,0.015,0.34783987913567876,-17.694340842850426,-36.0391878373155,18.344846994465076,0.005,0.9691608173947289,-26.796935183696515,-28.17501909571692,1.3780839120204043,0.01,-0.054226642166046474,-20.5784056260469,-51.60394338616989,31.025537760122987,0.005,0.20725554790195905,-37.84029758135893,-47.4116971330006,9.571399551641669
15.0,0.015,0.3596301680169828,-18.683662593720946,-40.17889805109691,21.495235457375962,0.005,0.9767831603760397,-26.195281131456625,-70.33222980829912,44.13694867684249,0.01,-0.1268012154748694,-20.576998639792535,-36.4849812271449,15.907982587352365,0.005,0.18070607640545666,-37.368676510952824,-51.87286726461434,14.504190753661518
16.0,0.0125,0.37025056069859236,-17.99420492681126,-35.100549030730114,17.106344103918854,0.005,0.9846701539822482,-26.33325797865495,-44.72383707810147,18.39057909944652,0.01,-0.15273747585981956,-21.341487985063043,-32.27828727511695,10.936799290053909,0.005,0.06819608901037555,-39.20731399886937,-55.62925514215416,16.42194114328479
17.0,0.01,0.43180693923018487,-20.38424779585965,-23.852213245467937,3.467965449608286,0.005,0.9766734878983055,-26.666906199892345,-32.02688313966987,5.359976939777525,0.01,-0.05964053460690106,-22.94139382909814,-38.96210463029079,16.02071080119265,0.005,0.08567251563483515,-38.98515097768527,-63.04580881035413,24.06065783266886
18.0,0.01,0.42689466861258113,-20.509829110697662,-26.53605277920001,6.026223668502347,0.0075,0.9794216468261204,-25.812579816124334,-37.71953384824786,11.90695403212353,0.01,-0.1778561397687086,-22.168472403265834,-67.25122482841198,45.08275242514614,0.005,0.08639054603085086,-38.54174013009701,-49.90030400002145,11.358563869924438
19.0,0.0125,0.4558470535189188,-19.053627838863974,-23.512023038441615,4.458395199577641,0.005,0.9886025319452214,-26.732568635094566,-28.9863682455378,2.2537996104432345,0.01,-0.0650701777048518,-23.108162629691115,-51.19383947887946,28.085676849188346,0.005,0.0867621095734623,-38.891010177490884,-46.911312248002666,8.020302070511782
20.0,0.01,0.5053533153538945,-21.999515337009644,-35.85632024851811,13.856804911508465,0.005,0.9875321399265758,-27.150731387250065,-29.67559781431275,2.5248664270626833,0.01,-0.06428247262644442,-24.92723535090706,-28.873867540317583,3.946632189410522,0.005,-0.18548309387859935,-39.52182666241441,-45.365708401517175,5.843881739102763
21.0,0.01,0.35710200153452915,-21.331781787045543,-45.85466927624269,24.522887489197146,0.005,0.9793015725974439,-27.03776340774042,-38.98776003730607,11.949996629565646,0.01,-0.05850283045397923,-23.22115960306279,-44.25693496948078,21.03577536641799,0.005,0.0831087574303651,-40.55804267789895,-52.722300676346336,12.164257998447383
22.0,0.01,0.4018322651637892,-22.03294836380733,-32.117878114370846,10.084929750563518,0.005,0.9768574542038714,-29.37385899965541,-29.642506472365888,0.2686474727104766,0.0075,-0.020394495215511135,-25.733036949487488,-28.167673660568777,2.434636711081289,0.005,-0.13310361278774885,-41.936335746304806,-49.251004705367514,7.314668959062708
23.0,0.01,0.37695050065955443,-21.8440812204582,-31.64938226073039,9.805301040272191,0.005,0.9651206946739874,-29.621516292336878,-34.92375801845961,5.30224172612273,0.01,-0.021992584454627925,-23.724060155311093,-51.89063268157395,28.166572526262854,0.005,0.05060320641020809,-42.8647198030819,-62.76429202264383,19.899572219561932
24.0,0.01,0.44590471065481846,-21.19383463711162,-36.364411844,15.170577206888382,0.005,0.9536940194805811,-27.811431537796306,-42.514856092680226,14.70342455488392,0.0075,-0.09466149273819757,-22.860651743902906,-34.44494791642978,11.584296172526876,0.005,-0.26395331515878007,-42.03078034583288,-57.83531145926996,15.80453111343708
25.0,0.01,0.29262390842207475,-23.048046808772487,-43.1122890523966,20.06424224362411,0.005,0.8904623758410772,-31.803968413890896,-41.170111244090066,9.36614283019917,0.0075,-0.07704608091817627,-24.82800983215293,-39.01336202300357,14.185352190850644,0.005,0.012971560692180844,-41.44672650612606,-55.0183644213811,13.571637915255039
26.0,0.01,0.13468193063206413,-25.06472458966602,-40.48176482250891,15.417040232842886,0.005,0.840542616088912,-34.938140785285384,-44.951633734609835,10.013492949324451,0.005,-0.1844905773812883,-26.4022478428312,-35.67743464677849,9.275186803947285,0.005,-0.22347187499301177,-42.7875617779477,-59.441055047738224,16.653493269790523
27.0,0.0075,0.1265993795775066,-25.369184714363364,-28.915636760962443,3.5464520465990788,0.005,0.8216611399938094,-33.688709830535764,-65.01243003892685,31.323720208391087,0.005,-0.14921682899868652,-27.687945483709584,-61.926113743831564,34.23816826012198,0.005,-0.1177558513815817,-42.08251930523289,-49.64282124658283,7.560301941349934
28.0,0.0075,-0.14400983371111659,-25.807984776433383,-37.28343841923147,11.47545364279809,0.005,0.544727443987191,-38.94060834660983,-40.150072717806246,1.2094643711964181,0.005,-0.19482828890014434,-26.838398874136743,-45.06978412502032,18.231385250883577,0.005,-0.3968955146689485,-42.39595924067792,-49.54078980745965,7.144830566781735
29.0,0.01,0.3333290440781539,-24.214880734939047,-28.482695505249897,4.267814770310849,0.005,0.9295172977525809,-29.717574043747543,-39.9029148846399,10.185340840892355,0.005,-0.22761054204680273,-26.913559182045354,-40.01886360455344,13.105304422508084,0.005,-0.24906624201174596,-44.14127354291154,-61.13865190548847,16.99737836257693
30.0,0.01,0.7165724552894558,-20.79557493270576,-38.39907426268287,17.60349932997711,0.01,0.982971577499746,-23.76316890543537,-35.60025861792563,11.837089712490261,0.01,-0.2125058832099043,-25.11474444048207,-48.13383729026338,23.01909284978131,0.005,-0.301389799007341,-43.65763400775536,-56.3512356673158,12.693601659560436
31.0,0.01,0.8078296301742721,-23.04428260952048,-30.7911759711585,7.746893361638019,0.0075,0.9897835843838669,-25.20928807890018,-43.48117130482913,18.271883225928953,0.005,0.05579563052820356,-26.691378965013378,-39.866058418627894,13.174679453614516,0.005,-0.38705398498213417,-42.80511007163034,-52.07504219441438,9.269932122784041
32.0,0.01,0.8484751229930199,-23.292413227535,-35.790766053293396,12.498352825758396,0.01,0.9941710230349508,-24.938569642836562,-28.598696631409624,3.6601269885730616,0.005,-0.020183496517284575,-26.65577989710527,-39.096064339030264,12.440284441924994,0.005,-0.4430546394627296,-44.576508165773625,-69.80483165523853,25.228323489464906
33.0,0.01,0.8860888017397616,-22.458576900555713,-26.31938040194724,3.8608035013915263,0.01,0.9945099311457225,-23.137633640139427,-32.89751262437718,9.759878984237751,0.005,0.07638535082058645,-27.2646206736498,-58.85634899264967,31.59172831899987,0.005,-0.33867237541676093,-45.345423450092255,-58.508738327587764,13.163314877495509
34.0,0.01,0.8646832885954302,-23.311797055347732,-24.51276191684193,1.2009648614941995,0.0075,0.9952121181690072,-24.66573227482713,-30.44817086740137,5.782438592574241,0.005,0.02325956875414292,-29.585245880464193,-46.820464282520895,17.235218402056702,0.005,-0.31044189492918944,-45.44857543697298,-53.39067580831212,7.942100371339137
35.0,0.01,0.7804016167390786,-24.701984838274242,-28.41259109209836,3.7106062538241176,0.005,0.9874227048205372,-26.034193062812925,-47.03792995071578,21.003736887902853,0.005,0.10385701566123211,-27.768809508106177,-56.62523116800265,28.856421659896473,0.005,-0.36276754661424904,-45.18985998643174,-64.89220305303218,19.702343066600434
