,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.0668226876922086,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,-0.14968012673850883,-119.28093826953963,-127.93115106049414,8.650212790954512,0.005,0.08485915978252496,-105.88533712854314,-129.2779177826439,23.392580654100755,0.005,6.872286294251157e-05,-90.31747670738065,-98.35288346293281,8.03540675555216
1.0,0.005,-0.015332089174904428,-73.40703789890921,-76.32959861247397,2.9225607135647635,0.005,-0.23709096605386965,-116.9820570177306,-133.97940008672037,16.997343068989778,0.005,-0.08879923410086185,-103.74726853937959,-128.02492776536167,24.277659225982077,0.005,-0.03568547874231251,-90.59461721444688,-104.19986028703575,13.605243072588863
2.0,0.005,-0.03870485090202324,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.4016042480390141,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.01442810801806539,-103.59966596594035,-108.89428199572922,5.29461602978887,0.005,0.004001060447041219,-90.93636754529159,-115.71317329805692,24.776805752765327
3.0,0.005,0.009789884940107295,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,0.06513841492669942,-119.80372129674109,-133.97940008672037,14.175678789979287,0.005,0.09474827993339063,-104.70731892548798,-113.10403343245751,8.39671450696953,0.005,0.01918647467302599,-88.39878827863531,-133.31068657628418,44.911898297648875
4.0,0.005,0.012968080090818452,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,-0.07371130285804636,-118.20537044225452,-131.115467643737,12.910097201482472,0.005,0.028012652584878388,-105.30923442472881,-114.19733699175359,8.888102567024774,0.005,-0.024853399150619918,-91.14301961144447,-108.24468293755825,17.10166332611378
5.0,0.005,-0.006321339120943982,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.008522233746245472,-117.65321799859989,-119.33369901419049,1.6804810155906011,0.005,0.04442910539830466,-105.25594467060627,-125.91843447365986,20.66248980305359,0.005,-0.10416070831311229,-90.55186280117013,-93.96104812165127,3.409185320481143
6.0,0.005,0.0005920306617216816,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,0.2050764614881151,-115.4941403878316,-124.00471160918899,8.510571221357381,0.005,0.05511319692294162,-104.63088694847293,-111.23790230668924,6.607015358216302,0.005,-0.00636387440630544,-89.40786232279721,-133.31279618359892,43.904933860801705
7.0,0.005,-0.003150912586475382,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.10281288963225342,-115.89698439620611,-124.34487787485787,8.447893478651764,0.005,-0.05279560495950777,-104.09394896029721,-132.487425271957,28.393476311659782,0.005,-0.04681119342132458,-90.47674425079833,-95.93373658243337,5.4569923316350355
8.0,0.005,-0.019026628260827565,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,-0.053031672056407804,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.03830594922484122,-107.32836233545282,-109.99226317143943,2.6639008359866096,0.005,-0.0060224941434032795,-89.30986154322618,-108.14802086558915,18.83815932236297
9.0,0.005,0.04757563617347349,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.22027301056437645,-118.21244639693177,-126.47956860617363,8.267122209241862,0.005,0.05802714706234089,-104.0409647886917,-111.58784246038016,7.546877671688463,0.005,0.005742825473257269,-89.61988972552767,-100.49916247103418,10.879272745506512
10.0,0.005,-0.0004656349355599062,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.14560504595837973,-116.88663221561501,-128.31071072517196,11.42407850955695,0.005,0.06253727556085754,-104.43320093696909,-108.50974647424187,4.076545537272779,0.005,0.01762882288494092,-91.23746719607203,-106.89968259521876,15.662215399146731
11.0,0.005,-0.026719098229071165,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.009233080954029792,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.0008225468274833906,-104.02814589417827,-120.5776989583897,16.549553064211437,0.005,0.005727189183309891,-89.32380473978084,-97.09662024693475,7.772815507153908
12.0,0.005,-0.02165013750748227,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.06801839320882486,-114.80540901086691,-133.97940008672037,19.173991075853465,0.005,-0.03468020725244015,-105.40625474733571,-114.8232942278117,9.417039480475992,0.005,-0.00417050055268973,-90.54275104770566,-114.03647662402713,23.493725576321467
13.0,0.005,0.059803502212102504,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.2774931569293571,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.097365271712874,-106.28948096740808,-112.85857234214257,6.569091374734484,0.005,0.021314546304911905,-90.42212955120254,-107.9864118068037,17.564282255601157
14.0,0.005,0.9872099212653759,-31.31144461845686,-39.3289334586786,8.017488840221738,0.005,0.963119016420899,-88.68084427524359,-88.68084427524359,0.0,0.005,0.9748482769647607,-37.57090232378403,-37.57090232378403,0.0,0.005,0.8176370933068848,-48.171764286291534,-63.481364083258256,15.309599796966722
15.0,0.005,0.6214702076983206,-26.124061724126882,-41.2426318982536,15.118570174126717,0.005,0.9818299090400048,-31.323566923928947,-43.47992119134857,12.156354267419626,0.005,0.3186760321259376,-29.540610737554076,-39.5107481781062,9.970137440552122,0.005,0.8802388322732949,-42.90414446641597,-57.243136693985235,14.338992227569264
16.0,0.0375,0.99605276441993,-8.139727875122453,-17.92504438333541,9.785316508212958,0.0075,0.9900112984673314,-23.706255771153273,-32.484784701175,8.778528930021729,0.0325,0.9959042696658484,-9.840242798466939,-29.330812673689724,19.490569875222786,0.0225,0.9975002115957697,-13.736567703945116,-36.3845063836284,22.647938679683282
17.0,0.035,0.9691783165107224,-8.369408807858669,-16.020726853451933,7.651318045593264,0.0125,0.9941390990377955,-17.4541186006325,-38.42519476530582,20.971076164673317,0.0325,0.9584366039888451,-10.397083549213523,-30.780820793834426,20.383737244620903,0.0125,0.893998046925512,-18.601417079147428,-63.35122702383087,44.74980994468345
