,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.021515437927205082,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,-0.22818858902595088,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.012202486061877155,-105.56570614645238,-112.36278417927048,6.797078032818092,0.005,-0.03166268419594018,-88.82764695026361,-126.52422467203326,37.69657772176964
1.0,0.025,0.9984885027011313,-12.97144241244438,-21.791795797637548,8.820353385193167,0.0075,0.9994787394607121,-23.5545650496104,-23.5545650496104,0.0,0.015,0.9982424471902159,-14.8813576548044,-24.810830317294315,9.929472662489914,0.01,0.9947504904609291,-24.666283817694566,-51.956275197020034,27.289991379325468
2.0,0.035,0.99832137242935,-8.606042456656267,-14.889014595915544,6.282972139259277,0.015,0.9983143348757034,-16.66276735290246,-24.935086116858855,8.272318763956395,0.025,0.997944889605085,-13.541742542185665,-17.988288459404778,4.4465459172191135,0.005,0.9785935927334151,-36.57601787877438,-64.5431356728303,27.967117794055923
3.0,0.04,0.9955157605814577,-7.373418913037697,-14.348422831112895,6.975003918075198,0.035,0.9979378582802023,-10.186154868751029,-17.17194751275853,6.9857926440075,0.0225,0.990066056503992,-12.05341013148245,-22.346490929660533,10.293080798178083,0.005,0.9127569414739777,-45.17495233131357,-61.182442097524046,16.007489766210476
4.0,0.0475,0.9974276301901516,-6.442610091704819,-20.939098209052972,14.496488117348154,0.045,0.997837442587539,-7.31383746571812,-45.04581962633292,37.7319821606148,0.015,0.9838969160554403,-18.865008604355754,-29.420259184017805,10.55525057966205,0.005,0.8631000839921927,-48.74833692395945,-69.79419102233973,21.045854098380282
5.0,0.0425,0.9941325912085256,-7.6939631638915,-32.842586662886376,25.148623498994876,0.035,0.9967613967871425,-9.337600986054724,-17.364127000396493,8.02652601434177,0.01,0.9565643747158278,-20.21759457899477,-36.39805844365687,16.1804638646621,0.005,0.9128061514377175,-45.31134330780085,-70.80208437119069,25.49074106338984
6.0,0.0275,0.9909692563408539,-11.67170842935372,-17.435997934847773,5.7642895054940535,0.0225,0.9897461188314376,-13.66224788443201,-26.867503865434642,13.205255981002633,0.01,0.9731340811957726,-20.22940481154999,-31.388021036761337,11.158616225211347,0.005,0.9418343973404917,-45.02746414798905,-66.611578081574,21.584113933584945
7.0,0.02,0.9867962772083698,-14.0976281148661,-24.64297412512336,10.54534601025726,0.015,0.9880973579002765,-16.48761309887019,-39.21462517488214,22.727012076011945,0.0125,0.9824871723316552,-19.334507744762952,-34.891118073806446,15.556610329043494,0.005,0.9832942430173451,-29.889172515220338,-49.26037874623305,19.371206231012714
8.0,0.0175,0.9661440400980578,-14.523026476005537,-33.0783104820136,18.555284006008062,0.015,0.9717629091795775,-17.235120855476122,-37.66054669561321,20.42542584013709,0.0125,0.977202031181187,-19.597781959301315,-59.69845004986431,40.100668090563,0.005,0.9762713776367494,-39.68977915181683,-58.8227237084279,19.132944556611072
9.0,0.01,0.943608772054694,-21.270201311892297,-42.96188027867397,21.691678966781677,0.005,0.808250100134314,-31.32011221834375,-43.70036235248865,12.380250134144905,0.01,0.9701600777366659,-22.838106439138684,-52.06079102631765,29.222684587178968,0.005,0.9917817701838689,-28.934646254911836,-48.360828172187745,19.42618191727591
