,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.00162248863495431,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.4323992996639885,-119.45331638796182,-131.12693496156564,11.673618573603818,0.005,0.13843555814772412,-102.90849609817998,-125.682471790982,22.773975692802026,0.005,0.004113130873447336,-89.24075421157035,-97.77337527641285,8.532621064842502
1.0,0.005,0.01691147547179661,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.10849161149894097,-118.18688563968229,-133.29102122557802,15.104135585895733,0.005,0.07855769365387132,-105.52391714322209,-116.85935160882465,11.33543446560256,0.005,-0.10685296415289901,-90.02445525106933,-131.61489934302736,41.590444091958034
2.0,0.005,-0.010093554843796768,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,-0.23364795532724497,-118.05367356576225,-133.97940008672037,15.925726520958122,0.005,-0.06775968910101905,-105.33096500039584,-114.76914311516435,9.438178114768519,0.005,0.06453045397297835,-91.92456788866559,-119.47349462438953,27.54892673572394
3.0,0.005,0.010742443493477498,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,-0.07043516204568012,-117.2639704889228,-133.97940008672037,16.71542959779758,0.005,-0.10756219924228291,-105.2791146372839,-123.76819167223594,18.489077034952047,0.005,0.00017567897112046518,-91.2066748468822,-97.54000674649578,6.333331899613583
4.0,0.005,0.02743393769262432,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.017847604362470203,-119.82948455903076,-130.1067866622461,10.277302103215334,0.005,0.0007662890271527394,-104.81104125628246,-110.33913310187216,5.5280918455896995,0.005,0.025355502293838043,-90.12594248400458,-96.84805037845882,6.72210789445424
5.0,0.0525,0.9954771683437923,-5.48953166239428,-19.71525962373603,14.22572796134175,0.015,0.9987953151362539,-18.00528023306982,-53.60539381689587,35.60011358382605,0.0425,0.9968064289459254,-7.904292466063779,-16.989395582929735,9.085103116865955,0.0175,0.9841119020990565,-14.888445115377104,-29.979014804377833,15.090569689000729
6.0,0.0475,0.9950454721294663,-6.814432032956487,-13.753861439622021,6.939429406665534,0.0125,0.9960169466681817,-17.13574276450246,-33.717833612179724,16.582090847677264,0.0375,0.9963575458353149,-7.074037679833335,-14.422375964367715,7.34833828453438,0.02,0.9818872580591932,-14.346288586186848,-20.267515139217863,5.9212265530310155
7.0,0.0525,0.9964291693146472,-5.369184714363362,-31.937908088188884,26.56872337382552,0.0125,0.9954220868251558,-18.247326245888008,-20.746031035332187,2.4987047894441794,0.045,0.9974097269177431,-7.120499312219857,-8.49020833807068,1.369709025850823,0.0175,0.9869471081180683,-15.624489654716067,-40.300245634331574,24.67575597961551
8.0,0.0575,0.9959836100925371,-4.8124535904322725,-26.264683183171726,21.452229592739453,0.01,0.9973029950913833,-20.2974467902334,-35.398919721267475,15.101472931034074,0.045,0.9971117934053579,-6.272599867624652,-20.082394381607628,13.809794513982975,0.015,0.981748956809713,-16.766787362544243,-26.668063288371954,9.901275925827711
9.0,0.0425,0.9923496956706088,-6.146623884428823,-31.24347196584827,25.096848081419445,0.01,0.9975640791679262,-20.316854237530578,-28.806142740978025,8.489288503447447,0.0375,0.994257855092413,-8.601957206777515,-24.575056897589146,15.973099690811631,0.0125,0.9712928095460787,-17.82109197189318,-28.689579548315407,10.868487576422229
10.0,0.03,0.9837979680593473,-11.100534557637767,-26.915510018018217,15.81497546038045,0.01,0.997235533356489,-21.577452445245772,-23.86694891732425,2.289496472078479,0.0225,0.9836236706406735,-12.12497123129981,-39.60132564078125,27.476354409481438,0.01,0.9660837305647446,-20.29337277128574,-34.714886368637906,14.421513597352167
11.0,0.0375,0.9877457380760422,-8.81047675671525,-14.67963584235839,5.86915908564314,0.01,0.9952478333782493,-22.58747205805568,-25.872080497358617,3.284608439302936,0.0325,0.9888839242121382,-9.965418039313267,-15.48851725699814,5.523099217684873,0.015,0.9760999997906018,-17.42343939953296,-28.484412675777584,11.060973276244624
12.0,0.0375,0.9864613615768859,-8.525738711895718,-30.78199911912889,22.25626040723317,0.0075,0.9969578443141286,-23.159144654092273,-33.13880385071456,9.979659196622286,0.03,0.9869158392207943,-10.266325753769141,-71.26718204107598,61.000856287306846,0.02,0.9781336449411311,-16.36175954400653,-40.20780716611496,23.84604762210843
13.0,0.035,0.9905244013586377,-9.216737608056603,-19.93871990163661,10.721982293580007,0.01,0.9944179240056004,-23.398669729042684,-27.771195888374468,4.372526159331784,0.03,0.9922205003685369,-9.623898456861868,-30.586991210431624,20.963092753569754,0.015,0.9779511031438389,-17.821354567854513,-28.118560108148113,10.2972055402936
14.0,0.0325,0.9911126062732207,-9.58041338666086,-36.612091466306104,27.031678079645246,0.005,0.998735878997414,-26.781112660955845,-47.02386547931763,20.242752818361783,0.0275,0.992746749345891,-11.168575308157973,-37.03332404080395,25.864748732645975,0.015,0.9785947269738203,-19.326193619151443,-66.41506604974603,47.08887243059459
15.0,0.045,0.9914328824228102,-6.360630548993989,-20.0233577419868,13.662727192992811,0.01,0.9990208473361135,-24.840113037922123,-24.840113037922123,0.0,0.0325,0.9920389401817654,-9.87359614751954,-16.839763887003002,6.966167739483462,0.025,0.9835424799480562,-13.727009297109037,-23.33259053754596,9.605581240436925
16.0,0.05,0.9920226002307653,-6.219002215771332,-84.28839878591472,78.0693965701434,0.015,0.999146166494987,-16.614282776370427,-20.046548929434547,3.43226615306412,0.035,0.993100423030309,-9.321453696593615,-17.732172362320885,8.41071866572727,0.0175,0.9744481483544176,-16.454635862583235,-35.18221279938128,18.727576936798048
17.0,0.0475,0.9936615389495835,-6.230399954301831,-28.09047385386595,21.86007389956412,0.0175,0.9983658662176081,-16.093847296660716,-30.32417064363797,14.230323346977254,0.0375,0.9944827137116926,-8.759098748502502,-30.305682488862193,21.54658374035969,0.015,0.9791918442107649,-16.540496574227554,-33.35086374838447,16.810367174156916
18.0,0.02,0.9987518612111416,-13.90759801294784,-47.263231811533224,33.35563379858539,0.0125,0.9977188614479124,-19.90562042958839,-50.51983817750606,30.61421774791767,0.0175,0.9985717121972942,-16.17285777310526,-31.523878772336367,15.351020999231107,0.005,0.9950241013572124,-26.926767677265243,-39.187949878783655,12.261182201518412
19.0,0.0125,0.9999430882085072,-17.13160685515511,-29.193789405439663,12.062182550284554,0.005,0.9998558669204091,-31.938890363254345,-34.02583212209102,2.086941758836673,0.0125,0.9999935215589549,-19.474872225553487,-33.68739288513442,14.212520659580935,0.005,0.9992949511700268,-28.78773038532526,-43.302037916535696,14.514307531210434
20.0,0.04,0.9903599473153861,-8.153948724391109,-18.15132381205456,9.997375087663452,0.005,0.9984228188324816,-28.039843187062495,-28.039843187062495,0.0,0.03,0.9916534182273472,-11.023144674522792,-14.22100454768589,3.1978598731630985,0.0225,0.9844771790680785,-13.084414795470762,-24.972457731834336,11.888042936363574
21.0,0.045,0.9902650445957293,-7.374657984314843,-13.39835634932285,6.0236983650080065,0.015,0.9986430253117302,-17.71013947179419,-32.86924323305677,15.159103761262582,0.035,0.9912260143825683,-8.1265669090985,-25.592963379967593,17.466396470869093,0.0175,0.9720741468788784,-16.340736647793257,-21.544625087271434,5.2038884394781775
22.0,0.05,0.9922068154395979,-4.917338977862096,-12.714468766402813,7.797129788540717,0.015,0.9978986984976786,-18.751297321962877,-23.463091081469795,4.711793759506918,0.045,0.9937206689152459,-6.8052925831168265,-16.65430823888886,9.849015655772032,0.015,0.9784142236656492,-16.62311514645261,-37.45354365918192,20.83042851272931
23.0,0.04,0.990081507152846,-8.198113784262897,-33.5068768100592,25.3087630257963,0.0125,0.9991177563411087,-18.92489216209833,-21.357771810581575,2.432879648483244,0.0325,0.9912629387601014,-9.931411414815859,-28.815158735449945,18.883747320634086,0.0175,0.9785277109082018,-15.918700290528902,-24.407444037793198,8.488743747264296
24.0,0.0375,0.9904420204508487,-9.016095803355629,-23.57980402222377,14.56370821886814,0.0125,0.9982929804364766,-19.26417252606396,-38.59564202455711,19.33146949849315,0.03,0.9919005093881611,-10.5374966857546,-15.18198052699929,4.644483841244689,0.015,0.979235180114697,-17.681571444647652,-51.7372902596036,34.055718814955945
25.0,0.0425,0.9926290187578061,-7.954295112584427,-22.511507531374647,14.55721241879022,0.0075,0.990025225241392,-25.934414608582948,-25.934414608582948,0.0,0.04,0.9949755304922763,-7.624079868235858,-21.180410386161412,13.556330517925554,0.015,0.9745076216325036,-18.284535701706343,-21.56955241707644,3.285016715370098
26.0,0.035,0.9898711293503251,-7.993461176015093,-15.643448020542722,7.649986844527629,0.02,0.9987395985334702,-15.99450503768697,-38.817881301200785,22.823376263513815,0.0275,0.988316531987732,-10.81714004433816,-17.32205879482469,6.504918750486532,0.015,0.9725911001311924,-18.029621172303344,-40.79527965744218,22.765658485138836
27.0,0.035,0.990046499216837,-9.272832812852528,-17.517276965725827,8.2444441528733,0.015,0.9983806486754677,-16.86828263279047,-36.00442013645471,19.13613750366424,0.03,0.9862635093773028,-10.80422007511374,-12.839558769610031,2.035338694496291,0.015,0.9757460357518861,-19.103750551031375,-29.43545475430494,10.331704203273564
28.0,0.035,0.9880024470652451,-8.796599780618843,-29.004876138108116,20.208276357489275,0.015,0.9978343787116629,-18.686116145939444,-20.721222616954922,2.035106471015478,0.025,0.9869469073052264,-12.35261486528268,-25.85989941035836,13.507284545075679,0.015,0.9687066055110947,-17.085086493622562,-23.205495232519972,6.12040873889741
29.0,0.025,0.984741904183493,-12.844912513653544,-41.15136076451451,28.306448250860964,0.01,0.9991037551723946,-20.71008431483962,-51.19832429276531,30.488239977925687,0.02,0.9862825737799936,-14.327897053538683,-56.26236327602979,41.9344662224911,0.0125,0.9573651843569273,-19.992610712242957,-78.56792949584906,58.5753187836061
30.0,0.0425,0.9917266855828087,-7.888312649748376,-19.108473720936512,11.220161071188137,0.005,0.9975292437902642,-30.089006335904244,-38.66532169618192,8.576315360277675,0.0325,0.9930021440597505,-10.110828705698305,-11.235400150907935,1.1245714452096305,0.0225,0.981778487596893,-13.177172645296846,-14.237236342293485,1.0600636969966395
31.0,0.04,0.9898790242756695,-8.03347302245373,-14.688259926771721,6.654786904317991,0.0175,0.9989559815769011,-15.486632828247128,-31.76758548966259,16.280952661415462,0.0325,0.9887977235484685,-9.536880760446655,-24.757301807130368,15.220421046683713,0.02,0.9736636664954298,-15.253774458744244,-43.78628006585161,28.53250560710736
32.0,0.04,0.9930931896080127,-8.181100636585828,-34.32218771012272,26.14108707353689,0.02,0.9991871032796856,-16.178008821601534,-16.715534196349417,0.537525374747883,0.0325,0.992916812039534,-9.412439125558441,-22.37210946498628,12.95967033942784,0.015,0.9765801895508853,-17.141446847256915,-26.11859670188644,8.977149854629523
33.0,0.0175,0.99758367128701,-14.789512076606977,-34.877249081569246,20.08773700496227,0.0125,0.9995534960126382,-16.71628010879829,-54.03448988886921,37.318209780070916,0.0175,0.9980956860293568,-16.228564199132435,-36.91526646448943,20.686702265356992,0.005,0.9907629706354392,-26.559199243792477,-44.947850898861134,18.388651655068657
34.0,0.01,0.9999015734081828,-20.149184202800527,-38.44327735878521,18.294093155984683,0.005,0.999901045086396,-30.394188764976235,-39.06848847018261,8.674299705206373,0.01,0.9999291678378085,-21.447429018414997,-29.192866864271675,7.745437845856678,0.005,0.9996581829387754,-28.39370190548315,-36.57588333560738,8.182181430124228
35.0,0.04,0.9925474429484256,-8.325748840622463,-33.60787666479203,25.282127824169567,0.005,0.9983976073879283,-31.49821304341581,-35.33867104782562,3.840458004409811,0.03,0.9941288969805185,-10.599058236236408,-14.947755277353727,4.348697041117319,0.0175,0.9810871894145423,-14.481787290231365,-50.00946920975377,35.5276819195224
36.0,0.045,0.9897711383093032,-7.410046025786886,-10.150630886282379,2.7405848604954928,0.0175,0.9989191406381883,-15.688655804696266,-21.207288342777805,5.518632538081539,0.0325,0.9888141934801018,-9.713576630295979,-27.583571424409396,17.869994794113417,0.025,0.9736977991471322,-13.44669548706232,-37.12503397370813,23.678338486645806
37.0,0.04,0.992994496578121,-8.877985911855717,-19.527476723338822,10.649490811483105,0.015,0.9976022595936515,-16.56228829610484,-20.40229759867584,3.8400093025710014,0.0325,0.9928541976558457,-9.295057857418124,-28.80543401776007,19.51037616034195,0.015,0.9751098924405392,-17.00777010386246,-32.940890117904836,15.933120014042377
38.0,0.0475,0.9922601842532154,-5.39578474878917,-26.615170082842383,21.219385334053214,0.015,0.9985954379092838,-17.09260360200702,-20.3011533603101,3.2085497583030786,0.0375,0.9933672683472852,-8.3081369378034,-28.84156262381138,20.53342568600798,0.015,0.9765617440873834,-17.185500369596255,-42.794620100147995,25.60911973055174
39.0,0.035,0.9904535934684457,-9.87281315874756,-40.85386971285011,30.98105655410255,0.0125,0.9992250433463782,-18.128308765006448,-33.69118838682081,15.562879621814364,0.03,0.9917119441225225,-10.528222136908369,-26.391482348139878,15.863260211231509,0.015,0.9788591465295866,-17.725086854636587,-36.02908778468041,18.30400093004382
40.0,0.0375,0.9931420015640313,-8.056228486824509,-28.747115691066142,20.690887204241633,0.005,0.9920764154972886,-26.49824674289546,-44.42693355738587,17.928686814490412,0.04,0.9956027165596082,-7.940812553177156,-44.40215462138675,36.461342068209596,0.015,0.9732021503674015,-18.178645091909974,-21.795976405290872,3.617331313380898
41.0,0.0375,0.9900871222192278,-9.044583987554468,-16.41864962297123,7.374065635416763,0.0175,0.9990324467268029,-16.304583664116937,-16.64727698447875,0.3426933203618141,0.0325,0.9881025043516379,-10.430989242809677,-30.903041003966635,20.47205176115696,0.015,0.9712617697447442,-17.045575915370367,-35.327487429261794,18.281911513891426
42.0,0.035,0.9893267392384143,-9.802881393898952,-20.836340161717537,11.033458767818585,0.015,0.9981921906552497,-16.6780487496939,-33.0347420731053,16.3566933234114,0.0275,0.9850045993868853,-11.791879599270015,-31.596099293187272,19.804219693917258,0.0125,0.9725933492640729,-19.689276095797744,-42.70244323497054,23.013167139172793
43.0,0.035,0.988228159825475,-9.025831249931995,-25.329926389280203,16.304095139348206,0.0125,0.9988718509395982,-17.471791639069327,-22.996239134258335,5.524447495189008,0.025,0.9870648636718977,-12.652557871041894,-32.87869018596675,20.226132314924854,0.015,0.9698365745959313,-17.011249803878556,-44.64388740225894,27.632637598380384
44.0,0.0275,0.9833821731513698,-11.312419520488085,-40.9125583796311,29.600138859143016,0.01,0.9988998910851608,-20.593414077321057,-28.582486698923173,7.989072621602116,0.0225,0.985151945408022,-12.75938922447946,-35.70999402452449,22.95060480004503,0.0125,0.955040808210947,-19.89212996850678,-32.53989004108953,12.647760072582749
45.0,0.0425,0.9925951002197683,-7.572051700045277,-17.16788164205228,9.595829942007002,0.015,0.9983206667954776,-15.673467897052653,-16.46117970676687,0.7877118097142173,0.035,0.991714386382893,-8.396769669738726,-30.31407038558752,21.917300715848796,0.01,0.9725784441680974,-20.38439247950162,-26.332931159875574,5.948538680373954
