,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.032372721651802126,-63.074441978842486,-76.32959861247397,13.255156633631486,0.005,0.8313255997909299,-102.19764058170684,-117.62119352506352,15.423552943356682,0.005,0.06855101180214425,-70.33708837347974,-73.0439642642679,2.7068758907881545,0.005,0.02054215314782712,-64.568938398534,-73.3406639429028,8.771725544368792
1.0,0.005,-0.22701137273871871,-67.3864379856296,-80.76657360480111,13.380135619171512,0.005,0.7570102079020788,-110.59157078815298,-126.73388372244861,16.14231293429563,0.005,-0.30092878021560987,-72.36268154373894,-84.57848433302024,12.215802789281298,0.005,-0.18236284552694404,-68.2085971174844,-85.53486523935278,17.32626812186838
2.0,0.005,-0.01278935810369515,-68.03013165305762,-78.2677988726351,10.237667219577474,0.005,0.26862132587351095,-108.3667666929665,-124.71905271569726,16.352286022730766,0.005,-0.07059816472377463,-69.9038228352548,-82.35084136960944,12.44701853435464,0.005,0.06413185125059719,-71.5263250618755,-95.1271602220924,23.600835160216903
3.0,0.005,0.03425757295615353,-68.72537377824186,-133.97940008672037,65.25402630847852,0.005,0.4923585035536897,-114.29879985488485,-117.86878898026627,3.5699891253814258,0.005,0.10855880361940094,-70.77196450652355,-94.31221742696856,23.540252920445013,0.005,-0.03130286851721617,-71.34046454405946,-95.75476042959123,24.41429588553177
4.0,0.005,-0.273964979576273,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.24691332273015307,-108.59133741293734,-111.30453438929672,2.7131969763593844,0.005,-0.3008293705162439,-81.2896892049491,-119.6995104609259,38.409821255976794,0.005,-0.28672112982387443,-76.80035962647514,-99.7924155786337,22.99205595215855
5.0,0.005,0.33988553452920833,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.93082373668225,-103.38256981409944,-109.39089797012218,6.008328156022742,0.005,0.15288509301893355,-95.85112035900968,-133.97940008672037,38.12827972771069,0.005,-0.03767239937756461,-91.56144707218438,-133.97940008672037,42.417953014535996
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9974536714989013,-109.19354113643232,-119.70668894590112,10.513147809468805,0.005,0.9938978055535449,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.6404200213969812,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982624866880616,-119.56540631116792,-133.97940008672037,14.413993775552456,0.005,0.9830742581616814,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8191031054737479,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9981129339950261,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9928177607667784,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.7042677071176373,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9969190069044868,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9887003867636848,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.995119779960674,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.989260975773219,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9959189320924551,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9925677286709786,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9976624392065296,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9835950909167677,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9983097614180196,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9938766359743346,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9980917590896218,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9822694840656526,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9968569136679629,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9932216416182463,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.005,0.4086192730774325,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9366957848499233,-102.0637065449715,-123.24841397889134,21.18470743391984,0.005,0.21097446351872698,-94.57039989609927,-121.67285773435223,27.10245783825296,0.005,0.08376185718421855,-91.47934366885858,-98.55271943099547,7.073375762136891
17.0,0.0225,0.017888178512095503,-13.52824123142824,-19.891471065427517,6.363229833999277,0.005,-0.9478671820853006,-59.492485005592684,-59.821172587248626,0.3286875816559416,0.015,0.07425047284886499,-16.88684552133945,-21.582175723566607,4.695330202227158,0.0125,-0.09626656617662736,-19.255753417336265,-23.92760484385443,4.671851426518163
18.0,0.0275,0.03504806140208613,-11.414411493128442,-29.402539123461207,17.988127630332762,0.005,-0.2488773992048927,-55.14434222467063,-64.3547936048893,9.210451380218664,0.02,0.06557422050324765,-14.186176386415044,-61.9626535363238,47.77647714990876,0.01,-0.11866462979577547,-20.258620314217183,-32.611165585508225,12.352545271291042
19.0,0.02,0.08060747989651744,-14.208501810598253,-43.22682991624633,29.018328105648077,0.005,-0.08217578089136623,-50.93379096155634,-78.48097700603509,27.54718604447875,0.0175,0.11454680356665328,-15.583085003513856,-25.654947299462634,10.071862295948778,0.01,-0.11234989028526196,-20.4029712449521,-36.60679761772797,16.203826372775872
20.0,0.015,0.14374894660751272,-17.706545842008115,-28.419576126361463,10.713030284353348,0.005,0.3874840101700296,-53.28328806148485,-73.14393700280843,19.860648941323575,0.015,0.2359646680684625,-18.294966591613136,-29.0654091307252,10.770442539112064,0.01,-0.122708814159677,-23.067814180415382,-40.671764456082215,17.603950275666833
21.0,0.015,0.040967357050912215,-18.94496421785446,-25.679606890580725,6.734642672726267,0.005,-0.13384933685240827,-63.64246431721202,-76.87850838936384,13.236044072151827,0.01,0.07894137972490424,-20.20779065257834,-53.751370217384704,33.543579564806365,0.01,-0.06656005688967204,-24.872670106515056,-43.74244896769743,18.869778861182372
22.0,0.01,-0.22632432542062586,-22.260331774808115,-66.78717351808073,44.52684174327262,0.005,-0.17357336691874387,-65.35557410932385,-75.85102811903593,10.495454009712077,0.01,-0.2691684347476576,-20.76582347213283,-36.17529483542979,15.409471363296959,0.005,-0.10566975485655226,-26.47162430722473,-42.202682001397456,15.731057694172726
23.0,0.0075,-0.025659458733145096,-25.766697047411853,-33.44434313723417,7.677646089822318,0.005,0.026859871260055252,-65.2449008975192,-77.9120719046804,12.667171007161201,0.005,-0.006901250996834836,-26.926003000448276,-33.411255221958854,6.485252221510578,0.005,-0.016952659086294303,-31.148091980522334,-38.805988307290406,7.657896326768071
24.0,0.0075,0.0297251043396167,-25.553098833715904,-37.302848236555626,11.749749402839722,0.005,-0.39282750510109216,-70.51991774830859,-79.19864603041975,8.678728282111166,0.005,0.05138896602985358,-26.87614236701161,-39.79520236195229,12.919059994940682,0.005,-0.06935708958124533,-32.21621984145559,-62.81744306112218,30.601223219666586
