,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9940508025665783,-58.94496421785445,-66.78717351808073,7.842209300226287,0.005,0.9965395899524709,-59.79179857002735,-70.26243696643233,10.47063839640498,0.005,0.9810055473088006,-63.57120961436258,-112.16700681633041,48.595797201967834,0.005,0.8326555917243271,-65.96306156880499,-84.89327986148282,18.930218292677836
1.0,0.005,0.9575375804464694,-49.17090167246491,-90.30899869919435,41.13809702672944,0.005,0.9964830543343914,-60.90568690475124,-63.72725640968085,2.821569504929606,0.005,0.9473421887609507,-74.743800541437,-82.2224397781464,7.478639236709398,0.005,0.9689459530930498,-58.78398328006631,-75.25715162972502,16.473168349658707
2.0,0.005,0.9703886656074584,-56.505077098624085,-90.30899869919435,33.80392160057026,0.005,0.9935848221414788,-63.25690966684013,-66.3316457442703,3.074736077430174,0.005,0.8314739701795671,-80.1485033452648,-92.12495779281555,11.97645444755075,0.005,0.9670861982876013,-64.58566471258854,-77.4746980058623,12.889033293273755
3.0,0.005,0.9639307073057589,-58.053321564799646,-133.97940008672037,75.92607852192073,0.005,0.9909513941971569,-64.54225479250304,-79.52543308568558,14.983178293182533,0.005,0.6871847339990963,-84.59287876208393,-90.81490025192653,6.222021489842604,0.005,0.952108369725624,-68.41603341590287,-81.44008217638842,13.024048760485542
4.0,0.005,0.9650521483564815,-62.009531739778,-69.48114499602985,7.471613256251857,0.005,0.9881151427746516,-68.35101187344021,-81.83855092798157,13.487539054541358,0.005,0.6629021721836016,-87.72112350405214,-94.95350758069476,7.232384076642617,0.005,0.9586778555881879,-69.75633388652228,-117.43981843733334,47.68348455081106
5.0,0.005,0.9592456493974281,-64.28839878591474,-73.40703789890921,9.118639112994472,0.005,0.9866681367961329,-70.72323389878082,-73.95479249276714,3.231558593986321,0.005,0.5196434221220053,-85.38436567578295,-89.2863931893843,3.902027513601354,0.005,0.9436801586445099,-71.92372888905375,-77.26936614665247,5.3456372575987245
6.0,0.005,0.9336505922714323,-47.70232332929424,-56.15759517723562,8.455271847941383,0.005,0.9962047969453074,-62.23705140345467,-65.65421940837989,3.417168004925216,0.005,0.9512598831155571,-49.80828532610619,-84.24516334951034,34.43687802340415,0.005,0.9190664448912382,-48.21475534067603,-60.462570850679434,12.247815510003406
7.0,0.005,0.91343043286128,-49.17090167246491,-68.03013165305762,18.859229980592715,0.005,0.9905820632224285,-58.52692861995418,-78.72166409479345,20.194735474839277,0.005,0.8135251135547601,-50.98110571801841,-80.64835603054968,29.667250312531266,0.005,0.9308816295561837,-54.639431316148055,-81.23139677956844,26.591965463420387
8.0,0.005,0.9845260691761788,-57.24474842368748,-68.03013165305762,10.78538322937014,0.005,0.9963725513263499,-62.60593785180952,-65.98647325483851,3.3805354030289934,0.005,0.9378639507126985,-65.77247032616705,-83.12562220580325,17.3531518796362,0.005,0.9411613483057065,-66.38722957967013,-84.73368497150217,18.346455391832038
9.0,0.005,0.9788693102281267,-64.28839878591474,-76.32959861247397,12.041199826559236,0.005,0.9944817780378447,-66.00720214601323,-85.61976007931267,19.612557933299442,0.005,0.831276394187395,-75.79849975341465,-120.59316694884787,44.79466719543322,0.005,0.7537392850746928,-77.0375319631676,-81.32918102771428,4.291649064546689
