,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,0.27783452577921186,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.9987027766180185,-97.91433428660099,-99.11543510542765,1.20110081882666,0.005,0.7489630917657226,-93.63566601973454,-108.24653866819135,14.610872648456805,0.005,0.05054286735677159,-92.35343457938626,-104.38269216836174,12.029257588975483
4.0,0.005,0.17270206310811656,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.7413139471460146,-99.12295306331723,-102.64393174872686,3.5209786854096308,0.005,-0.02044542866868695,-100.5799582808605,-100.5799582808605,0.0,0.005,0.005397469896521429,-91.35048245296842,-112.57241037881414,21.22192792584572
5.0,0.0275,-0.383665286829471,-10.981470237415898,-15.374758248861149,4.39328801144525,0.005,-0.8562248745290213,-42.5049995714356,-50.82392992471199,8.318930353276393,0.0325,-0.3806946794744733,-10.064006871938325,-11.020393380945189,0.9563865090068635,0.005,0.4346259909531424,-33.97375383060401,-44.11639301677447,10.142639186170456
6.0,0.0375,-0.0245241880106005,-9.020587730522486,-12.267852483025026,3.2472647525025398,0.005,0.8541568111169396,-31.74416451369534,-55.98706264334002,24.24289812964468,0.0425,-0.03676276682274051,-7.9521835850407,-38.87302738323142,30.920843798190717,0.005,0.49439637519920326,-26.206805713562154,-49.66944543533018,23.462639721768028
7.0,0.0275,0.1790925054210928,-11.719598375644566,-18.867838900668264,7.148240525023699,0.005,0.23184177194751446,-42.399445345228706,-56.621196702450696,14.22175135722199,0.03,0.1768467636786318,-10.88755839827886,-34.74684870882642,23.859290310547557,0.005,0.6703899515576726,-39.87532666044707,-50.596302691382895,10.720976030935823
8.0,0.0225,0.47419017802862473,-13.520694845516486,-33.722923242573856,20.202228397057368,0.005,-0.8344526376789618,-54.63522304406344,-63.43495690606047,8.799733861997034,0.0225,0.4818400155740213,-12.95776689093325,-25.940114777198797,12.982347886265547,0.005,0.758821639757279,-39.62182860227441,-47.1788150098438,7.55698640756939
9.0,0.02,0.40505607428662904,-14.600978199346606,-38.289540785459394,23.688562586112788,0.005,-0.8856014790171709,-56.03002037909816,-71.17301748173608,15.14299710263792,0.02,0.41698530600451744,-14.291245627095533,-21.12948118010568,6.838235553010149,0.005,0.7420575963121139,-41.89084748377881,-72.91553582838897,31.024688344610155
10.0,0.0175,-0.30383744085738257,-15.919058366982723,-19.275120396649864,3.3560620296671413,0.005,-0.33415882184318263,-52.129969635705194,-55.46333565316494,3.3333660174597455,0.0175,-0.31843888481711075,-15.355693923175595,-19.78271469988184,4.427020776706245,0.005,0.4394225762158288,-43.13637060158016,-88.78671676911554,45.65034616753538
11.0,0.02,0.0961878743570198,-14.452763274231419,-24.253724529734725,9.800961255503307,0.005,-0.19838726066160725,-51.72636278129285,-65.53443541197706,13.808072630684208,0.02,0.09066948568599294,-14.370197464206584,-25.98788833696863,11.617690872762047,0.005,0.74301416999577,-43.92470421133949,-51.69034198499066,7.7656377736511715
12.0,0.02,0.020760345186576372,-15.280337062807408,-34.25352419335484,18.973187130547434,0.005,0.12562196205900947,-52.870351721846504,-71.39746060109667,18.527108879250164,0.02,0.0160376462682627,-15.71200373930675,-23.64305812368038,7.931054384373629,0.005,0.6079242426355327,-45.238452171382264,-57.7486794271686,12.510227255786333
13.0,0.015,0.14023191389020329,-17.945944031623966,-35.66112350273499,17.71517947111102,0.005,0.1072784649609075,-53.393974455908975,-75.37779491450887,21.983820458599894,0.015,0.13851060554111178,-17.118916275080906,-55.0459665215617,37.927050246480796,0.005,0.5586165256740558,-46.37891575520818,-59.0926735704285,12.713757815220319
14.0,0.015,0.09989817156324483,-18.63369133349436,-42.81403177899228,24.18034044549792,0.005,-0.06805359902002206,-53.98331519491968,-63.92980330393059,9.946488109010907,0.015,0.1171162304466152,-17.884585366314194,-29.102266279377552,11.217680913063358,0.005,0.6482973773955368,-43.880949437353934,-79.11648130058741,35.235531863233476
