,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.2848407238997131,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9646519780230448,-101.70189554765783,-110.01954261971318,8.317647072055351,0.005,0.1675412998528231,-94.55350617936162,-112.06253894238598,17.509032763024365,0.005,0.020959259451955706,-88.8822487194432,-99.12584078291546,10.243592063472263
2.0,0.005,-0.017287980862318576,-84.28839878591472,-84.28839878591472,0.0,0.005,0.5281432623932046,-105.83149177687636,-107.1360066174929,1.3045148406165339,0.005,0.02954786000678549,-96.51247963857205,-107.08727983249437,10.574800193922329,0.005,0.048389177854069466,-88.7847849814442,-94.95468100865031,6.169896027206107
3.0,0.005,0.037561240413074126,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.1539743155056799,-103.53796818309769,-106.24019785704647,2.7022296739487786,0.005,-0.09838726389024594,-94.22013811410338,-99.52487526627137,5.304737152167988,0.005,0.041820990936356876,-87.1675457271451,-97.70748131549645,10.539935588351355
4.0,0.005,-0.02107056643076381,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.2874594761230955,-105.39473067225275,-123.85485481205217,18.46012413979942,0.005,0.09567019527192036,-96.76676646993491,-104.03304194389153,7.266275473956625,0.005,-0.02947984564018692,-81.6008366021299,-102.44614043785128,20.84530383572138
5.0,0.005,0.9995452375884802,-33.174420891536705,-38.03216226167297,4.857741370136267,0.005,0.9958307011677363,-44.95928514133894,-44.95928514133894,0.0,0.005,0.9970723280045174,-58.52925559288707,-74.070587303179,15.541331710291928,0.005,-0.04241825134274389,-78.62784825525839,-81.49906927504719,2.8712210197888055
6.0,0.1,0.9570027137209357,0.0,-0.2985061439908492,0.2985061439908492,0.1175,0.9964134753488658,1.5417108869224339,0.6951779276761809,0.8465329592462529,0.0775,0.6693930496656013,-2.2519797910708657,-15.353188268075764,13.101208477004898,0.02,-0.1462191802499296,-14.446357167798109,-30.33019902495471,15.8838418571566
7.0,0.1,0.9802676851560393,0.0,-0.14109803653329786,0.14109803653329786,0.115,0.9976811115998598,1.114139215226135,1.114139215226135,0.0,0.025,-0.0815341758901549,-12.904493261785781,-24.660556103029386,11.756062841243605,0.0125,-0.24203036531009822,-19.65998476731768,-46.297660146218924,26.637675378901243
8.0,0.1,0.9582151326771364,0.0,-15.241934446364438,15.241934446364438,0.105,0.9932083332256954,1.2817792486845725,-10.160681308092236,11.442460556776808,0.0225,-0.6327632732726015,-13.7961710849438,-30.024652742085337,16.228481657141536,0.01,-0.20979728203008102,-23.592847277932037,-30.779164596541722,7.186317318609685
9.0,0.085,0.92803057181511,-1.3630466278530031,-2.1642407576551337,0.8011941298021306,0.075,0.9862374069717808,-1.8874813017575192,-9.799840164547547,7.912358862790027,0.02,-0.5029070191464324,-14.435460858347959,-32.46770888458744,18.03224802623948,0.01,-0.14438405272084898,-23.91137353404334,-36.3802433224733,12.46886978842996
10.0,0.0825,0.960014934484525,-0.9930167257307683,-17.449821110998545,16.456804385267777,0.075,0.9864804056792699,-1.9362534946009342,-4.22255426115685,2.2863007665559154,0.02,-0.44104997336002943,-14.852447675199992,-53.94863124968669,39.0961835744867,0.01,-0.2663100338569525,-25.3543806413452,-41.37281393248914,16.018433291143936
11.0,0.085,0.9687673067718444,-1.0314374087849267,-7.4274825752233475,6.396045166438421,0.0725,0.989404067942788,-2.076936415623462,-11.36274706235503,9.285810646731568,0.015,-0.3649704436989539,-17.386036242169464,-47.049075851960716,29.66303960979125,0.005,-0.28515735226684813,-28.239817468056945,-68.03616407656962,39.79634660851268
12.0,0.085,0.9778155528319094,-1.3256040558903395,-8.078371830584139,6.752767774693799,0.075,0.9915290606358289,-2.4123617348228357,-2.9340291644982432,0.5216674296754076,0.0175,-0.33562820550773564,-16.274503828017522,-61.00071081323684,44.72620698521932,0.005,-0.13583223706725303,-28.580529113196548,-69.48424131958211,40.90371220638556
13.0,0.08,0.993158733689958,-1.9572400515305308,-5.283536425706901,3.32629637417637,0.0725,0.9969791689966928,-2.9310030577429753,-27.04653639899659,24.115533341253617,0.0125,-0.013470514032686301,-19.26643160316501,-37.74811161831081,18.4816800151458,0.005,-0.37124834246769245,-33.284618443913885,-59.919653139239514,26.63503469532563
14.0,0.0775,0.9962702635845808,-2.032278440577035,-5.220454268380993,3.188175827803958,0.07,0.9985348863411047,-3.170091096952867,-5.459694599723537,2.2896035027706705,0.01,0.24086725754530977,-21.63875986189693,-51.21759376678621,29.57883390488928,0.005,-0.22555556861269171,-35.273481277605086,-58.47180436333221,23.198323085727125
15.0,0.0775,0.998507325800074,-2.145896021469074,-12.210362151281304,10.06446612981223,0.07,0.9992643568977904,-3.0884572806275905,-6.863859990997957,3.7754027103703667,0.0075,0.4382166138456226,-24.74413214335829,-32.4101953275374,7.666063184179112,0.005,-0.03362003977219361,-40.645920846537706,-55.591122309976626,14.94520146343892
16.0,0.08,0.9978577562420785,-1.8690274855272024,-2.6546132045787534,0.785585719051551,0.0675,0.9996863675727924,-3.104807859861229,-5.965232197014872,2.8604243371536433,0.01,0.22629028047019725,-20.164573205544215,-55.90775450948118,35.743181303936964,0.005,0.03877996966739862,-28.56110373785514,-55.12435206207922,26.563248324224077
17.0,0.075,0.9992285374897248,-2.3366590959298303,-68.72537377824186,66.38871468231203,0.0675,0.9998375978403216,-3.115830552548111,-4.602380766968977,1.4865502144208662,0.01,0.5777912405168778,-24.48087336484655,-38.13833057057185,13.657457205725304,0.005,0.07089007722175247,-38.34071529433919,-51.28336751909594,12.942652224756749
18.0,0.075,0.9995492335675203,-2.1482718582838576,-4.626251799454132,2.4779799411702745,0.0675,0.999946149218423,-3.1594377923295243,-14.40661164945423,11.247173857124707,0.005,0.6448251509240635,-26.935592812986023,-27.420374089452952,0.48478127646692926,0.005,0.18245156148604497,-39.386407438036656,-50.49051851289575,11.104111074859091
19.0,0.075,0.9996206087605445,-2.3801294969458073,-10.098759444450081,7.718629947504274,0.0675,0.9999560435988438,-3.1852268997089843,-3.725377345301663,0.5401504455926789,0.0075,0.7313552869916797,-25.794335737424177,-45.49051035457904,19.69617461715486,0.005,0.08788168092703459,-40.56993741493197,-86.98824636045848,46.418308945526505
20.0,0.0725,0.9997861250887995,-2.635922269943193,-9.164808449038551,6.528886179095358,0.0675,0.9999583155343204,-3.2600991570360094,-18.151205318739382,14.891106161703373,0.005,0.775527809946899,-29.335700007049713,-34.75532622097545,5.419626213925735,0.005,0.03796632397491142,-41.430452603909416,-58.16201574389492,16.731563139985504
21.0,0.0725,0.9995229303843232,-2.766517852265236,-4.101080818989841,1.3345629667246048,0.0675,0.9999747834564217,-3.317854436224561,-5.2627952613465006,1.9449408251219396,0.005,0.608446703505668,-27.42613615327485,-64.27434967511711,36.848213521842254,0.005,-0.15293495859756545,-43.39987414178364,-51.86289954122026,8.463025399436617
22.0,0.07,0.9997790660254119,-2.5925849577566296,-14.600978199346606,12.008393241589976,0.0675,0.9999799954914248,-3.342135459588098,-7.854673319029867,4.512537859441769,0.005,0.7303911199884766,-30.796271081722935,-41.73334583581585,10.937074754092912,0.005,-0.11942098245165017,-47.284777527827714,-61.9630056570564,14.678228129228685
23.0,0.07,0.9998877162070545,-3.0884261829209088,-4.193805253937926,1.1053790710170173,0.0675,0.9999905993655945,-3.5028476734995633,-11.43152527152018,7.928677598020617,0.005,0.8216933845046104,-31.651166922843572,-48.08211183296743,16.430944910123856,0.005,-0.2332234849452475,-49.171024402303715,-59.6052965892914,10.434272186987684
24.0,0.0675,0.9999120840873335,-3.256088325814935,-17.99420492681126,14.738116600996324,0.065,0.9999897453990042,-3.5722653730217973,-3.749228872451971,0.17696349943017387,0.005,0.8656507689792275,-31.698265420828555,-47.088869261899134,15.390603841070579,0.005,-0.06120292325018194,-53.400089693737485,-66.82933226074402,13.42924256700654
25.0,0.0675,0.9999424910443271,-3.4416146946437225,-6.070577013024171,2.6289623183804487,0.065,0.9999856037125544,-3.637011916905818,-19.630735001403664,15.993723084497846,0.005,0.8815304152446085,-32.91553266236211,-40.85303182075683,7.937499158394722,0.005,-0.08151449744792905,-56.34141657194564,-61.61547493249416,5.274058360548516
