,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.48715059500771246,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,0.595496827291862,-82.03074740530995,-90.15778411600914,8.127036710699187,0.005,0.4725532646418191,-75.93048478512857,-118.32791612807367,42.3974313429451,0.005,0.25158365558183765,-79.55958427694446,-87.65910573566451,8.099521458720048
1.0,0.005,0.34502021118578574,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.11829467020486632,-83.11975519426026,-95.77032348700074,12.650568292740473,0.005,0.4338697552731264,-77.68051718418258,-84.14446498044487,6.463947796262289,0.005,0.2545504416269447,-77.40153825345564,-87.92210707078499,10.520568817329348
2.0,0.005,0.41399391033209976,-72.24719895935547,-76.32959861247397,4.0823996531185,0.005,0.4558433449464192,-84.65637571256637,-117.44855695391733,32.79218124135096,0.005,0.3951752906497671,-79.23802576584427,-86.70273947951895,7.4647137136746835,0.005,0.17984925914187,-77.0452804873495,-87.94087227061503,10.89559178326553
3.0,0.005,0.28431683401690805,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,-0.3725739623125801,-84.04624802570837,-96.38547084847431,12.339222822765947,0.005,0.35837141675354306,-77.88866497160599,-131.08259260820833,53.19392763660234,0.005,0.2747092093493328,-79.4207133955751,-133.97940008672037,54.55868669114527
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.1351585878928513,-96.401473148848,-109.30119953425192,12.899726385403923,0.005,0.7210919610753292,-103.59141170600864,-133.97940008672037,30.387988380711732,0.005,0.47174465682770395,-108.03259845063884,-133.97940008672037,25.94680163608153
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9607705768668912,-109.2291744107745,-123.16575449491383,13.936580084139322,0.005,0.6504059684140541,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9612028869144894,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9713708175538919,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7282339305401236,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9654638776314935,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9629768907749062,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7629836258946499,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9364566905600342,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6047424591919476,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.916885910355109,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8155442188698072,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9428823724643862,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5420981766938792,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
