,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,0.13061126057248498,-76.32933354420295,-90.30873363092333,13.979400086720375,0.005,0.89392536773376,-97.34108637395154,-115.70949131685362,18.368404942902075,0.005,-0.2811345671084173,-88.79901785494891,-93.16346598901411,4.364448134065199,0.005,-0.228420119847063,-81.98694996820448,-100.45272239580277,18.46577242759828
4.0,0.005,-0.21285315214788966,-76.32933354420295,-90.30873363092333,13.979400086720375,0.005,0.2889088915308533,-99.23987978373472,-109.63351626809191,10.393636484357188,0.005,-0.18740406570476592,-89.26958852204174,-106.70200058728655,17.432412065244804,0.005,-0.17449660940969652,-81.91186536200681,-104.36560139886234,22.45373603685553
5.0,0.005,-0.17732119707783978,-73.4067728306382,-90.30873363092333,16.901960800285124,0.005,0.4412445088665473,-98.76957720901538,-102.28242141112348,3.5128442021080986,0.005,-0.2485850089859992,-87.90783215005932,-101.98450004669935,14.076667896640032,0.005,-0.20654538309497072,-78.89037120099488,-90.09001868525671,11.199647484261831
6.0,0.0375,-0.8035701941961274,-8.367059561216301,-15.343422224872976,6.9763626636566745,0.005,-0.8585684506951956,-48.306103175473496,-58.65289708056261,10.346793905089115,0.0275,-0.8940914534974328,-11.656940138978333,-30.084903094773114,18.427962955794783,0.0275,-0.24520322527548308,-11.461955444575127,-19.236957734945687,7.77500229037056
7.0,0.045,-0.7888477258114606,-6.660440373246016,-20.85360482307353,14.193164449827513,0.005,-0.718881015012592,-30.22175393704183,-34.71453476349518,4.492780826453352,0.03,-0.8439137317742986,-10.947643233164811,-11.68898867031363,0.7413454371488193,0.02,-0.09970652466393976,-12.663934805427349,-26.21852185973513,13.554587054307781
8.0,0.035,-0.7001676535747547,-10.030932141961692,-32.42241237723457,22.39148023527288,0.005,0.10633998686633209,-32.21096410799043,-71.44408378706353,39.233119679073106,0.03,-0.7281303152026516,-10.755669267471536,-31.44543560900162,20.689766341530085,0.0225,-0.20800643597374266,-13.493661291647715,-45.74456654720204,32.25090525555433
9.0,0.0275,-0.747019900068639,-10.783568533799244,-19.52219220700804,8.738623673208796,0.005,-0.15199089929951007,-32.34364134032242,-37.22209657987608,4.878455239553659,0.025,-0.7733784697429315,-12.041843972003676,-19.49495343417364,7.453109462169966,0.01,-0.011946477479184977,-22.269443011295763,-67.03524681934253,44.76580380804677
10.0,0.0375,-0.7780802741964701,-8.76282961849937,-19.872900398985184,11.110070780485813,0.005,-0.14373376480963507,-29.598067236648422,-34.73175090342607,5.133683666777646,0.0375,-0.7959066998123487,-9.06889002693043,-19.211032508770955,10.142142481840526,0.015,-0.13561961934300001,-18.02204418300336,-53.903480623809074,35.881436440805714
11.0,0.03,-0.8306313982165645,-10.732345562292258,-36.75659457651348,26.02424901422122,0.005,-0.2197222377161578,-32.79275556385095,-41.722012109880964,8.929256546030011,0.0275,-0.8356917809220207,-11.29129630322767,-21.370276331264407,10.078980028036737,0.005,-0.16599990069015028,-29.92022745506837,-59.97412539760678,30.053897942538406
12.0,0.03,-0.7395096964018739,-10.10782522279925,-13.486551635834518,3.3787264130352685,0.005,-0.12729593206195733,-30.295817563514657,-33.01002641480557,2.714208851290916,0.03,-0.7547659399652455,-11.09554537864615,-20.432017105577053,9.336471726930903,0.005,-0.07976576677350734,-36.220946098115746,-53.61653476642752,17.395588668311774
13.0,0.03,-0.8055596724885902,-11.311179966672857,-17.808661170633297,6.49748120396044,0.005,-0.6604660518596187,-28.646544463436147,-38.89132028560202,10.244775822165874,0.03,-0.815370157370409,-11.146082626680716,-15.600680020995455,4.454597394314739,0.005,-0.2321510103716088,-39.577779860531976,-46.25415506201848,6.6763752014865005
