,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.8241242092889858,-65.60084926815578,-76.23042765717423,10.629578389018448,0.005,0.8734152148891566,-95.33115378622178,-102.08622238766388,6.755068601442105,0.005,0.8225083882350843,-68.59275989775666,-78.10974118820528,9.516981290448612,0.005,0.795992195190835,-71.8345871877171,-87.28390606166882,15.44931887395171
10.0,0.0375,0.9996927559052919,-8.24249185389404,-39.15646346523617,30.913971611342134,0.005,0.9946843312383105,-40.28957270435741,-41.34955868568633,1.0599859813289214,0.035,0.9997060290917408,-8.882003806494605,-20.07716109279954,11.195157286304934,0.02,0.9995861494663225,-15.121348342577072,-76.82806676435976,61.70671842178269
11.0,0.0375,0.9993259268500481,-8.022982700093332,-14.772201688775224,6.749218988681893,0.005,0.9959013464306183,-36.24517101003323,-38.476097295119835,2.2309262850866034,0.035,0.9993345366374748,-9.16555325481745,-12.27694862118967,3.1113953663722196,0.025,0.9994679284667721,-12.337318506739887,-44.154245924663215,31.816927417923328
12.0,0.035,0.9951872879142853,-9.139807955150822,-36.51292082910979,27.373112873958966,0.005,0.9954557317649634,-32.27865719151515,-75.96079164394075,43.6821344524256,0.035,0.995045227295838,-9.057908433466595,-41.90352022626041,32.84561179279382,0.02,0.997480328916661,-14.396932872101605,-25.610876398784296,11.21394352668269
13.0,0.03,0.9890797308116376,-10.598852728366959,-38.41083555527525,27.81198282690829,0.005,0.9012853424071569,-49.741987180681626,-80.87850380601839,31.13651662533676,0.0075,0.7952237012797106,-25.462806806581156,-48.37038262072882,22.907575814147663,0.025,0.9953071789724665,-12.080987736023177,-21.059484446947934,8.978496710924757
14.0,0.025,0.9882606164039193,-12.618735596080707,-31.2025308069409,18.583795210860192,0.005,0.9481000822676545,-43.91416932786822,-55.14328636861337,11.229117040745145,0.015,0.9819917867450612,-18.0726002499641,-21.13045994352802,3.0578596935639197,0.025,0.9903104149881707,-12.628451323957606,-35.43483812428423,22.80638680032662
