,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.4480291097231125,-57.63962958760263,-68.03013165305762,10.390502065454996,0.005,0.58167921683157,-68.94735997255898,-73.25791827663018,4.3105583040711934,0.005,0.6514189750680263,-60.91629847475186,-72.96260703712397,12.046308562372111,0.005,0.15066869692661525,-66.18516885910229,-73.3534416421933,7.1682727830910125
1.0,0.005,0.30647266679219004,-56.32959861247397,-71.22414851040786,14.894549897933885,0.005,-0.1306122068674503,-65.23456218988062,-70.23045874044259,4.995896550561966,0.005,0.5797341211928227,-60.39178631278794,-77.59341195997644,17.201625647188493,0.005,0.5158562980444138,-60.97446121152388,-107.22273755960612,46.248276348082236
2.0,0.005,0.5370432020219162,-58.713326766858145,-70.30899869919435,11.595671932336202,0.005,0.7199564778660227,-67.39474267510494,-90.94345002848429,23.548707353379356,0.005,0.7546147869926718,-63.33742000619778,-73.5453377018797,10.207917695681921,0.005,0.4590808068158023,-61.88850516498965,-67.48900010567374,5.6004949406840865
3.0,0.005,0.752320628725947,-51.22414851040786,-78.2677988726351,27.04365036222724,0.005,0.8476894692099411,-60.8656401170624,-63.873977329735695,3.008337212673297,0.005,0.8490770845808139,-53.19688980047525,-69.61773392955551,16.420844129080265,0.005,0.3636208718491877,-58.043173801944654,-84.10158618971955,26.0584123877749
4.0,0.005,0.7827710126950205,-47.83196587985263,-65.70002027162887,17.86805439177624,0.005,0.8255320054358245,-50.76155697982852,-56.62942321042643,5.867866230597912,0.005,0.8733393675171492,-55.725629854860905,-67.18165111973923,11.456021264878324,0.005,0.39578152053734444,-59.54481295291949,-79.07289882972744,19.528085876807943
5.0,0.005,0.8131521221062,-53.28383172481285,-68.72537377824186,15.44154205342901,0.005,0.8369482380349268,-56.66572735085049,-70.90796749551423,14.24224014466374,0.005,0.8432205660938205,-56.307736710138116,-85.25748160021655,28.949744890078435,0.005,0.5691719941705111,-60.9989853406026,-96.16472053274313,35.16573519214053
6.0,0.005,0.777466280933544,-57.63962958760263,-60.76657360480111,3.1269440171984826,0.005,0.9392172195355379,-65.12414911144657,-103.9731445485796,38.84899543713303,0.005,0.923533282046747,-62.465272281881276,-82.72265098614427,20.257378704262997,0.005,0.43213436105229924,-61.54160600671248,-82.71195709360818,21.1703510868957
7.0,0.005,0.6820939954803362,-57.844012891236346,-63.46054508275023,5.616532191513883,0.005,0.7214514107756058,-66.46299634608528,-85.5971547856644,19.134158439579124,0.005,0.8959780476270358,-61.75571275003555,-80.51043113356923,18.754718383533678,0.005,0.4301066142309947,-64.41660450694805,-75.69458784840876,11.277983341460711
8.0,0.005,0.5732959307534975,-59.18294868384861,-62.704773864962235,3.521825181113627,0.005,0.19905828434643508,-66.57323547636005,-83.11732007811167,16.54408460175162,0.005,0.8347975008268357,-63.23241363057378,-75.79550241729463,12.563088786720847,0.005,0.4593013382643097,-63.16109697570067,-73.74179183185505,10.58069485615438
9.0,0.005,0.5714373810529615,-60.20599913279624,-80.76657360480111,20.560574472004873,0.005,0.5223124985588575,-75.50347120131303,-93.33342635426098,17.829955152947946,0.005,0.8721603160693706,-65.24663913392503,-97.37522494088626,32.128585806961226,0.005,0.39103970623051415,-64.32110201116893,-75.33330881593665,11.012206804767715
