,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.02,0.991041572267526,-15.211334134151004,-36.848580556616426,21.637246422465424,0.005,0.9997543676226791,-41.569552201006786,-41.670724787554256,0.10117258654747019,0.0175,0.9966920110162792,-14.149536607043103,-52.43129208430007,38.281755477256965,0.005,0.963590548011393,-28.03527403733241,-45.70227193078,17.66699789344759
5.0,0.0375,0.8383990833631352,-8.963116972874824,-32.17152800475295,23.20841103187813,0.015,0.944671468305083,-17.73036915384599,-20.635993065146188,2.9056239113001965,0.0325,0.8232667926614438,-9.260496208720184,-36.134055212833815,26.87355900411363,0.0125,-0.49026731600476087,-19.281653008355576,-42.58974059086644,23.308087582510865
6.0,0.0375,0.7562803455930395,-8.807553445071987,-22.766517852265235,13.958964407193248,0.02,0.9061343227923994,-14.989692474991582,-29.757906176164738,14.768213701173156,0.035,0.7574980127591531,-9.43302540347201,-44.789913567614796,35.35688816414279,0.01,-0.6132419489642112,-22.40024796052007,-43.07724477493135,20.676996814411282
7.0,0.035,0.761937000416295,-10.009352527484719,-56.68417395168261,46.67482142419789,0.015,0.8932106853119247,-18.2475548671299,-22.567524880334794,4.319970013204895,0.025,0.714252552385483,-12.302101755689893,-25.582606924292037,13.280505168602144,0.0075,-0.5100484967166505,-25.92921510378965,-43.04589471069173,17.116679606902075
8.0,0.025,0.6650239629137819,-13.475553697721669,-42.81403177899228,29.338478081270612,0.01,0.7897263172347562,-20.068710448481376,-27.385166512927512,7.316456064446136,0.02,0.6483145152248885,-14.304154740179232,-22.910070561731963,8.605915821552731,0.005,-0.435412308711014,-27.758356202159828,-49.95100419948069,22.192647997320865
9.0,0.02,0.6177857482189909,-13.36989219879788,-28.915636760962443,15.545744562164563,0.01,0.7556903731534392,-20.013790679816992,-33.35997221090608,13.346181531089087,0.015,0.6410362058884087,-17.572869700990147,-18.138323643156887,0.5654539421667408,0.005,-0.32232635439201873,-29.054477954769457,-47.36101248467675,18.306534529907292
10.0,0.045,0.8861495970976444,-3.8151204219588655,-26.67784322193863,22.862722799979764,0.01,0.783394087838309,-21.435816094776413,-29.03627141853226,7.600455323755845,0.0275,0.8759159843976646,-11.642807529206074,-20.029608479757673,8.3868009505516,0.035,0.9703328935805583,-7.564362483654126,-25.99141173599296,18.427049252338833
11.0,0.0575,0.9848724520863683,-4.354663673911304,-13.903655555975067,9.548991882063763,0.01,0.9062143040302603,-24.05797143978981,-28.64420593496169,4.58623449517188,0.055,0.9871825408942081,-4.789113615426555,-20.338773108992907,15.549659493566352,0.04,0.9718908107093852,-7.6055059170114365,-25.09482591906647,17.48932000205503
12.0,0.04,0.9698462335048207,-8.252780880856056,-16.664291561143074,8.411510680287018,0.01,0.8171341268829554,-23.87513739263412,-35.16079275466466,11.285655362030543,0.0425,0.9794051211443981,-7.935643515790148,-13.327472870348595,5.391829354558447,0.0175,0.9495218387093451,-14.441824284028911,-41.58800466921501,27.1461803851861
13.0,0.03,0.8569623896360784,-11.122445779750937,-21.47509598638002,10.352650206629082,0.01,0.8796791733879746,-23.630553511469063,-31.674093020142063,8.043539508673,0.025,0.8860506768287365,-13.408711967039027,-47.286949122301166,33.87823715526214,0.01,0.6591551643532316,-23.230704350444626,-45.76707573976046,22.536371389315832
14.0,0.015,0.6566045601892949,-18.07878095666123,-19.782213151397475,1.7034321947362443,0.01,0.8860308895701415,-24.41954982047757,-26.253110334860512,1.8335605143829419,0.0125,0.589409831214579,-19.502926846343726,-22.084937518213493,2.5820106718697673,0.005,0.4484192427202036,-26.778695032406738,-43.213887145572265,16.435192113165527
