,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,0.7094108110458609,-79.4289188922897,-133.97940008672037,54.550481194430674,0.005,0.8675664285763098,-87.02340798657973,-94.42562728408177,7.402219297502043,0.005,0.7189784978462354,-86.36303063671798,-107.66537277233085,21.302342135612875,0.005,0.14434347440286713,-87.86545105368278,-97.09122674588238,9.225775692199605
9.0,0.005,0.5202604238583164,-79.4289188922897,-88.97134398668294,9.542425094393238,0.005,0.9108698038169463,-89.4516118682425,-92.01408885023457,2.562476981992077,0.005,0.48923200688120505,-92.30330080655959,-124.57225016828646,32.26894936172687,0.005,0.0637949796191099,-88.45818936631176,-105.16971786105807,16.711528494746318
10.0,0.005,0.23014012365148212,-82.95074407340331,-88.97134398668294,6.020599913279625,0.005,0.6861426664648679,-92.05581586378636,-94.43634458588323,2.3805287220968694,0.005,0.3708311792054168,-89.89412176623657,-95.99450260258024,6.100380836343675,0.005,-0.0023845294555734226,-86.4901233809522,-133.97940008672037,47.48927670576818
11.0,0.005,0.23947350316734778,-82.95074407340331,-88.97134398668294,6.020599913279625,0.005,0.6591031338846105,-91.26346650867418,-102.73054689587741,11.467080387203225,0.005,0.06931173722630754,-93.8544445260696,-113.11413587480575,19.259691348736155,0.005,0.02995398206901752,-88.01968417500066,-100.00447708155887,11.984792906558212
12.0,0.005,0.07475339595915502,-82.95074407340331,-88.97134398668294,6.020599913279625,0.005,0.3036453687410749,-97.89471721667203,-124.62345672509028,26.728739508418244,0.005,0.09421551611232565,-93.46180674408262,-100.09259343464302,6.630786690560399,0.005,0.07028594423530335,-87.36301048883936,-109.6152742946737,22.252263805834332
13.0,0.005,0.04434004152038363,-82.95074407340331,-133.97940008672037,51.02865601331706,0.005,0.49695711687275307,-106.43654483081741,-115.26654812126719,8.830003290449781,0.005,0.16855257036900903,-91.94723088124917,-99.71132090197582,7.764090020726655,0.005,0.033412999537116,-87.09540891089597,-99.88113776608735,12.78572885519138
14.0,0.005,0.8023601333984532,-68.97134434174288,-79.4289188922897,10.457574550546823,0.005,0.9478030750595031,-79.85941440045129,-87.13745079363589,7.278036393184607,0.005,0.26560315035598503,-88.70873343232228,-112.85216711072253,24.143433678400257,0.005,-0.053275921680351085,-82.8468823184818,-88.16146700159065,5.314584683108848
