,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.7584144891480096,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.9511218580010486,-85.72483235062569,-85.72483235062569,0.0,0.005,0.7997692055752643,-78.90764894409503,-87.6761272569699,8.768478312874876,0.005,-0.09408382979651884,-88.77642836699033,-106.11803801922342,17.34160965223309
1.0,0.005,0.7565855977130632,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.9090236315148383,-85.7205013252892,-92.25864150125358,6.538140175964372,0.005,0.7895428119687091,-80.83325037889553,-92.07453808804387,11.241287709148338,0.005,0.08673269337870193,-89.76714990598751,-101.63925153001607,11.87210162402856
2.0,0.005,0.8532901792347198,-68.72537377824186,-70.30899869919435,1.583624920952488,0.005,0.8523937088085483,-88.43145247905139,-88.43145247905139,0.0,0.005,0.7632755646170184,-74.42094353323584,-84.12096841016438,9.700024876928538,0.005,-0.09376860427287025,-87.618111351849,-106.54475076451801,18.92663941266902
3.0,0.005,0.977202543221783,-70.30899869919435,-90.30899869919435,20.0,0.005,0.9982979017755705,-71.95549151633305,-78.25330663267627,6.297815116343216,0.005,0.9148200264017046,-74.63539535546603,-91.09394883479223,16.4585534793262,0.005,-0.15535571036059048,-86.72637610124488,-133.97940008672037,47.253023985475494
4.0,0.005,0.8170809548685936,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.9805819554315303,-78.2833321038073,-94.25036822435973,15.967036120552436,0.005,0.747856685964532,-82.75494490422199,-94.59276786077399,11.837822956552003,0.005,0.0031174147013625134,-88.96171405028468,-114.20532519637256,25.243611146087872
5.0,0.005,0.5999114415215533,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.8921438448073448,-90.46115240561305,-102.8727750913199,12.411622685706845,0.005,0.5468255035279104,-85.68195895133749,-94.34744198517788,8.665483033840388,0.005,-0.03180880540151118,-90.0383764295321,-110.60279156373683,20.564415134204737
6.0,0.005,0.44794677204797834,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.8113616166321953,-89.92944423413364,-91.84370534801218,1.9142611138785384,0.005,0.3759496162715924,-86.4175702814095,-99.94116237527348,13.523592093863982,0.005,0.03391136463663368,-88.98967068016758,-96.17182764984207,7.1821569696744945
7.0,0.005,0.11873777006236734,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.14736592537641674,-88.32733595328905,-92.18898897426823,3.861653020979176,0.005,0.08604943259646762,-90.18480957574752,-105.80711607136736,15.622306495619839,0.005,-0.05140296988674347,-90.74589454907954,-123.05725660847303,32.31136205939349
8.0,0.005,0.24548272846234734,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.6441021057555821,-91.55005004627841,-110.18167826114832,18.631628214869906,0.005,0.3980841287786421,-87.80340327160724,-111.52629222394076,23.72288895233352,0.005,-0.03326068807453827,-92.23435274743879,-107.42944826883019,15.195095521391394
9.0,0.005,0.6279907626608037,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.7841322567618902,-87.3122609382097,-90.25160607446738,2.9393451362576712,0.005,0.7398257176572859,-88.47741817837684,-93.35459158957596,4.877173411199124,0.005,0.004960740779801162,-89.21186708151679,-91.42695956277782,2.2150924812610384
10.0,0.005,0.6618595627767893,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9743763454920542,-88.73774201766062,-99.39768342142492,10.659941403764293,0.005,0.43142035892629765,-92.28974187722798,-129.15513040884866,36.86538853162068,0.005,0.06206269026501715,-88.06535413681073,-133.97940008672037,45.91404594990965
11.0,0.005,0.3192172825430682,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.1891290909990095,-99.41654384983121,-110.24442399560009,10.827880145768873,0.005,-0.02908501176850803,-92.33158406597443,-133.97940008672037,41.64781602074595,0.005,0.00799707341267049,-90.39409314672773,-133.97940008672037,43.58530693999265
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5803897520911512,-110.26096196078907,-133.97940008672037,23.7184381259313,0.005,0.9680797706725734,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.1026260250235381,-119.99999999999999,-133.97940008672037,13.97940008672039
