,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.976170446354998,-44.721364365545966,-46.46436733816242,1.743002972616452,0.005,0.9757519354496575,-48.62501853053529,-58.10066432529937,9.475645794764077,0.005,0.9688604480511858,-52.866884142542204,-63.7565392537969,10.889655111254697,0.005,0.987419652857806,-54.12411736925114,-113.65907533388275,59.534957964631616
1.0,0.005,0.9703074766331028,-42.23420942288381,-62.199396193973335,19.965186771089527,0.005,0.9605664447228791,-50.33567406430042,-59.8328413331802,9.497167268879778,0.005,0.9686031321311963,-51.580669820071385,-62.959685123856644,11.379015303785259,0.005,0.9897413506104055,-54.36282134033931,-66.50883299070563,12.146011650366319
2.0,0.005,0.9803745462613317,-44.86183985059077,-55.35094263673601,10.489102786145239,0.005,0.9634543769096978,-55.24534709345332,-58.52689900996789,3.281551916514573,0.005,0.9890563122455712,-52.72551677060505,-67.14217218808042,14.416655417475376,0.005,0.9935578464851681,-54.37838214967674,-68.94450781480475,14.566125665128013
3.0,0.005,0.9748513045315864,-45.86131926349737,-47.94640256027182,2.0850832967744495,0.005,0.9645047030467632,-54.58332684072197,-68.82661120005137,14.243284359329401,0.005,0.9812971631158924,-52.34589942360046,-62.533751343475366,10.187851919874909,0.005,0.9904014286993209,-55.184958081791194,-60.585833953949745,5.400875872158551
4.0,0.005,0.9834240301818399,-47.17381453463278,-56.354274753552495,9.180460218919713,0.005,0.9754937484509307,-54.848182436975236,-54.909928415028006,0.0617459780527696,0.005,0.9817634197234844,-49.0899039273694,-60.84581817953365,11.755914252164253,0.005,0.9858161980833021,-56.66204541956005,-73.53598193912636,16.873936519566307
5.0,0.005,0.9806361967379426,-46.29570421663197,-72.09639626123315,25.800692044601185,0.005,0.9400944799475826,-54.920617311650695,-57.27202542990335,2.3514081182526567,0.005,0.9856318949077213,-51.16619244562132,-71.69373009600639,20.52753765038507,0.005,0.9812785939414161,-59.258744540045626,-80.07262314125606,20.813878601210433
6.0,0.005,0.9836225379632854,-46.46436733816242,-56.90303967715002,10.438672338987601,0.005,0.9646303040083175,-56.110158410709154,-66.67657885919249,10.566420448483335,0.005,0.9738329928761924,-51.825483016702485,-85.04499114546546,33.219508128762975,0.005,0.977692491499118,-58.25724495136869,-91.66833627062353,33.41109131925484
7.0,0.005,0.9809024187315711,-48.430999871362125,-50.24549213995791,1.8144922685957852,0.005,0.9775091443206938,-56.95005904636212,-70.28434656916052,13.334287522798398,0.005,0.9695846251298491,-53.41957824798146,-66.45402115446419,13.034442906482724,0.005,0.9627969046269437,-62.1886140854573,-72.68423655341292,10.495622467955613
8.0,0.005,0.9799503900897604,-47.42378543786921,-58.56252422941217,11.138738791542956,0.005,0.9750410552268075,-55.999119098924275,-65.75100511986007,9.751886020935792,0.005,0.9599055296817312,-53.80920724496515,-67.26807386235569,13.458866617390541,0.005,0.970330652313004,-61.6594184390734,-67.18721305050491,5.52779461143151
9.0,0.005,0.9736658916884189,-47.87932947157153,-68.57457141932515,20.695241947753622,0.005,0.961976878241688,-56.40651896674548,-57.217993987719275,0.8114750209737949,0.005,0.9370840682834995,-54.29380041035135,-61.70263336260507,7.408832952253718,0.005,0.9733492499445512,-61.02049318470648,-69.51330988995537,8.492816705248885
10.0,0.005,0.9802083598763233,-48.502488804994435,-60.91023649926597,12.407747694271535,0.005,0.9576900905100917,-56.74879243422794,-62.31611894926189,5.567326515033955,0.005,0.9319255507843418,-56.529495121820624,-62.27455834606491,5.745063224244284,0.005,0.9727646095216228,-60.99689479246489,-71.04313255534107,10.046237762876181
11.0,0.005,0.9344812830913986,-47.48741789352749,-51.36781159202066,3.8803936984931653,0.005,0.9012877509876583,-49.09005315703215,-67.49196079584559,18.401907638813434,0.005,0.9037962257814907,-55.06959777120555,-56.47416493424882,1.404567163043268,0.005,0.9643466786448874,-62.11809068985214,-74.36067165148053,12.242580961628391
12.0,0.005,0.9786125334683109,-45.2479429223209,-57.28914274888014,12.041199826559236,0.005,0.9570551458078749,-50.233429824465105,-74.81509879304912,24.58166896858401,0.005,0.9648409647808586,-52.642163804858086,-77.92451555700659,25.2823517521485,0.005,0.9638059172829578,-63.99568615758955,-74.08610694198286,10.09042078439331
13.0,0.005,0.9780935486179652,-42.96148666089245,-60.05519643467391,17.093709773781463,0.005,0.9768752415517654,-51.8026549096843,-56.028667121219904,4.226012211535604,0.005,0.9861737740978658,-44.70161535894954,-68.03966009952602,23.33804474057648,0.005,0.976622358807704,-58.702729370062336,-85.04289001569683,26.34016064563449
14.0,0.005,0.9899990263368799,-42.06152191706793,-52.09639646475652,10.034874547688595,0.005,0.985540200503088,-48.03932731125768,-50.892978154756534,2.853650843498855,0.005,0.9908645023874156,-47.929316434055934,-54.191143850744126,6.261827416688192,0.005,0.9791734836539202,-59.88441442473173,-69.30303625798528,9.418621833253553
15.0,0.005,0.9927436016118599,-44.05116866251663,-58.79416165724791,14.742992994731281,0.005,0.9956456624420079,-50.10823294418064,-55.645648840071246,5.537415895890604,0.005,0.9894142987799563,-49.87527713114009,-58.22475040565605,8.349473274515965,0.005,0.9832392168157525,-58.24141312169583,-93.66862153120672,35.4272084095109
16.0,0.005,0.9872878339864336,-45.80851714763077,-49.33034272345638,3.521825575825609,0.005,0.9874534117331542,-51.55338887482701,-57.082052025275935,5.528663150448928,0.005,0.9821198530430413,-50.61369177017036,-70.38540618027956,19.771714410109198,0.005,0.976852408957148,-59.42362639429441,-79.53728289365225,20.113656499357838
17.0,0.005,0.9878234071296137,-45.86131926349737,-61.53092113247691,15.66960186897954,0.005,0.977334583281373,-51.620092498427574,-77.96399804005935,26.343905541631777,0.005,0.9344956482666308,-57.685959498025184,-88.26509413646238,30.579134638437196,0.005,0.9541564371845336,-62.50527745467416,-74.49278764493354,11.987510190259385
18.0,0.005,0.9886907150933327,-47.746717407791905,-50.882439763870394,3.135722356078489,0.005,0.9915517587808149,-51.591028547003425,-58.26486055015813,6.673832003154708,0.005,0.9251378816877128,-56.599180186759085,-64.89661944617247,8.29743925941338,0.005,0.9363634642986888,-64.6066508207724,-79.6075955095865,15.000944688814101
19.0,0.005,0.9890650782619272,-47.87932947157153,-56.00679285822545,8.127463386653922,0.005,0.9791311587570202,-53.06265522663964,-86.71638122794228,33.65372600130264,0.005,0.9513905445291202,-59.34541967154159,-70.87621405059845,11.530794379056857,0.005,0.9442988980748901,-65.14855695581075,-70.75738985986641,5.60883290405566
20.0,0.005,0.9905690486573269,-43.9655930316662,-45.29743548672745,1.331842455061249,0.005,0.9835968874040969,-53.954997787136804,-53.954997787136804,0.0,0.005,0.9956449697647369,-45.92355987911848,-51.29422310285504,5.370663223736564,0.005,0.9888643414529368,-53.42777362745962,-60.941551373194756,7.513777745735133
21.0,0.005,0.9850458685961461,-42.62665705662403,-68.57457141932515,25.94791436270112,0.005,0.9746955460671426,-53.63051286413431,-57.70361619245189,4.073103328317579,0.005,0.9930389586919728,-48.043626625744935,-67.26421015677809,19.220583531033157,0.005,0.9911773700599904,-54.92010002097431,-103.23471886455059,48.31461884357628
22.0,0.005,0.9855985448052499,-48.36009399566337,-54.45159978464175,6.091505788978381,0.005,0.9722979054526423,-54.424593144819475,-92.70633724424121,38.281744099421736,0.005,0.9267149456071627,-59.30893219398095,-72.48628229702018,13.177350103039231,0.005,0.9300008807640863,-60.55652047764339,-91.48352235827686,30.92700188063347
23.0,0.005,0.9865792188429908,-48.01399660811466,-50.60372457013572,2.5897279620210583,0.005,0.970606809652919,-54.6718804687854,-88.40180783157864,33.729927362793234,0.005,0.9140564566642334,-59.8719238266516,-80.79203959532228,20.920115768670676,0.005,0.9037341016717239,-66.38427194180538,-77.71694414331884,11.33267220151346
24.0,0.005,0.9903849337544403,-44.35750429045791,-59.52861772008674,15.171113429628832,0.005,0.9782842749276262,-54.75619801016133,-59.53142649812773,4.775228487966402,0.005,0.9957312109782687,-43.57959908877008,-63.723195332841485,20.143596244071404,0.005,0.9886365465018272,-50.85424684999815,-89.18005950043315,38.325812650435
25.0,0.005,0.9954782205474866,-41.340014905446274,-49.48972130591768,8.149706400471409,0.005,0.9703485583335622,-54.57606372071564,-54.57606372071564,0.0,0.005,0.997723768735232,-42.81716409061527,-67.39796964087232,24.580805550257047,0.005,0.9969533074149457,-47.46042551526696,-62.7794308917509,15.319005376483936
26.0,0.005,0.994332155785773,-41.061299247224994,-57.48882714980088,16.42752790257589,0.005,0.9808018956192766,-54.387478541628525,-68.87311727688811,14.485638735259585,0.005,0.9956958523157441,-44.11710418731986,-71.38039398230558,27.263289794985717,0.005,0.9949027805941797,-45.60427946195343,-72.28345470108563,26.6791752391322
27.0,0.005,0.9954781372361325,-37.797234535179136,-51.26854283560053,13.471308300421391,0.005,0.9942606218507153,-55.51066128177857,-67.68744520023299,12.176783918454419,0.005,0.9962513332984234,-42.90055477421292,-48.695520121512885,5.794965347299964,0.005,0.9946383605423755,-47.583418553832466,-51.78603852004183,4.202619966209362
28.0,0.005,0.9713790767801304,-40.27510430335234,-50.60372457013572,10.328620266783375,0.005,0.967299414109427,-43.45500551405947,-58.09301817456643,14.63801266050696,0.005,0.9917405156652971,-45.42740555992722,-54.899175741347726,9.471770181420503,0.005,0.9952623797111965,-47.074905121604175,-118.49179446993125,71.41688934832708
29.0,0.005,0.9505690566047,-44.00827577918709,-62.199396193973335,18.191120414786248,0.005,0.9385230456672092,-45.06268924746165,-47.417317606393404,2.3546283589317554,0.005,0.9676803562691976,-51.1236549450339,-74.78244593685939,23.65879099182549,0.005,0.9820755132664947,-52.56597979158285,-69.73739908997891,17.17141929839606
30.0,0.005,0.9720685425241616,-46.13025391786968,-78.11699617451278,31.986742256643097,0.005,0.9528957816663571,-47.42012902161841,-86.56682291202989,39.146693890411484,0.005,0.9384936631790965,-58.57686014813204,-95.2882844176639,36.71142426953186,0.005,0.9285643366300975,-64.79689707179145,-87.54451834437715,22.747621272585704
31.0,0.005,0.9733884096342657,-38.960063531186655,-44.26887166896617,5.308808137779515,0.005,0.9505397842724242,-50.91976708018415,-59.10960036752265,8.189833287338502,0.005,0.9956945807238429,-43.276762136546196,-49.39751923021617,6.1207570936699724,0.005,0.9955923200733082,-44.783456158726416,-64.01433553062809,19.230879371901672
32.0,0.005,0.9911790138903012,-35.256700484233214,-53.899929384851156,18.64322890061794,0.005,0.9651027963660632,-50.12400799494437,-86.0222373816208,35.89822938667643,0.005,0.998642739722547,-37.1675158489922,-82.8413147562844,45.6737989072922,0.005,0.9956933680113437,-44.521874103106654,-69.94049300291267,25.41861889980602
33.0,0.005,0.9712994312206047,-47.05147558623227,-67.87932934632639,20.827853760094115,0.005,0.9492676275149112,-52.53880556766028,-55.73890999168647,3.2001044240261862,0.005,0.9756848934418959,-55.11779934566987,-63.095921826321,7.97812248065113,0.005,0.9767223246791522,-59.11822933651891,-64.83011380771723,5.711884471198317
34.0,0.005,0.9940282264772257,-38.314661287788994,-52.77356174396829,14.458900456179293,0.005,0.9690939312191146,-53.77159812219958,-67.37313044258062,13.60153232038104,0.005,0.9984557009092412,-40.64125194302639,-49.22864429530898,8.587392352282592,0.005,0.9962557094233,-45.56891387650289,-59.18022228725035,13.611308410747462
