,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.007660612795070233,-84.23948802170658,-133.97940008672037,49.7399120650138,0.005,0.8582710376552489,-101.89698007710533,-108.92072665881877,7.023746581713439,0.005,0.07407472785979836,-95.89039001441826,-103.7022510602486,7.811861045830341,0.005,0.009261356379440878,-91.01933203177663,-110.44424566826393,19.424913636487304
1.0,0.005,0.03550897591289911,-84.23948802170658,-133.97940008672037,49.7399120650138,0.005,0.5871164855398288,-109.04580750308219,-123.7727833845907,14.726975881508508,0.005,0.06377398203672092,-97.98412625224987,-115.28247324785823,17.29834699560837,0.005,-0.0185355384592622,-90.87853150025165,-113.91165764791208,23.033126147660425
2.0,0.005,0.012921127371106837,-84.23948802170658,-133.97940008672037,49.7399120650138,0.005,0.07173729850976691,-108.22238653231638,-118.48289877962237,10.260512247305996,0.005,0.013954520721702427,-97.64359257791058,-112.46444649751558,14.820853919605,0.005,-0.005159552975587949,-89.92498025853766,-111.76785769210049,21.842877433562833
3.0,0.005,0.005809786332307898,-84.23948802170658,-90.2600879349862,6.020599913279625,0.005,0.3503742104870329,-110.84684007047244,-124.20992960820064,13.3630895377282,0.005,0.04349160743926133,-97.91539724220524,-110.32611894942043,12.410721707215188,0.005,-0.013311113673466967,-91.20733832087261,-124.61349201003001,33.40615368915741
4.0,0.005,0.006539804376919361,-84.23948802170658,-90.2600879349862,6.020599913279625,0.005,0.11093574651200759,-111.1390635180179,-121.89281001789949,10.753746499881586,0.005,-0.009021645521408831,-96.9450036290388,-106.7487960500371,9.803792420998306,0.005,-0.041832940405550266,-90.0217333858458,-107.8909507826669,17.8692173968211
5.0,0.005,0.019450479518037068,-84.23948802170658,-90.2600879349862,6.020599913279625,0.005,0.3720994387865687,-104.93074248505343,-117.94675736139124,13.016014876337806,0.005,0.033659581660385,-96.68073157591508,-112.66124143868437,15.980509862769296,0.005,0.05413981007740579,-90.62079710806503,-101.91590497060207,11.295107862537037
6.0,0.005,0.4317620370972715,-84.23948802170658,-133.97940008672037,49.7399120650138,0.005,0.8722961964905892,-103.90954256186717,-129.76193565426655,25.85239309239938,0.005,0.08049409860577812,-97.82647600683687,-133.97940008672037,36.152924079883505,0.005,-0.016087459954226148,-91.05888215579716,-133.97940008672037,42.92051793092321
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9928123395873523,-113.79300211414412,-129.11909448402926,15.326092369885146,0.005,0.9397005562517391,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.990250238081964,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9910616741979441,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9710941887040061,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9766382144974375,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9921936528653269,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.960560212744145,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9955156494089984,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9558615266888066,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9968368892864553,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9732229703754679,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9965310902097316,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9354611712085285,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9943805279335075,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9767897645087286,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9910079985194665,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9359677571030908,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.992320042667132,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9729655730692226,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
