,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.9986537189029767,-26.530429023977288,-35.39189479571978,8.861465771742491,0.005,0.49945712047320673,-65.86248653285674,-99.5596133572582,33.697126824401465,0.005,0.9993772779911464,-28.72890514561529,-30.558986936395783,1.8300817907804934,0.005,0.9985043283790218,-32.52275520454346,-57.62957378781629,25.106818583272833
5.0,0.01,0.9993653413937409,-21.736585245755577,-33.16234877056899,11.425763524813412,0.005,0.6420290714653453,-63.365786808127204,-64.2110870310859,0.8453002229586914,0.01,0.9997793995477615,-24.548383396893932,-32.460054875751155,7.911671478857222,0.005,0.9990561136290684,-26.241239099623908,-41.914762495365906,15.673523395741999
6.0,0.01,0.9997386793079807,-22.773810791096757,-34.17183810881801,11.398027317721251,0.005,0.8199382496488071,-61.012049837954535,-99.40277134902622,38.39072151107169,0.01,0.9999254611904634,-22.824195361357592,-43.815003882592485,20.990808521234893,0.005,0.9994630929708183,-27.653031324154345,-46.633925187226666,18.98089386307232
7.0,0.01,0.9996852827327342,-20.48737043073061,-36.8301587265126,16.34278829578199,0.005,0.788101136546989,-62.80844444432874,-79.5915442513999,16.783099807071153,0.01,0.9997690064028649,-21.523489245252577,-46.59282840120211,25.069339155949535,0.0075,0.9996909735311572,-25.957900458923845,-30.301496528347826,4.343596069423981
8.0,0.015,0.9995138892774785,-19.802918500029577,-29.57642079195113,9.773502291921552,0.005,0.5227419017855491,-63.237924093716096,-69.67735309342468,6.439428999708589,0.01,0.9997244926553605,-21.029577113675835,-23.745107034412083,2.715529920736248,0.01,0.9991841053084469,-24.304698882731188,-36.23007218165021,11.92537329891902
9.0,0.0125,0.9987457687146954,-18.71104130713228,-31.321198566296097,12.610157259163817,0.005,0.8238936989219291,-61.18683477261363,-83.36572847508555,22.178893702471917,0.0125,0.9989832904958501,-19.86440327607824,-31.184799959648217,11.320396683569978,0.01,0.9984056927792648,-24.534879405723665,-53.764520151183206,29.22964074545954
10.0,0.015,0.9991443412303135,-17.285377450300597,-28.97502769073445,11.689650240433853,0.005,0.9304090658369818,-60.323396665010435,-64.41767946634931,4.094282801338878,0.015,0.9993826646471046,-18.8265030984704,-47.83479698613134,29.008293887660937,0.01,0.9985107065962896,-20.230557167846825,-24.686695422149857,4.456138254303031
11.0,0.015,0.9992314636378982,-17.786299126486583,-31.05214507516951,13.265845948682927,0.005,0.9428913123590535,-60.17149979587717,-76.69146375672103,16.519963960843867,0.0125,0.9991822597588423,-19.542996039142643,-52.000412188202944,32.4574161490603,0.01,0.999335826828518,-22.877256472076752,-27.21878776798834,4.341531295911587
12.0,0.02,0.999025572141421,-15.106582993903006,-36.55841947490166,21.451836480998658,0.005,0.8788694586305509,-60.10895603850322,-73.43117250823991,13.322216469736688,0.015,0.9993489315951463,-16.623082642317872,-20.96766498214236,4.344582339824488,0.01,0.9976881431002507,-21.720629588549542,-35.28737561309513,13.566746024545587
13.0,0.02,0.9994964831264108,-15.291120291551849,-21.678507015445337,6.3873867238934885,0.005,0.9571581011102037,-59.66633813586583,-66.26144765521491,6.59510951934908,0.0175,0.9995654370793898,-16.237732008425795,-27.39972231990653,11.161990311480736,0.01,0.9992405073495294,-22.118726999491493,-49.91885831196045,27.800131312468956
14.0,0.02,0.9993308808603913,-14.084203244128568,-27.196206023998826,13.112002779870258,0.005,0.9968517608305734,-43.74519350649254,-53.96320584150351,10.218012335010968,0.0175,0.9993796874487759,-16.112261884745823,-19.070108097161146,2.9578462124153226,0.01,0.9989916333227385,-21.251888212886477,-32.46013917725562,11.208250964369142
