,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.4570229636396107,-44.96556413113407,-65.70002027162887,20.7344561404948,0.005,0.9879415972900726,-67.52190838488917,-71.1466519226441,3.6247435377549238,0.005,0.37590630737747477,-46.581631408733685,-70.63084369866075,24.04921228992707,0.005,0.32479085308297884,-48.51950719275166,-55.804541620813986,7.285034428062325
5.0,0.005,0.588447027664709,-43.1122890523966,-62.009531739778,18.8972426873814,0.005,0.9943573841482033,-49.45570485913152,-53.29590195869709,3.8401970995655645,0.005,0.3959148911290922,-48.136611586050684,-88.21181496980428,40.075203383753596,0.005,0.20247729419419183,-47.55882582329867,-54.87185136987463,7.313025546575965
6.0,0.02,0.9785188252247283,-14.917021731445427,-45.20354859712824,30.286526865682813,0.005,0.9858493091744297,-50.1470298702262,-61.868555374302694,11.721525504076496,0.01,0.9887699701796061,-21.63271467028543,-59.419637757454026,37.786923087168596,0.015,0.9744227144030504,-18.230748112889067,-62.351296238216165,44.1205481253271
7.0,0.005,0.8800647545913226,-38.48770655866437,-45.85466927624269,7.366962717578318,0.005,0.9741953689332786,-42.93917789090288,-46.256004046252116,3.316826155349233,0.005,0.4800361388914176,-46.87958840330587,-52.30815255161446,5.428564148308595,0.005,0.4720376113565843,-46.48870483804458,-54.99403070536468,8.505325867320096
8.0,0.005,0.8048878077205565,-39.86011402906796,-53.65882044506962,13.798706416001664,0.005,0.9691578596511515,-43.700188926413325,-50.132033709184014,6.431844782770689,0.005,0.6294120281158267,-46.169218636667956,-56.517014332992666,10.34779569632471,0.005,0.29582174016313156,-44.30151458396263,-54.33490754339621,10.033392959433584
9.0,0.005,0.6774984495150044,-44.24507755078458,-51.619029674323,7.373952123538423,0.005,0.9701940282792222,-49.75195226802426,-56.94523427677658,7.19328200875232,0.005,0.6373928515581356,-48.58213109505762,-62.36394979866076,13.781818703603143,0.005,0.36169162586824094,-48.071194870181856,-58.566199706657216,10.49500483647536
10.0,0.04,0.9914914496301953,-8.05220848229206,-58.053321564799646,50.00111308250759,0.005,0.9744968341370945,-48.320208827397835,-52.1767594634671,3.856550636069265,0.01,0.9910984338999865,-23.230088158632963,-54.8070233383329,31.576935179699934,0.0325,0.9952054244384265,-8.868469867174118,-86.8368903981966,77.96842053102249
11.0,0.005,0.9056427840398047,-34.68825992677172,-51.22414851040786,16.535888583636137,0.005,0.9541361472082781,-43.438840119861524,-48.76691125614734,5.328071136285814,0.005,0.6034157777926921,-48.16786146288196,-58.04929265399334,9.881431191111382,0.005,0.8621433715460539,-37.057324730080616,-75.67232091344651,38.614996183365896
12.0,0.005,0.8253247925294471,-39.9387199016366,-50.663574038402984,10.724854136766382,0.005,0.9641623761661051,-47.861607894140725,-63.535127665562285,15.67351977142156,0.005,0.42334282299986686,-52.211416419791604,-60.73525895802992,8.523842538238313,0.005,0.8415084398863598,-43.2661522364339,-61.11606613295542,17.849913896521514
13.0,0.005,0.7474683644186579,-38.053321564799646,-59.67942035834925,21.626098793549602,0.005,0.9737550391600598,-45.78920789180776,-72.1554317647906,26.366223872982843,0.005,0.33503064314834496,-48.006211042612996,-50.833125584229784,2.8269145416167873,0.005,0.5682239374687762,-42.74389411555495,-95.67094259131827,52.927048475763314
14.0,0.0275,0.9876530345199757,-11.044578968734589,-51.03324215228325,39.98866318354866,0.005,0.9683560909246071,-48.65115814979707,-48.844487942354355,0.19332979255728588,0.01,0.9715038971531356,-25.019784588865658,-54.11923219341016,29.099447604544505,0.0225,0.9934256791299927,-13.49980602102406,-58.418818427458575,44.91901240643452
