,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.9995552736514337,-27.196206023998826,-34.475185718792,7.278979694793172,0.005,0.9994870583086668,-44.023164504474096,-44.023164504474096,0.0,0.005,0.999742440031171,-34.32387161325854,-34.5839086635864,0.26003705032785973,0.005,0.9995151246085314,-35.92422865663236,-49.911677476821424,13.987448820189066
2.0,0.0175,0.9995750571705926,-15.286497268482686,-24.232123201421267,8.945625932938581,0.005,0.9994382436099651,-33.92051193482259,-37.53319983367116,3.61268789884857,0.0125,0.9997074237687381,-19.281236547702086,-24.221099318914145,4.939862771212059,0.01,0.9995662905739175,-21.345246991824144,-38.98034341922521,17.635096427401063
3.0,0.0275,0.9997716891514614,-11.102437688591493,-29.69700425987533,18.59456657128384,0.005,0.9983133917166442,-33.75269126995032,-40.69757985825984,6.944888588309524,0.0275,0.9998262594924263,-11.423595245866295,-18.65959795791984,7.236002712053544,0.015,0.9994684211288406,-18.24392916900881,-27.978274594140686,9.734345425131878
4.0,0.0175,0.9992238708719302,-14.218032531433238,-24.74765208142111,10.52961954998787,0.005,0.9988190346636846,-38.89605530147029,-45.764313337506806,6.868258036036515,0.0175,0.9994783291766478,-14.402433195200018,-28.662507057332228,14.26007386213221,0.0125,0.9977721324286227,-18.98716914184279,-67.9415769957929,48.95440785395011
5.0,0.0175,0.9990432928371455,-15.352996881906979,-22.448029370858794,7.095032488951816,0.005,0.9994169850950841,-38.12636672253049,-48.736037470302584,10.609670747772093,0.02,0.9991883014568873,-15.196117037607992,-35.446720418371,20.25060338076301,0.01,0.9973897961887618,-23.50400601727604,-28.76755572208243,5.26354970480639
6.0,0.0125,0.9949709715613907,-17.37308492362497,-30.422655645801623,13.049570722176654,0.005,0.9975086771680215,-33.23072895735319,-33.560574475764874,0.3298455184116804,0.0125,0.995431017496245,-18.95015108079671,-28.595457330328454,9.645306249531743,0.01,0.9878604919364081,-22.89530945190007,-62.74685067516759,39.851541223267525
7.0,0.01,0.9738384516027143,-23.249920464992606,-51.92743685167287,28.677516386680267,0.005,0.9983076569875644,-33.03138424697127,-38.77666184743502,5.745277600463751,0.01,0.9697085816959156,-25.12342495880121,-49.413801048494264,24.290376089693055,0.005,0.5000715813760004,-43.38733613310167,-79.9257933070334,36.53845717393173
8.0,0.005,0.8919690122856635,-30.591491553026483,-41.9098837293992,11.318392176372715,0.005,0.9986711870491205,-38.0391853829645,-43.713985712850345,5.674800329885848,0.005,0.8090328671907907,-32.27467408039491,-39.19030759663124,6.915633516236333,0.005,0.18344827737805594,-50.216319010197466,-66.26643233863093,16.05011332843347
9.0,0.0275,0.9983212346035018,-11.347589068815536,-23.704783007763798,12.357193938948262,0.005,0.9916509827846868,-39.87586121016645,-45.01972548444424,5.143864274277789,0.0275,0.9984350257249434,-11.309099723780376,-18.57047785946197,7.2613781356815945,0.005,0.913549912901786,-29.531144309576053,-58.33148961354545,28.800345303969397
10.0,0.0325,0.998850778040892,-10.147219973362807,-61.68172341601461,51.534503442651804,0.005,0.9832510147003783,-38.31669059668726,-38.31669059668726,0.0,0.0325,0.9990606674857601,-9.145183412090676,-32.38489355695731,23.239710144866635,0.0075,0.9920814265488717,-25.765067029252258,-56.8715182666519,31.10645123739964
