,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.2298504996764469,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.6502489415155802,-104.71693198886237,-104.71693198886237,0.0,0.005,-0.22769652603830928,-102.75187409525493,-126.48439545033357,23.73252135507863,0.005,-0.13815627429939487,-95.90563492516443,-128.62885349988832,32.72321857472389
7.0,0.1,0.9974023586549584,-0.0002650763603796191,-8.82510809115799,8.82484301479761,0.0475,0.9991253190231335,-5.184084334564466,-5.8679426167818685,0.6838582822174022,0.0875,0.9978797393722172,-1.179370684256478,-9.100162283997232,7.920791599740754,0.0225,0.9912750025468595,-13.774122190445045,-35.460646020698995,21.68652383025395
8.0,0.1,0.9988172097214598,0.0,-10.731699012241219,10.731699012241219,0.1275,0.9992081524329577,2.3818613181387653,-13.873971750742424,16.255833068881188,0.06,0.9950235117925786,-4.462427638199978,-14.843794424489786,10.381366786289808,0.015,0.9662954565582504,-16.56172347300421,-37.55649171362099,20.994768240616782
9.0,0.1,0.9992845633932207,0.0,-13.40579714615544,13.40579714615544,0.1175,0.9996140176489945,1.5430902796294663,-11.21564019537901,12.758730475008475,0.0425,0.9955329388384153,-7.649923332799302,-11.981411719726516,4.331488386927214,0.01,0.6327889458010776,-24.411303534824363,-42.514343405747105,18.103039870922743
10.0,0.0625,0.9983672759730148,-2.27685273012281,-11.074883019144252,8.798030289021442,0.05,0.9992190852387959,-5.443536897937802,-16.21460634630748,10.771069448369678,0.0375,0.9960160016801236,-8.576403804549829,-10.827121435580834,2.250717631031005,0.005,0.4829494959798285,-32.94345150291115,-52.68100148134742,19.73754997843627
11.0,0.05,0.9982014469298008,-4.032497623006483,-6.67784322193863,2.6453455989321473,0.045,0.9992366212815742,-6.939568292159144,-12.378518794970038,5.4389505028108935,0.0275,0.9960580118971775,-10.067108574644323,-28.570708634409087,18.503600059764764,0.005,0.07671892145174036,-34.45437609113173,-39.833952290289744,5.379576199158016
12.0,0.0475,0.998230397531055,-4.5449087641639005,-15.387217838070352,10.842309073906453,0.0425,0.9992170799836891,-7.706968659243519,-8.621298205350186,0.914329546106667,0.02,0.9929257186660457,-14.37824644895718,-30.834344747615322,16.45609829865814,0.005,-0.2966017433648392,-36.00049982161012,-48.99999038123323,12.999490559623112
13.0,0.04,0.9982117663387435,-6.188140677343922,-32.13929832162136,25.951157644277437,0.0425,0.9991459250430607,-7.912890206044634,-9.8291492535377,1.9162590474930665,0.0125,0.9881542854802167,-19.498864321043655,-33.80768950374823,14.308825182704574,0.005,0.33985254933236986,-33.3108145988661,-53.57039741608939,20.25958281722329
14.0,0.0575,0.9989474599819621,-4.035871766833731,-12.390607792994038,8.354736026160307,0.0425,0.9994345485066976,-7.904382479249863,-29.452745119496704,21.548362640246843,0.01,0.9945207805346152,-21.777092911505882,-23.95157761004413,2.1744846985382473,0.02,0.9820035495063414,-15.387283480488716,-28.87553981087921,13.488256330390495
