,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,0.8280022534121082,-68.03013165305762,-80.76657360480111,12.736441951743487,0.005,0.9859371048846184,-84.28941912558031,-93.4245137041166,9.135094578536297,0.005,0.925029061828122,-74.67621728007262,-94.15981109807534,19.483593818002717,0.005,0.8386938600275384,-71.36092858366963,-106.48608328725766,35.125154703588024
9.0,0.08,0.9357595124500526,-1.7631724086371072,-27.380235993478866,25.61706358484176,0.055,0.9528820176112217,-4.762156217036505,-7.299016370816074,2.5368601537795685,0.0325,0.9208309891454259,-8.8859747055985,-17.709417317571255,8.823442611972755,0.01,0.7387881988271497,-21.700400131981873,-24.406727199744868,2.706327067762995
10.0,0.0775,0.9016375080435935,-1.623050996704186,-8.47776973629491,6.854718739590724,0.0525,0.9147314567994949,-4.509772324034656,-35.822546942916794,31.312774618882138,0.0375,0.8608417170021683,-8.694315306280044,-9.694484774108409,1.0001694678283641,0.0175,0.7553714727799012,-15.805177464898621,-25.536546286528434,9.731368821629813
11.0,0.05,0.9051109207900617,-5.270883289751804,-13.054448132834864,7.7835648430830595,0.04,0.9279190959862529,-6.643379309087363,-18.586221235348933,11.94284192626157,0.03,0.734793948492002,-9.365914387057058,-18.599320400152944,9.233406013095886,0.01,0.8030802485165056,-20.455233270345342,-37.588521120864236,17.133287850518894
12.0,0.0425,0.9014532452247696,-7.524014347762218,-31.75133049258022,24.227316144818,0.0325,0.9291910543851051,-7.996862933331813,-13.243706872681841,5.246843939350028,0.015,0.7291034624011742,-16.651666291010127,-29.7428542316324,13.091187940622273,0.005,0.691632003276175,-31.763222091893148,-45.954620442659966,14.191398350766818
13.0,0.0375,0.9005338564713493,-8.151238195538385,-15.487543251727928,7.336305056189543,0.0325,0.9057829392307576,-8.413488131487178,-14.798957409821513,6.385469278334336,0.015,0.7460248519781139,-16.95529382421983,-55.17671971384404,38.22142588962421,0.005,0.45070060825130787,-37.17302242840202,-54.40735406603721,17.234331637635186
14.0,0.0375,0.9260880197572876,-8.345819029983684,-8.691420492358017,0.34560146237433287,0.0325,0.9185057584963914,-8.600040821742073,-35.20510580706158,26.605064985319505,0.0125,0.7869289916944847,-19.280389524130285,-28.93687659270968,9.656487068579395,0.005,0.7275534882273276,-39.16932437918446,-57.03464895881743,17.86532457963297
