,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.015497358077081377,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8433960756569922,-100.09811930405647,-109.83468633802812,9.736567033971653,0.005,-0.0012698452989821879,-97.47713516463114,-103.50211489626197,6.024979731630836,0.005,-0.007569925163607347,-91.86504505486717,-101.13079141584328,9.26574636097611
1.0,0.005,0.02320843873363287,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.6084860093004083,-104.8599771353288,-119.05881017226938,14.19883303694057,0.005,0.007019348492151709,-95.68598594160063,-111.931195314245,16.245209372644368,0.005,-0.031733238338516816,-91.62688335144145,-101.8564925377933,10.229609186351851
2.0,0.005,0.23079631086984354,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8270889250231864,-102.47196754507853,-133.97940008672037,31.507432541641847,0.005,0.06230429018510907,-97.55990381691373,-133.97940008672037,36.41949626980664,0.005,-0.032101490217422014,-90.03182707287684,-133.97940008672037,43.94757301384354
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9852288281391043,-108.72055540146226,-130.41009467629044,21.689539274828178,0.005,0.9516709319012193,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8195446483173656,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9905721019189232,-119.86258257904464,-133.97940008672037,14.116817507675734,0.005,0.9802396880939629,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9208758923428918,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9840163933236741,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9430080045434053,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8431311584556576,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9816312864550779,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9793627258372376,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9886026831993648,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9569923227734255,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9929079120996307,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9716224959430422,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9934541014648095,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9725495893860798,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.990629298854373,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.955512495732285,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9837519927917444,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9796568472747885,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9817876734218469,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9427662974088357,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.02,-0.5853470175510093,-14.630927113739657,-24.900080538835105,10.269153425095448,0.005,-0.7281999897948815,-32.00130360834648,-36.2450744932768,4.243770884930321,0.0175,-0.6111585754699647,-16.092140150993714,-42.98805863248381,26.8959184814901,0.01,-0.46786309356740846,-23.785373153829607,-50.870265637912915,27.08489248408331
14.0,0.025,-0.3242302615373597,-13.274050316529078,-26.944943762341737,13.67089344581266,0.005,-0.9101054240358344,-31.442549311410257,-37.69741230730254,6.254862995892285,0.0175,-0.2822507206866461,-14.281998706506524,-35.85367105734618,21.57167235083966,0.01,-0.44897110279982444,-24.636189125150047,-45.89900569545019,21.262816570300146
15.0,0.0225,-0.03176036909136584,-13.590116697317395,-24.561923244899425,10.97180654758203,0.005,-0.9077602949065032,-32.968235638071505,-42.07514781349647,9.106912175424966,0.02,-0.021092750640070428,-15.80682452396205,-34.69912246528978,18.892297941327733,0.01,0.19520726825776746,-22.560084132665352,-41.915091411278915,19.355007278613563
16.0,0.0225,0.2523259518725976,-13.410761220951546,-33.34521635936638,19.934455138414837,0.005,-0.9209294528380494,-33.981537141547214,-36.63895423952149,2.6574170979742746,0.02,0.2507021693127401,-14.414662402104863,-36.354224036106785,21.939561634001922,0.01,0.4072988986527077,-21.743602364884943,-40.007181685057844,18.2635793201729
17.0,0.015,-0.42569583950810214,-19.740949940122007,-63.074441978842486,43.33349203872048,0.005,-0.9161451885168926,-35.46207960758687,-50.81542702827018,15.353347420683306,0.0125,-0.4830115397282241,-19.92276961742901,-75.69234946921156,55.76957985178255,0.01,0.25810894749120805,-24.97526474508669,-37.04354360095687,12.068278855870183
18.0,0.0125,-0.6405969455889153,-19.834069362963064,-35.161078123333866,15.327008760370802,0.005,-0.9066020265436797,-36.0457420744145,-41.28593036665314,5.240188292238642,0.01,-0.6442841105275866,-20.40331195454137,-28.04419193710212,7.640879982560751,0.005,-0.37217936517016553,-30.914515591719894,-44.56148376900898,13.646968177289086
19.0,0.0125,-0.6389771412601297,-19.74352315585348,-45.95931981491623,26.215796659062747,0.005,-0.9001583381589852,-36.570777886679224,-50.15114827679958,13.580370390120358,0.01,-0.7100827236052478,-21.452838541536185,-29.666844301261612,8.214005759725428,0.005,0.2240920319787946,-27.69240886708719,-39.51043024503538,11.818021377948188
20.0,0.015,0.08743013432868621,-18.68821972375101,-34.349805824450435,15.661586100699424,0.005,-0.8926004626883809,-37.67046127614219,-39.99426497657119,2.3238037004289964,0.015,-0.0301312441509684,-19.891241286169826,-23.249574239181904,3.358332953012077,0.01,0.7966904026897895,-24.235461454960898,-34.448386991589125,10.212925536628227
21.0,0.015,0.32044751626624723,-17.619453295979724,-19.728095283878975,2.108641987899251,0.005,-0.8857294264628023,-37.87740774147195,-48.14013700876317,10.26272926729122,0.0125,0.1250930020026785,-18.8603617936563,-35.05776113395959,16.19739934030329,0.01,0.9314409744853877,-21.298005544649094,-27.114184419579654,5.816178874930561
22.0,0.015,0.3409516337392045,-17.90003100496018,-36.73863111839208,18.838600113431898,0.005,-0.9187136408567783,-38.473633807169065,-45.10472314709307,6.631089339924003,0.0125,-0.02840386445142405,-19.909669433689952,-29.700317472984636,9.790648039294684,0.01,0.9285487987726406,-20.821454712005814,-36.89629433601412,16.07483962400831
23.0,0.0125,0.0005166052414989457,-19.699881827500832,-43.82334959324051,24.123467765739676,0.005,-0.8604682744167094,-39.54119827131405,-60.74200418582164,21.20080591450759,0.01,-0.38677513732336793,-22.88954093909552,-45.11155086665343,22.22200992755791,0.01,0.8514766191878781,-22.514194874721696,-36.22342177754246,13.709226902820767
24.0,0.01,-0.6230678924309634,-21.62720593083654,-31.56867654989807,9.94147061906153,0.005,-0.8497749157319491,-40.788994804999305,-43.516700331938274,2.727705526938969,0.01,-0.7636698023649708,-23.772699693752255,-34.1179703910666,10.345270697314344,0.005,0.3507472373470372,-28.639057138148928,-38.404360580562276,9.765303442413348
25.0,0.01,-0.7561625484027791,-25.208375432283326,-29.61642956668795,4.4080541344046225,0.005,-0.8056681056153339,-40.35406971650393,-42.89822227379953,2.544152557295604,0.01,-0.8067534739818454,-25.867414363576824,-32.40296026207803,6.5355458985012085,0.005,-0.13550387081393753,-33.20388518846974,-45.234224978043315,12.030339789573574
26.0,0.005,-0.7217025199303956,-27.42997637071509,-44.073921478079264,16.643945107364175,0.005,-0.9169207850851723,-40.48320890088953,-60.99389823989427,20.510689339004742,0.005,-0.7733556562186978,-27.45690621118891,-51.43819681947594,23.98129060828703,0.005,-0.0012332163905827938,-34.231302444101715,-62.256339647010705,28.02503720290899
