,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.07302534918273045,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,0.7755040172526514,-95.9383482870198,-95.9383482870198,0.0,0.005,0.14271257500340387,-86.43091717648927,-97.84948155588849,11.418564379399214,0.005,0.15837089201550472,-75.2681158286122,-103.62257336937947,28.35445754076727
7.0,0.065,0.9991871447308373,-3.985396721325306,-31.60893567012126,27.623538948795954,0.045,0.9996686045115374,-4.770488800067756,-12.182294470818553,7.411805670750796,0.0375,0.9984809423993608,-8.80980233822634,-44.835228511863505,36.025426173637165,0.015,0.9967968986272868,-13.486506999113113,-43.221348948679335,29.734841949566224
8.0,0.0625,0.9997741988938582,-3.492187702947727,-20.0233577419868,16.531170039039072,0.045,0.999845395727949,-7.141375795049511,-23.09184985968337,15.95047406463386,0.0275,0.9994899399141682,-11.7065761515065,-16.009614976442727,4.303038824936227,0.005,0.9942337581454692,-29.423819629592124,-58.2276961252579,28.803876495665776
9.0,0.0525,0.9996402074770071,-5.535533833517471,-17.24860967720209,11.713075843684619,0.045,0.9998387292849051,-7.572974054133721,-31.018709530966532,23.445735476832812,0.0225,0.999125368751478,-13.197417653513794,-32.85491289697634,19.65749524346254,0.005,0.9952836486377913,-36.10259755367355,-76.8382840591197,40.735686505446154
10.0,0.04,0.9999239931271305,-7.476868096829347,-14.390008721138292,6.913140624308945,0.03,0.999897807166953,-10.567915220914486,-20.423508800886655,9.855593579972169,0.0125,0.9996551898511509,-19.80486238701929,-21.542906182937493,1.7380437959182018,0.005,0.9977557258977418,-32.49508785927327,-41.30846445947923,8.813376600205963
11.0,0.035,0.9998091690262401,-8.824375938787846,-35.82348130717857,26.999105368390723,0.0275,0.999842839559775,-11.584198230668143,-13.702511699410243,2.1183134687421,0.015,0.9998368693456245,-17.0321750676353,-33.61419233542,16.5820172677847,0.005,0.99702493757785,-27.708137678795826,-71.92672740734163,44.21858972854581
12.0,0.03,0.9996750101125138,-10.364767042544258,-24.402055732521998,14.03728868997774,0.0275,0.9996882582393548,-11.436272472929392,-28.26839266826234,16.832120195332948,0.01,0.9995292013705441,-21.24144286594557,-24.096902871011952,2.8554600050663836,0.005,0.9946078116167153,-35.53763222361877,-45.165922819634446,9.628290596015674
13.0,0.0175,0.9996921632218561,-15.8103804153464,-43.15030175918528,27.33992134383888,0.0175,0.9998979879887403,-15.320988839239245,-18.88557995184092,3.5645911126016756,0.01,0.9985802814769351,-24.19937405115678,-48.38913952176904,24.189765470612258,0.005,0.9899931316540145,-44.032230013253475,-63.43302429942821,19.400794286174737
14.0,0.015,0.8030511198617235,-16.826479044340193,-30.976778965555667,14.150299921215474,0.0125,0.9999266930767097,-18.937289747612386,-26.29154906636837,7.354259318755982,0.01,0.3989408695804257,-20.7710839366518,-60.86493227413592,40.09384833748412,0.005,-0.7538792488891863,-32.50037056395282,-47.907759221861824,15.407388657909003
