,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.01,0.8724239435206455,-25.689807584222976,-32.75005966661059,7.060252082387613,0.005,0.9939655459926533,-77.71761656896294,-77.71761656896294,0.0,0.005,0.9641576849134608,-31.91077581640229,-38.3500916087704,6.4393157923681095,0.005,0.8172639906614912,-26.758359807757216,-31.797377469857537,5.039017662100321
6.0,0.03,0.9727130485315305,-11.47578913142651,-17.430080444233024,5.9542913128065145,0.02,0.9999983779222427,-14.167712120672771,-23.301865675923516,9.134153555250744,0.015,0.9887085344327939,-18.89097916117454,-20.440391397724675,1.5494122365501362,0.0225,0.8398407730264826,-13.32374817225861,-30.373262979557637,17.049514807299026
7.0,0.03,0.9783608349182177,-11.72573103509307,-45.300598653016465,33.574867617923395,0.0225,0.999921076631876,-13.251759990270678,-19.38424546771897,6.1324854774482915,0.015,0.9936114549248094,-18.663422104439192,-28.676730210226044,10.013308105786852,0.015,0.812898208150429,-16.659697119598146,-26.00590518401816,9.346208064420015
8.0,0.0275,0.960017227470343,-11.42922119771892,-30.68168851762347,19.25246731990455,0.0225,0.9999471053158743,-13.748319004864573,-31.43144234963572,17.683123344771147,0.015,0.9987821204156054,-17.92033598404557,-25.329191764302355,7.408855780256786,0.015,0.7783111268876357,-16.849519806849024,-30.476399280656636,13.626879473807612
9.0,0.03,0.9757560001287886,-11.613981205922776,-13.002180586702679,1.388199380779902,0.02,0.9999588032052305,-15.386450950313183,-20.790854203285043,5.404403252971861,0.015,0.9996443653520678,-17.125071695445722,-26.164131392365594,9.039059696919871,0.015,0.7904423665781337,-18.55445059658005,-26.91923595651854,8.364785359938491
10.0,0.025,0.9158314289614544,-12.557777880594177,-34.19898153602635,21.641203655432175,0.0175,0.9999874696593365,-15.253357672812758,-39.71999103210376,24.466633359291006,0.015,0.9974505883040871,-19.0722126252344,-48.84672628598069,29.774513660746287,0.015,0.792205344957408,-16.48713757313753,-34.96434198248882,18.477204409351287
11.0,0.02,0.8440530982601752,-15.311181873765918,-28.653291292865354,13.342109419099437,0.005,0.9997746255405792,-26.59369516994857,-38.04784869939651,11.45415352944794,0.005,0.9899964664572226,-27.742333237781494,-38.860954524088086,11.118621286306592,0.015,0.794980718440455,-17.063637615331572,-51.52238117346526,34.45874355813369
12.0,0.015,0.8374075479645328,-18.416728515992396,-41.33487230109275,22.918143785100355,0.005,0.9998673836453111,-26.792233844471983,-62.375320580218784,35.583086735746804,0.005,0.9930729950294627,-27.704971113175567,-32.02908731440059,4.324116201225024,0.015,0.7749500361442797,-19.106800697693764,-59.888834687623564,40.7820339899298
13.0,0.015,0.7093548091329844,-17.13160685515511,-26.21032825211146,9.07872139695635,0.005,0.9999717931290072,-32.74168003668704,-46.97474233616428,14.23306229947724,0.005,0.9830404917995238,-29.204632531772816,-36.11220643968815,6.907573907915335,0.015,0.7258297894990766,-19.287242061780468,-28.411651269606843,9.124409207826375
14.0,0.01,0.8229507479654488,-20.968682330425644,-43.03675910135147,22.068076770925828,0.005,0.999728021296163,-35.90162192213829,-51.73518501553793,15.83356309339964,0.005,0.987098596504932,-30.587833549793892,-56.11206324913472,25.52422969934083,0.01,0.7491657288220197,-20.8810813238947,-54.41459113458371,33.53350981068901
