,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,0.21028019838670226,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.9108815930018294,-90.8873195293447,-106.77044847224616,15.883128942901465,0.005,0.4035294143487358,-87.73364723936709,-127.01378920839153,39.28014196902444,0.005,0.03005749818312409,-87.56864059498945,-121.41131017999658,33.84266958500713
1.0,0.0025,0.14707965385043736,-74.74597369152148,-78.2677988726351,3.5218251811136128,0.005,0.516350613441696,-95.01683527423886,-101.36091610736929,6.344080833130434,0.005,0.020323328158267855,-92.3446727336782,-103.81542787607493,11.47075514239674,0.005,0.002448817041369834,-88.11498527950384,-103.58904197471128,15.474056695207437
2.0,0.0025,-0.13616902935766398,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.44006952517922393,-93.71806934429432,-102.57789253504812,8.8598231907538,0.005,0.09661780361610398,-93.59056523784014,-103.57612913141551,9.985563893575375,0.005,-0.024744904747437724,-88.0293637562916,-100.18526088149606,12.155897125204461
3.0,0.0025,0.053276562253885267,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,-0.44997028107381926,-93.46045438228589,-125.38033228932738,31.919877907041496,0.005,-0.11344021500630377,-92.46390756879353,-101.15630714242486,8.692399573631334,0.005,-0.06958663920590313,-86.10743555471907,-99.89301517812989,13.785579623410811
4.0,0.0025,-0.06849538271719435,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,0.035145412124598395,-96.37752081056095,-100.30062643254772,3.923105621986764,0.005,0.09330918061751674,-92.71981920190173,-106.11342966746557,13.393610465563839,0.005,0.014211962440054243,-87.60279612163879,-109.27773773818984,21.674941616551052
5.0,0.0025,0.7459961162448829,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.13450358670650303,-90.90359703385509,-90.90359703385509,0.0,0.005,0.6204151925793826,-82.5817586845612,-126.62455867151068,44.04279998694949,0.005,0.07886678720471534,-84.9012119525147,-133.97940008672037,49.078188134205675
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.992561153474268,-86.17821810399575,-95.94737806000478,9.769159956009034,0.005,0.9968805205068164,-97.36387910568857,-133.97940008672037,36.61552098103181,0.005,0.997361815681271,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.998216991625165,-95.95325621426555,-108.44644505574836,12.493188841482805,0.005,0.9970104949982029,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982742145443098,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.998812434355291,-108.23081350188545,-124.8976463380094,16.666832836123945,0.005,0.9982356606858143,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9965062178166832,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9986331492555575,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9956057223533499,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
