,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9480805624503094,-55.50174490930948,-73.40703789890921,17.90529298959973,0.005,0.9909965759002574,-59.40231478891804,-74.2575630118766,14.855248222958558,0.005,0.7825610941994734,-62.28712611494227,-72.55049521444943,10.263369099507159,0.005,0.3829757888095116,-62.37331230339889,-80.86319369192147,18.489881388522576
1.0,0.005,0.932057328177403,-56.505077098624085,-66.22659904607586,9.721521947451777,0.005,0.9865820976047002,-58.154323936580816,-61.70876164642805,3.5544377098472353,0.005,0.7919965247415355,-64.1989535933738,-72.8135634589598,8.614609865586004,0.005,0.2002439407162047,-75.47467992969726,-112.06349902034661,36.58881909064935
2.0,0.005,0.9473993772193038,-55.98893182649837,-67.3864379856296,11.397506159131225,0.005,0.9939981486390113,-59.08500681765823,-76.0555419566805,16.970535139022267,0.005,0.800551181918053,-63.102344261322855,-79.01278322515972,15.910438963836867,0.005,0.10650550709672177,-70.97732202133459,-90.3337104305565,19.356388409221907
3.0,0.005,0.8800010248028519,-57.844012891236346,-67.3864379856296,9.542425094393252,0.005,0.9682419878500507,-60.87143233856564,-79.87607859574416,19.00464625717852,0.005,0.7459516825368167,-66.67124011505506,-74.51735962020615,7.846119505151094,0.005,0.17442872894980863,-73.96436970355569,-104.24730720917339,30.282937505617696
4.0,0.005,0.8825458274980134,-59.9387199016366,-74.74597369152148,14.807253789884882,0.005,0.9769268843936156,-63.140432224793784,-76.25697180943372,13.116539584639938,0.005,0.8204773413792795,-67.07594055635867,-71.93932333115404,4.863382774795369,0.005,0.3055316622335296,-66.13536423469908,-71.48860851232678,5.353244277627695
5.0,0.005,0.4774196962532587,-43.539868827102254,-52.69272685357852,9.152858026476267,0.005,0.9845674500245967,-60.35451156460574,-65.79266378713153,5.438152222525794,0.005,0.7883231177174911,-61.22007413804369,-68.3325580219671,7.11248388392341,0.005,0.36146671537277647,-44.03618642152482,-53.27275497199048,9.236568550465662
6.0,0.005,0.2972431888191977,-39.96508074019487,-59.67942035834925,19.714339618154376,0.005,0.9870136755064993,-59.48457270010648,-68.00944922412113,8.524876524014644,0.005,0.5115662774352845,-55.97208518573253,-93.60812216352767,37.636036977795136,0.005,0.24262144577733433,-40.796847424196095,-54.65639776310887,13.859550338912776
7.0,0.005,0.5086046188206761,-45.54807663661845,-57.053842065562876,11.505765428944429,0.005,0.9667861752122284,-58.656842251579576,-91.15887720406369,32.50203495248411,0.005,0.56770671430018,-52.797691012738795,-66.06305198416466,13.265360971425864,0.005,0.23415056614334406,-48.045196772334016,-82.64863656214351,34.60343978980949
8.0,0.005,0.16730022809612768,-33.16234877056899,-45.39874534291136,12.236396572342372,0.005,0.82164304981401,-57.72108983436085,-65.82851349229645,8.107423657935598,0.005,0.1431695606864239,-33.42061359882026,-39.11003411571389,5.689420516893627,0.005,0.2053820719357213,-58.15860801919179,-68.54055321605232,10.381945196860528
9.0,0.005,-0.1254102806432397,-29.664684633234724,-48.798059471343734,19.13337483810901,0.005,0.9069744431312617,-54.06052447609038,-65.00820542707716,10.94768095098678,0.005,-0.12300914521409714,-30.767511670081888,-47.07018852891772,16.30267685883583,0.005,-0.05185405359639792,-55.24306698455719,-69.8321852561642,14.589118271607006
