,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.7774178744851885,-49.16994897575528,-61.932050947484115,12.762101971728832,0.005,0.9028005100012131,-56.76721740911627,-56.9117739605361,0.14455655141983215,0.005,0.7202789286360506,-56.97007856600051,-62.96249304602199,5.9924144800214805,0.005,0.5647857078041009,-57.19534404267538,-59.637587739820425,2.442243697145045
6.0,0.005,0.792575732081895,-45.72533254304082,-57.362464434588944,11.637131891548123,0.005,0.9394356552341669,-56.93869978998053,-83.29725843847221,26.35855864849168,0.005,0.7668024177063701,-50.748990370405394,-72.07266464154178,21.323674271136383,0.005,0.6404370879990609,-51.81549826553969,-64.08036407401573,12.264865808476046
7.0,0.005,0.8304527754379342,-48.86780102282968,-56.60669352778379,7.738892504954109,0.005,0.9041149267538392,-58.477523161042136,-82.6665939108106,24.18907074976847,0.005,0.8478334962906293,-51.20371710783435,-57.41535887307241,6.211641765238056,0.005,0.6977514670143056,-54.25034095202172,-66.06665302914551,11.81631207712379
8.0,0.02,0.9827689988273772,-15.041183256021116,-40.376310246172494,25.33512699015138,0.005,0.9893860793114119,-38.7080375798556,-61.19101237854451,22.482974798688907,0.0175,0.9930542887782523,-16.408631003826827,-41.66033034521712,25.251699341390292,0.01,0.9608663174666989,-22.764238939369058,-34.138241574874904,11.374002635505846
9.0,0.0175,0.9817499304792323,-16.236497867829254,-19.790462078395898,3.553964210566644,0.005,0.9763875412378046,-41.804318472272655,-64.9222882044196,23.117969732146946,0.015,0.9951051898186565,-17.59549191195949,-25.535903174150107,7.940411262190619,0.01,0.966167553180807,-23.760522585614044,-36.115059382721135,12.354536797107091
10.0,0.015,0.975090570896364,-17.24676839178363,-18.697781777605798,1.4510133858221685,0.005,0.9885602128367028,-45.48773599386509,-60.04064532001146,14.55290932614637,0.0125,0.9904709077440107,-16.78396622041327,-21.554728062545536,4.770761842132266,0.01,0.955917986565521,-23.89745731588428,-35.591947732949194,11.694490417064912
11.0,0.0125,0.9690398660851587,-18.470567997997307,-24.693095635426495,6.222527637429188,0.005,0.9945276284076858,-43.20643663469256,-51.14564164991172,7.939205015219159,0.01,0.9863804941782359,-22.06944369423858,-26.905269752769982,4.835826058531403,0.005,0.9566681990195012,-26.209855074223057,-35.346784273968154,9.136929199745097
12.0,0.01,0.9678285736543986,-23.402827168765935,-34.35571033289287,10.952883164126934,0.005,0.9913315260783716,-43.855648712585165,-73.80653710572525,29.95088839314009,0.01,0.9881159469235888,-22.94104245552377,-54.21593096843223,31.27488851290846,0.005,0.9598019346904163,-28.943069930311026,-61.53835785369714,32.59528792338612
13.0,0.005,0.9552937734849404,-31.714966317765132,-51.74593245632043,20.0309661385553,0.005,0.9531252302361763,-53.63307502521981,-58.727063220389006,5.093988195169196,0.005,0.9815688597384844,-34.72481425754501,-52.493457047102154,17.76864278955714,0.005,0.951836347512831,-34.740086602547606,-50.887971292838884,16.147884690291278
14.0,0.005,0.9391911291983673,-34.1623759236011,-57.76653236960006,23.60415644599896,0.005,0.856457553193939,-56.94857359861519,-95.37590033139179,38.4273267327766,0.005,0.9725851728088553,-38.54484041283771,-68.75268892626585,30.20784851342814,0.005,0.9221579166605964,-41.348469689687086,-74.58890517214267,33.24043548245559
