,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.11213166805305616,-51.518613646821976,-63.86461280451597,12.345999157693996,0.005,-0.43818850193268927,-74.88148710906592,-86.88540206104683,12.003914951980917,0.005,-0.12233524776351196,-51.841034248096264,-65.22184077721805,13.380806529121784,0.005,0.0663055540547283,-64.52859004942536,-74.41272337517881,9.884133325753453
1.0,0.005,0.2850986209476263,-49.96833191321875,-78.2677988726351,28.29946695941635,0.005,-0.14353531376530623,-72.1066116550521,-99.50482947969716,27.39821782464506,0.005,0.3008313837447118,-50.33899627279868,-66.77968495656665,16.440688683767974,0.005,-0.193065833557007,-65.24201746793275,-106.16114070270515,40.9191232347724
2.0,0.005,-0.31763467258268707,-48.945281464271126,-55.823481307178575,6.878199842907449,0.005,0.1301163216477368,-74.27114063854668,-84.12760859179429,9.856467953247602,0.005,-0.3257724691688514,-50.62435751640208,-53.130977993417005,2.506620477014927,0.005,0.12223839631115364,-65.9636964208619,-76.23518596152287,10.27148954066098
3.0,0.005,-0.04121204823555582,-51.41934525619099,-68.03013165305762,16.610786396866636,0.005,-0.18271878695930518,-73.01351140813256,-90.32340841114207,17.30989700300951,0.005,-0.053101408691388345,-52.28818745548257,-63.24170281809629,10.953515362613722,0.005,0.15041447501062563,-66.4007429037801,-98.40936178490479,32.00861888112469
4.0,0.005,0.03649608526690496,-51.518613646821976,-90.30899869919435,38.79038505237237,0.005,0.44404311906945,-76.67554348288924,-100.70854164892083,24.03299816603159,0.005,0.03471432698404164,-53.23605113380461,-56.405622917085346,3.1695717832807375,0.005,0.11808681282557891,-66.68542589009722,-77.53992031418554,10.854494424088315
5.0,0.005,-0.1145097390652569,-52.69272685357852,-59.67942035834925,6.986693504770727,0.005,0.3468066067010684,-75.26651671102114,-81.41294782683846,6.146431115817322,0.005,-0.13323839001803406,-52.73102554180619,-63.6545338086266,10.923508266820413,0.005,0.08435215110343862,-69.85800877412761,-107.68405604991422,37.82604727578661
6.0,0.005,-0.5060757346577954,-52.03272165152002,-73.40703789890921,21.37431624738919,0.005,0.012917887000486888,-75.68699738439852,-98.87283313497903,23.18583575058051,0.005,-0.5021679985360015,-53.22457732672533,-69.74763729252872,16.52305996580339,0.005,0.052841793756027385,-70.59957548516091,-75.26790178724158,4.668326302080672
7.0,0.005,-0.3782604353534835,-56.15759517723562,-68.03013165305762,11.872536475822002,0.005,0.43490560936818734,-76.56083090402426,-85.30439563230931,8.743564728285051,0.005,-0.4075185112859303,-55.55748942168378,-63.2935150901275,7.736025668443716,0.005,0.022677452281151533,-71.14401722990269,-87.89444079553702,16.750423565634335
8.0,0.005,0.1695204644676337,-54.46116490922928,-65.70002027162887,11.23885536239959,0.005,0.3924773243191961,-81.68874401566632,-99.20939319487258,17.52064917920626,0.005,0.157090721236762,-55.13966498097104,-68.68884496585595,13.549179984884908,0.005,0.0813280531222347,-71.54174983954607,-96.38184141602258,24.84009157647651
9.0,0.005,-0.1408342087648633,-60.20599913279624,-73.40703789890921,13.201038766112973,0.005,0.5762126806659492,-79.59635711951745,-88.78723310569623,9.190875986178781,0.005,-0.14710139154003996,-60.39015359092386,-68.10397035961914,7.713816768695281,0.005,0.12244413497937562,-74.17654099194488,-88.43466163481496,14.258120642870082
10.0,0.005,0.12552595182346626,-62.3501985257536,-133.97940008672037,71.62920156096678,0.005,0.5820979533475314,-87.92808781724028,-98.6650588593144,10.736971042074117,0.005,0.14555659404086757,-65.60240478001477,-85.37385221679111,19.77144743677634,0.005,-0.002866135849285374,-73.75444551979848,-92.73978782236344,18.98534230256496
11.0,0.005,-0.07187991228051803,-62.3501985257536,-84.28839878591472,21.938200260161125,0.005,0.5387293118762625,-84.44296065515036,-96.16017474740363,11.717214092253272,0.005,-0.08017835714034463,-63.69798796185197,-79.10088713318457,15.4028991713326,0.005,-0.0216765130032161,-77.71234237309952,-90.93982003096818,13.227477657868661
12.0,0.005,0.06966424556468394,-65.70002027162887,-78.2677988726351,12.567778601006225,0.005,-0.16891296081745472,-86.38170248249614,-89.86518428434246,3.483481801846324,0.005,0.06468446830931178,-66.45854055431981,-75.57158499304724,9.113044438727428,0.005,-0.19818665480031805,-77.38159418257196,-93.10755112791955,15.72595694534759
13.0,0.005,0.13867521694858184,-68.03013165305762,-133.97940008672037,65.94926843366275,0.005,0.08552866785059042,-88.62535317933201,-100.32895656758141,11.703603388249405,0.005,0.16038086753360034,-68.87828037353782,-91.80460901141211,22.926328637874292,0.005,-0.05591722590999266,-82.8742109735214,-88.6649721320859,5.790761158564493
14.0,0.005,-0.021755437875074404,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.11976767109275804,-90.44065088472514,-96.10072293268996,5.660072047964817,0.005,-0.03194484512519304,-74.33497889511966,-108.55878314123785,34.22380424611819,0.005,0.026709000484649713,-85.70849257343735,-108.69316794322532,22.984675369787965
15.0,0.005,-0.06873811895318904,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.07891001203952204,-94.7182721265345,-104.20434765628175,9.486075529747254,0.005,-0.07470668150919703,-80.28937523282423,-99.13589840119997,18.84652316837574,0.005,-0.04010823440261651,-90.35101641186968,-107.88859917407457,17.53758276220489
16.0,0.005,0.04157249952672995,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.2898156010180953,-96.11952537044925,-96.71267822313901,0.5931528526897552,0.005,-0.04388786816356104,-87.96668908215288,-110.27260514814415,22.30591606599127,0.005,0.026337807300492868,-91.44973329679992,-115.74486150581751,24.29512820901759
17.0,0.005,0.07978104736231828,-90.30899869919435,-90.30899869919435,0.0,0.005,0.14431859775242473,-95.60351884787815,-110.22355624744083,14.620037399562676,0.005,0.1749833983320685,-93.4169021557468,-107.30712577162546,13.890223615878668,0.005,-0.03976540032734167,-92.11301502843847,-111.80718310021915,19.69416807178068
18.0,0.005,0.24822012697070012,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.6193198955209679,-88.79797472702077,-88.94389461560083,0.14591988858005323,0.005,-0.5033852168821109,-89.24126736219918,-98.78453183213279,9.543264469933604,0.005,0.18570854730837605,-88.49760915756548,-133.97940008672037,45.4817909291549
