,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.7778755725214971,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9945819897144313,-92.39703272972677,-119.00478581358932,26.607753083862548,0.005,0.7798503803136206,-92.4967690191805,-130.62938904338114,38.132620024200634,0.005,-0.10277814707971392,-92.26147061699831,-133.97940008672037,41.717929469722066
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995654254543335,-107.02536130844791,-124.15316447524324,17.12780316679533,0.005,0.9999178602063863,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8915382397179493,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998504759877941,-116.94356222806212,-133.97940008672037,17.035837858658255,0.005,0.9999058891192651,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.926059115875548,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997254005901774,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998710260113106,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9204562619841394,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996643030098687,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999335688497187,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997862754139972,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998201161434903,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998699724801551,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999386672372859,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998842922709542,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998395315374957,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998392988688984,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999239905945702,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997192584958834,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998963892316514,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996665140316654,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998831112570254,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,0.7828188642247552,-33.0783104820136,-45.95931981491623,12.881009332902629,0.005,0.8985307021057999,-69.19784530461337,-72.95968020552205,3.7618349009086813,0.005,0.8320898150844741,-40.86868653590501,-41.37115739484723,0.5024708589422175,0.005,0.764944992745203,-33.69145267958614,-66.8809184676462,33.189465788060055
12.0,0.025,0.9725739189256302,-11.456933722351225,-24.80277160835812,13.345837886006896,0.005,0.3481998131924379,-35.0902415380168,-35.0902415380168,0.0,0.02,0.9864841092145403,-14.210566763831364,-50.041100403831805,35.83053364000044,0.015,0.9518999082345568,-16.967665366673387,-36.97173101866148,20.004065651988093
13.0,0.02,0.9023213916654812,-14.850834799768922,-36.72044076695198,21.86960596718306,0.0075,0.8249633679954976,-24.92081567252965,-37.27223806582431,12.351422393294662,0.0125,0.9679266662378213,-17.323028366330405,-40.48208233960586,23.159053973275455,0.01,0.9402863933001013,-23.209845310456036,-40.3875986583202,17.177753347864165
14.0,0.02,0.8582420500883778,-14.489229197418041,-54.32218771012272,39.83295851270468,0.01,0.7858094351438092,-21.623300770221153,-26.059066647112434,4.435765876891281,0.0125,0.952713003612926,-17.91398417152601,-40.855730904518666,22.941746732992655,0.005,0.9294833173809685,-26.495288352251656,-33.57077455617771,7.075486203926054
15.0,0.02,0.800483279038784,-14.399740811386758,-37.98999766606634,23.59025685467958,0.01,0.6768995129999915,-20.147075064637974,-25.042046792906408,4.894971728268434,0.015,0.9125796834400015,-18.311395313004716,-35.97619355431509,17.664798241310372,0.005,0.9206978444236651,-26.12701626945522,-38.97088952976519,12.84387326030997
16.0,0.0225,0.7943583592365928,-13.941841140027263,-26.0652466111152,12.123405471087937,0.0125,0.8547120547819743,-18.29762527088281,-31.313257154454313,13.015631883571501,0.015,0.8777183154368933,-19.470221713036956,-24.41836395733267,4.948142244295713,0.005,0.9218242848876189,-27.44956501150122,-28.7817975040727,1.3322324925714781
17.0,0.0225,0.7556836417433795,-13.851259742511344,-19.681975407533162,5.830715665021819,0.015,0.6920154608428148,-17.64492662062603,-25.490655413425213,7.845728792799182,0.0125,0.8759831475949148,-19.03362527661741,-26.224150794652836,7.190525518035425,0.005,0.9212641252650352,-26.96993491648028,-48.81144672646485,21.84151180998457
18.0,0.0225,0.7418316341622291,-13.444343137234169,-21.43435387116242,7.99001073392825,0.015,0.7734753662711291,-18.048238637985246,-26.953462384640794,8.905223746655548,0.0125,0.8976211134989502,-17.115854500480033,-31.128519248272713,14.01266474779268,0.005,0.919174822169273,-26.994745820123747,-31.641070021543673,4.646324201419926
19.0,0.025,0.768576689007438,-12.705307642665689,-28.510896470406397,15.805588827740708,0.015,0.7744928207867775,-16.88183263760029,-23.191814331398042,6.309981693797752,0.015,0.9167879374419954,-15.984052545438391,-33.75698210513765,17.77292955969926,0.005,0.8965387525170737,-26.531223352541772,-54.39999566545063,27.86877231290886
20.0,0.03,0.7349463541647584,-11.626102463344816,-17.238959759935703,5.612857296590887,0.015,0.6944283218973242,-16.8545233044498,-35.6465417975621,18.7920184931123,0.0175,0.9220685985372812,-14.354411174857649,-40.2079577471529,25.853546572295254,0.0175,0.9557579046681972,-15.024093194424399,-37.05894851731484,22.03485532289044
