,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.07095937630393573,-56.86704154048,-62.009531739778,5.1424901992979954,0.005,-0.6721321557324491,-82.59598706918788,-103.45836551398963,20.86237844480175,0.005,-0.026268649258643164,-56.58255559684113,-80.57004467472665,23.987489077885513,0.005,0.2248362669475459,-78.54765312583189,-99.42592310598127,20.878269980149383
1.0,0.005,-0.17914413935351375,-54.745973691521485,-60.20599913279624,5.460025441274752,0.005,-0.08275869352360832,-91.4196350102878,-111.07714352015316,19.65750850986535,0.005,-0.2111046697996678,-55.81661465393743,-57.051957571486085,1.2353429175486568,0.005,-0.10786828902480536,-82.90637053937829,-96.38310562655033,13.476735087172045
2.0,0.005,-0.3065503756359154,-56.32959861247397,-80.76657360480111,24.436974992327137,0.005,-0.36798505324619435,-90.57212314881863,-95.23076342953077,4.6586402807121345,0.005,-0.3100420658160541,-55.50569465607279,-70.94530801169941,15.43961335562662,0.005,-0.010871846739619183,-83.83657286211294,-100.146065840745,16.30949297863205
3.0,0.005,-0.6023061604580346,-51.92743685167287,-60.20599913279624,8.278562281123364,0.005,-0.4504615348566408,-87.95615660111565,-101.250555647667,13.294399046551348,0.005,-0.5978644701738747,-51.99778567621828,-76.42369584525437,24.425910169036094,0.005,0.02355620020271438,-82.2650271129267,-89.85184352773678,7.586816414810073
4.0,0.005,-0.4236808439846066,-51.619029674323,-63.86461280451597,12.24558313019297,0.005,-0.1284472901661514,-90.02926961071871,-100.97936984198002,10.950100231261302,0.005,-0.42999219898842955,-50.39985870967464,-75.72720638112384,25.327347671449196,0.005,-0.14569078903767613,-80.5218522627319,-90.97408673386907,10.452234471137174
5.0,0.005,-0.12725092122140774,-51.518613646821976,-57.43994516947061,5.921331522648636,0.005,-0.21095007377790312,-90.07070776308015,-92.95309287305194,2.8823851099717928,0.005,-0.12081707607675726,-52.00371877781524,-55.91605903084556,3.9123402530303224,0.005,-0.15847595903912873,-80.54334271389985,-88.22304521022559,7.679702496325746
6.0,0.005,-0.36453320500126996,-51.92743685167287,-72.24719895935547,20.3197621076826,0.005,0.12558847611241689,-87.53841914933835,-92.04137449929492,4.502955349956565,0.005,-0.3706195020626803,-50.797316258320286,-83.37495838414506,32.577642125824774,0.005,0.07171985072247031,-79.14146517617337,-89.85572188085376,10.714256704680395
7.0,0.005,-0.5607668107904756,-50.48447718534446,-63.074441978842486,12.589964793498027,0.005,-0.22843140305375084,-86.69259559156166,-96.02063513949126,9.328039547929606,0.005,-0.5556060928714216,-49.259773058589275,-59.264104142567284,10.004331083978009,0.005,-0.10372464905327895,-77.79283402324225,-95.57501258176279,17.782178558520542
8.0,0.005,-0.3594835764797019,-49.095041892122126,-52.467106645384746,3.3720647532626202,0.005,-0.21969138609146965,-86.73367589593661,-91.12341790282005,4.389742006883438,0.005,-0.36405631427387813,-50.30538929004162,-56.66238069882923,6.356991408787614,0.005,-0.22214775310696594,-76.50855200197054,-87.24465095279152,10.736098950820974
9.0,0.005,0.016522447984042222,-48.44056499594966,-59.9387199016366,11.498154905686945,0.005,-0.5719757528163183,-85.0732828142023,-133.97940008672037,48.906117272518074,0.005,0.02295651481538279,-48.39086251740305,-61.778503291238934,13.387640773835884,0.005,0.19265306029962678,-75.1532518636171,-83.78332950031817,8.630077636701074
10.0,0.005,0.36396452648343314,-47.3864379856296,-66.22659904607586,18.840161060446263,0.005,-0.15000505597369132,-86.71311035758228,-95.75574327894321,9.042632921360934,0.005,0.3547958360877147,-48.06663267796879,-58.27434149480795,10.207708816839158,0.005,0.08321460888894722,-73.7937139111881,-129.99001058866773,56.19629667747962
11.0,0.005,-0.1238762162518966,-48.301587796843094,-133.97940008672037,85.67781228987728,0.005,-0.5746575235856244,-85.14951974582752,-85.14951974582752,0.0,0.005,-0.12362942625983576,-48.44861843666477,-60.176319944358795,11.727701507694022,0.005,-0.04502612665982868,-75.96564421173352,-89.59073605754801,13.625091845814495
12.0,0.005,-0.3358944968831958,-46.90376439129521,-67.3864379856296,20.482673594334386,0.005,-0.2224593349720413,-81.8852482794076,-118.00484266308496,36.11959438367735,0.005,-0.3415452458732715,-48.637072487059015,-72.04916278240765,23.412090295348634,0.005,-0.21288944821083186,-75.38559733327686,-92.32905444494551,16.94345711166865
13.0,0.005,-0.24891880444062675,-48.37079843903322,-58.713326766858145,10.342528327824922,0.005,-0.44494470745368175,-85.82042240034922,-85.86934412077859,0.04892172042937659,0.005,-0.2515187049270951,-47.72093873944116,-66.78609338579835,19.065154646357193,0.005,-0.02934207822408643,-71.50779557800928,-83.11437263617472,11.606577058165442
14.0,0.005,0.4555299132876398,-47.02194158350561,-49.72132314549016,2.699381561984552,0.005,-0.24123959770633221,-84.5322446304766,-94.16069278459128,9.628448154114679,0.005,0.4484754569127747,-47.72465126188425,-53.07020144613344,5.345550184249191,0.005,0.02456851148327515,-70.16001935179622,-76.76144880148031,6.60142944968409
15.0,0.005,0.1180347878697314,-48.23292428007521,-84.28839878591472,36.05547450583951,0.005,-0.25021244673805876,-85.45980674955723,-97.5617372151067,12.101930465549472,0.005,0.16911306861142253,-47.50238341291773,-89.03818390106346,41.53580048814573,0.005,-0.13777607569046726,-71.2831921131479,-82.05175226716129,10.768560154013386
16.0,0.005,-0.16486870510767476,-46.012121738240396,-62.3501985257536,16.338076787513202,0.005,-0.3718890421689041,-85.09465357462662,-99.2669984901971,14.172344915570477,0.005,-0.1904489462417103,-46.3916451982984,-53.24701835990511,6.855373161606714,0.005,-0.2534708054990298,-72.3271052306352,-81.41030785517005,9.083202624534849
