,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,-0.05496524179195706,-64.73392668013777,-70.30899869919435,5.575072019056577,0.005,0.9956290083895313,-101.7103125825559,-101.7103125825559,0.0,0.005,0.10395194396801093,-98.21234275272089,-103.98150290729866,5.769160154577776,0.005,0.061816857499290785,-96.09895948574953,-124.12499745348703,28.026037967737494
6.0,0.005,0.008779991918166972,-63.46054508275023,-74.74597369152148,11.285428608771255,0.005,0.6128546288076566,-101.0930500560676,-112.20982758635122,11.116777530283628,0.005,-0.015059411377977575,-98.06331025436839,-104.55767575394474,6.494365499576347,0.005,-0.00939957736042825,-93.77911137120816,-102.87676028511909,9.09764891391093
7.0,0.005,-0.017215426909282995,-64.28839878591474,-133.97940008672037,69.69100130080564,0.005,-0.38297230561668516,-109.16124759427544,-131.31719203872822,22.155944444452786,0.005,-0.01121818766063083,-97.38921592544607,-107.2929712463945,9.903755320948434,0.005,-0.011633247367106624,-95.75383529927011,-109.8435834287095,14.089748129439386
8.0,0.005,0.05146404175588866,-64.28839878591474,-90.30899869919435,26.02059991327961,0.005,0.26885118300067284,-109.68227730347749,-127.3887426431933,17.706465339715805,0.005,0.00880161977045053,-98.81328186974145,-124.9760196362761,26.16273776653466,0.005,-0.017190951209658214,-94.29550196720989,-108.4237870257604,14.128285058550517
9.0,0.005,0.05415852598791401,-62.704773864962235,-90.30899869919435,27.604224834232113,0.005,-0.16668041771701134,-108.98839052639283,-112.33329182809817,3.3449013017053346,0.005,0.01976891155008899,-98.98079858977638,-116.86996452958566,17.889165939809274,0.005,-0.019484841362983472,-94.29457705124045,-99.64893419716722,5.35435714592677
10.0,0.005,-0.04887657321984143,-63.46054508275023,-72.24719895935547,8.786653876605243,0.005,-0.16635278761068553,-112.36513970862529,-119.23365468502838,6.868514976403091,0.005,-0.1336977981436136,-98.22149033231935,-117.35618387026634,19.134693537946987,0.005,0.027907319660491127,-94.95607193361978,-104.83492445030896,9.878852516689179
11.0,0.005,-0.03708473493228959,-63.46054508275023,-76.32959861247397,12.869053529723743,0.005,0.11874552977077203,-113.81794826546886,-132.7087726310777,18.890824365608836,0.005,0.033501204321130525,-96.62569396087791,-127.11574848611654,30.490054525238634,0.005,0.002407227334526138,-94.70467733309346,-104.24082794880829,9.536150615714831
12.0,0.005,0.0599218454680869,-63.86461280451597,-78.2677988726351,14.403186068119126,0.005,0.49591117267882784,-109.05035579676667,-125.16057855677161,16.110222760004945,0.005,-0.03771716995107065,-99.46810133704176,-107.11293536048545,7.644834023443693,0.005,-0.004886166756060536,-93.5215656855915,-105.2168843351774,11.6953186495859
13.0,0.005,0.04045637910072814,-63.46054508275023,-78.2677988726351,14.807253789884868,0.005,-0.07237701912366562,-111.77294784346296,-120.3798691137841,8.606921270321138,0.005,0.11794518239345861,-98.57350072837242,-120.83217049624082,22.258669767868398,0.005,-0.008347760056422472,-94.06410713405333,-121.45160226574261,27.387495131689278
14.0,0.005,-0.0336170207862611,-63.86461280451597,-84.28839878591472,20.42378598139875,0.005,-0.07757739490415239,-114.87995333823699,-131.747809993354,16.86785665511701,0.005,-0.050167296170115803,-94.38799534398255,-98.85173473825188,4.463739394269325,0.005,-0.08265372918431978,-81.55770978647242,-95.55960622872124,14.001896442248821
