,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.02,0.9973120429148641,-15.468643756391591,-26.816174845985387,11.347531089593796,0.005,0.7423454817853697,-74.16735693163682,-83.0530533132424,8.885696381605584,0.02,0.9979315537139044,-15.586758983661342,-30.942938864533648,15.356179880872306,0.005,0.9331686729775153,-33.84676547604633,-53.388029028719174,19.541263552672845
10.0,0.035,0.9699846710715544,-9.145794629357765,-32.7270811091929,23.581286479835136,0.005,0.9490415345670921,-64.77580287628021,-69.9231264422968,5.1473235660165955,0.035,0.9700720589849378,-8.717682021631418,-26.18320465147512,17.4655226298437,0.005,0.9644594473284616,-29.227231337666367,-56.35882224074837,27.131590903082
11.0,0.0325,0.9862374667000441,-9.792235414600354,-39.27999873973685,29.48776332513649,0.005,0.9834552161710076,-64.6876956345924,-82.889981857857,18.202286223264593,0.0325,0.9863649785738798,-9.795154864742827,-31.873127084155314,22.077972219412487,0.005,0.9844312614591427,-31.039676659734184,-53.552366698505665,22.51269003877148
12.0,0.02,0.9829069126201916,-14.717068874037867,-31.46883763874809,16.751768764710224,0.005,0.9920557639302302,-65.56345921210037,-67.08986109667296,1.5264018845725928,0.0175,0.9825645263106972,-15.066186943730994,-29.828778751391965,14.762591807660971,0.005,0.9900519867258404,-28.498137176503448,-41.19934888605584,12.701211709552389
13.0,0.025,0.9910045765534634,-11.808948545574808,-26.986319293092173,15.177370747517365,0.005,0.992658705684925,-65.63966780282178,-70.42674411263548,4.787076309813699,0.025,0.9908213453759172,-12.654061078225352,-24.77414548850538,12.120084410280027,0.005,0.9941807880267673,-27.429387955002657,-42.56179324751961,15.132405292516953
14.0,0.0175,0.9483872112982121,-15.795665492910786,-47.32461644608676,31.528950953175972,0.005,0.9740605063111869,-66.32439150803711,-84.67476863489358,18.350377126856472,0.015,0.9446003482591183,-16.775272279000404,-36.01440253669753,19.239130257697127,0.0075,0.9895187664541718,-25.38200674400465,-37.64812014180621,12.266113397801561
