,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.21364232307006834,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9017641177370206,-102.29346872328925,-110.04338402377965,7.7499153004904,0.005,0.11300160922137514,-99.83907647133569,-105.8459491744285,6.00687270309281,0.005,0.09550254112534326,-88.70347433323002,-110.54470673726877,21.84123240403875
8.0,0.005,0.14211025801538102,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.0597890683009367,-102.47061739087994,-112.75004462487044,10.279427233990504,0.005,0.4805254056085567,-88.6598616020968,-107.86733218666907,19.207470584572278,0.005,0.28991496164368485,-78.43352227728553,-95.04078240549595,16.607260128210413
9.0,0.005,0.1173790984371628,-70.30899869919435,-84.28839878591472,13.979400086720375,0.005,-0.08239862345112285,-100.76151166674211,-110.76969134581658,10.008179679074473,0.005,0.44662007173832646,-84.33476637625205,-88.61432273346124,4.279556357209188,0.005,0.22811051523978076,-75.00894496495764,-86.42267876816588,11.413733803208245
10.0,0.005,0.1973694159285758,-66.78717351808073,-80.76657360480111,13.979400086720375,0.005,0.28214891072990544,-95.73436209250968,-98.85977831517145,3.1254162226617694,0.005,0.5489363423811651,-81.28488887483405,-85.61521106419588,4.330322189361823,0.005,0.2650482156494097,-70.59786908462802,-87.23071531854816,16.632846233920148
11.0,0.005,0.10968327237292481,-69.48114499602985,-133.97940008672037,64.49825509069052,0.005,0.9538795539487813,-93.33794854589094,-109.90363653403422,16.56568798814328,0.005,0.41880443058792594,-79.6289184117621,-84.49435286085352,4.865434449091424,0.005,0.1076652404391658,-73.3659520960058,-85.73699210172,12.371040005714207
12.0,0.005,0.773592687941259,-30.119980783220477,-30.7911759711585,0.6711951879380216,0.005,0.7121480888330711,-80.94031652994742,-84.0734184053176,3.1331018753701727,0.005,0.7651257577343573,-30.21934202954278,-30.21934202954278,0.0,0.005,-0.17458215134499522,-75.59848241066723,-83.2657355261672,7.667253115499975
13.0,0.01,0.7039750963373078,-24.41526621360549,-25.97512671579927,1.5598605021937786,0.005,0.7887265497938396,-78.05985692466334,-90.25256553160979,12.192708606946454,0.01,0.7007596818675605,-25.107494894092675,-25.107494894092675,0.0,0.005,-0.12092693160632674,-75.50000277025062,-89.08745720473858,13.587454434487967
14.0,0.01,0.7602800380496706,-23.123675407059388,-31.56867654989807,8.44500114283868,0.005,0.8116457145507595,-78.15727504150188,-92.72588238822472,14.568607346722843,0.01,0.7602495640832394,-22.7089964509707,-34.036628762601005,11.327632311630303,0.005,0.31804405030431465,-72.77014764595886,-74.78796827715107,2.0178206311922082
