,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.08479735742703717,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.9543687932091698,-97.93900196583544,-130.86791516632073,32.92891320048528,0.005,0.33859912869415254,-95.07872413495248,-112.16691463234471,17.088190497392233,0.005,-0.023283500172445504,-92.64154961205868,-112.97378387891249,20.332234266853803
1.0,0.005,0.10563294024778162,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.5476656620805997,-106.45606578286993,-117.98705698798278,11.530991205112855,0.005,-0.054170099558172896,-99.08285074448924,-111.81393524219783,12.731084497708594,0.005,-0.07644743135395708,-91.25401990831307,-104.69741438061189,13.44339447229882
2.0,0.005,0.03038395549655358,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.40907882282347485,-105.67051643137567,-133.97940008672037,28.3088836553447,0.005,-0.07211959512117894,-97.77360734457099,-107.68593933333071,9.912331988759718,0.005,-0.011983961441856676,-92.72010442814533,-133.97940008672037,41.25929565857504
3.0,0.005,-0.047292535160626266,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.7165835994882332,-104.00382722582812,-107.71108175945365,3.7072545336255303,0.005,0.038533964229612756,-98.39643751087648,-107.06366745087031,8.667229939993831,0.005,0.04167120133210055,-91.34992998067077,-133.97940008672037,42.62947010604961
4.0,0.005,0.12272914983192722,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.9018240849782473,-104.03724013036415,-115.08720143039234,11.049961300028187,0.005,0.11071563028259862,-92.8375889952234,-116.48787608971958,23.65028709449618,0.005,-0.029871160101062586,-91.94650565992207,-110.5200033016388,18.573497641716727
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996298314759547,-95.64176087789616,-112.171688528298,16.529927650401845,0.005,0.9984600113119629,-98.3772892847856,-133.97940008672037,35.60211080193477,0.005,0.9994412871860168,-110.45035886185931,-133.97940008672037,23.52904122486106
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999694412081276,-109.58622336252282,-130.68870930320367,21.10248594068085,0.005,0.9995292622403317,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9989101828961492,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999521245555225,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9986160212093453,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995370036346358,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999168368474809,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995023171402145,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999071045126467,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9989800470146732,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
