,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.035,0.36781038440018193,-9.367397242869227,-21.26406720878561,11.896669965916384,0.005,0.7954320619735671,-34.118250312996594,-42.119648226980864,8.00139791398427,0.0225,0.8851503569534231,-13.781056702483639,-26.203763873789498,12.42270717130586,0.0275,-0.5227449815017295,-10.548303214839297,-23.29216771956666,12.743864504727362
4.0,0.04,-0.4774916147959007,-8.101919045914313,-12.931409774452597,4.829490728538284,0.005,0.39163297107378614,-42.078295970846995,-53.23421689294406,11.155920922097067,0.025,-0.4792205949943896,-13.563839833811315,-16.853431014268224,3.2895911804569096,0.0325,-0.4881260896286614,-10.155295018249177,-58.692179359796874,48.5368843415477
5.0,0.03,-0.20603717998607962,-10.881625963365892,-17.369167949651906,6.487541986286015,0.005,-0.15383790212320178,-45.83243996300425,-53.43791783854634,7.605477875542093,0.02,-0.1477213835802722,-14.68885670626733,-23.04858380858761,8.359727102320278,0.02,-0.4111619705288171,-14.331048042533666,-22.5957626913627,8.264714648829035
6.0,0.03,0.16832056421530114,-11.9515395952174,-35.32974147407113,23.37820187885373,0.005,0.7286259988901702,-44.79729916401412,-55.80698823940288,11.009689075388756,0.02,0.3667515498265814,-15.81982272229335,-25.224194582294214,9.404371860000863,0.02,-0.325335873979465,-16.08246993109881,-46.03081265397624,29.94834272287743
7.0,0.025,0.7684672882739333,-13.351378750286854,-37.034980191401395,23.68360144111454,0.005,0.44411014511266655,-47.97081045529615,-61.80129737312009,13.83048691782394,0.02,0.8515139585241962,-14.421522601716589,-17.09278008015722,2.67125747844063,0.01,-0.2020408855850981,-21.55811996382837,-35.403126895507356,13.845006931678984
8.0,0.03,0.6165723605426182,-10.57445951256999,-12.591601481116228,2.0171419685462393,0.005,-0.12211461459569649,-49.72726477799357,-60.13908759056476,10.411822812571195,0.03,0.7501969533659895,-11.085387933662311,-16.268541847666796,5.183153914004485,0.0125,-0.23594050567341174,-19.681690850724483,-33.24995947009406,13.56826861936958
9.0,0.03,0.04911446340259896,-11.044578968734589,-20.93319345720214,9.888614488467551,0.005,0.051469894919537774,-50.181839451737595,-58.300194864746885,8.11835541300929,0.03,0.1469172534956225,-11.054389107696007,-16.22335309236522,5.168963984669212,0.01,-0.3800148631979404,-22.54368282511768,-36.58922402132316,14.04554119620548
10.0,0.025,-0.2612157574887753,-12.40275820967861,-27.5682496034041,15.16549139372549,0.005,0.5860059752912937,-48.095989496081884,-48.995760900597304,0.8997714045154197,0.025,-0.2776937124418492,-13.43702849345167,-41.62459686344928,28.187568369997607,0.01,-0.45641549426440753,-23.90731210991923,-40.7068563226524,16.79954421273317
11.0,0.015,-0.7963703896392902,-18.77756501788854,-27.799373385182477,9.021808367293936,0.005,-0.20378542507837735,-40.99139447645566,-56.09525386088902,15.103859384433356,0.01,-0.8407260886537896,-20.113551274295723,-44.06698376009984,23.953432485804115,0.005,-0.16490996034169858,-29.597461717943037,-39.37443496699104,9.776973249048002
12.0,0.015,0.35835884199522633,-19.76155704264212,-35.04043882793561,15.278881785293489,0.005,-0.353064735048967,-52.14944394740563,-85.72657821887717,33.577134271471536,0.01,0.4015043908162136,-23.094050092766064,-36.350974430737494,13.25692433797143,0.005,-0.31871954685433895,-29.94276242691096,-48.74773280919954,18.80497038228858
13.0,0.01,0.40636720941488996,-23.18083215841473,-32.37847434940325,9.197642190988518,0.005,-0.22299725223310088,-51.995979108446576,-80.93099809000238,28.9350189815558,0.005,0.4590600638902477,-26.36638609900909,-47.45147831122877,21.085092212219678,0.005,-0.4370177795203513,-34.34429971449322,-60.47207537249437,26.127775658001156
14.0,0.005,0.6509038084400381,-26.232029424269662,-33.102238567774485,6.870209143504823,0.005,0.019840696175405844,-56.68935246662755,-68.91703093126662,12.227678464639077,0.005,0.7197089309954549,-27.227711176225945,-46.021870481377185,18.79415930515124,0.005,-0.22990418563208886,-35.351639377676406,-51.329877015219964,15.978237637543558
