,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.011456055872998683,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,-0.39940889635701715,-85.68758802315607,-85.68758802315607,0.0,0.005,-0.03623906066207409,-70.24498188069623,-76.31909955463661,6.074117673940378,0.005,0.25515786207490415,-82.71181461380584,-97.04707389834779,14.335259284541948
10.0,0.0175,0.03245878635403561,-15.517551810192519,-36.922661087872115,21.405109277679596,0.005,-0.25131735679554895,-42.869468641132016,-53.3173597606119,10.447891119479884,0.015,-0.34562528243231533,-17.813475829037458,-30.750201062439118,12.93672523340166,0.01,0.9038842873373414,-22.91569897248199,-43.37486069300297,20.45916172052098
11.0,0.045,-0.5616512885239965,-7.459332226004278,-58.713326766858145,51.25399454085387,0.01,-0.7182680883476902,-24.27608225661273,-30.00611836006232,5.730036103449589,0.04,-0.587604576695055,-8.184092334174602,-23.43096967986774,15.246877345693138,0.01,0.8470009227104439,-21.467174882385617,-43.68803181346928,22.220856931083663
12.0,0.0675,-0.5081470065319139,-2.160500723306204,-34.68825992677172,32.527759203465514,0.025,-0.8924715214404155,-13.016192107897435,-27.608578991480567,14.592386883583131,0.055,-0.4738069439225871,-5.346069061380367,-18.735331780951114,13.389262719570747,0.015,0.8051554230441322,-17.762843398518225,-34.684694155230744,16.92185075671252
13.0,0.0625,0.06373216281666687,-3.5974338439453586,-25.5380409455678,21.94060710162244,0.0175,-0.8957990253338315,-15.147592029789617,-55.38099202672113,40.23339999693151,0.06,0.15598940302654074,-4.520568751813024,-47.84690910311446,43.32634035130144,0.02,0.8092128892743581,-15.731393330146124,-49.018434973803224,33.2870416436571
14.0,0.065,0.07966772085565571,-3.908982613899798,-12.093310003337614,8.184327389437815,0.015,-0.70544733615502,-18.336667041778774,-24.35048940887168,6.0138223670929065,0.05,0.13011459227936925,-5.355906066162113,-19.76667242952117,14.410766363359055,0.015,0.5752909600330213,-18.804029253315733,-28.675499031224966,9.871469777909233
