,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.1424811194343488,-68.72537377824186,-84.28839878591472,15.563025007672863,0.005,-0.7511838901587016,-88.58232843765862,-96.26569862240541,7.683370184746792,0.005,0.17377650758715102,-69.23330390947955,-78.79356736323065,9.560263453751105,0.005,-0.10807695346560398,-83.63653011625257,-96.69495727099056,13.058427154737984
1.0,0.005,-0.12588507926677062,-71.22414851040786,-133.97940008672037,62.75525157631252,0.005,-0.6503570514111547,-96.3547234151859,-109.05130732598786,12.696583910801962,0.005,-0.1480522259569463,-73.04132370386672,-99.14670293566304,26.10537923179632,0.005,-0.034723289176976084,-89.03515729600693,-103.60474448341407,14.569587187407137
2.0,0.005,0.17620099606921563,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.21789000386002155,-101.56351339288044,-107.42125729951215,5.857743906631711,0.005,0.20514055708753204,-77.32019697625809,-85.25654777637187,7.936350800113786,0.005,-0.062156368391259105,-89.38551382190253,-98.7632872252839,9.377773403381369
3.0,0.005,0.029862228815905688,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.10874524484708835,-99.2033441250538,-106.51756899419357,7.314224869139764,0.005,0.012034272339748766,-77.99409909883914,-83.92560482267115,5.931505723832004,0.005,-0.06803143125962677,-88.3709773176194,-97.32009009718519,8.94911277956578
4.0,0.005,0.22039389983101654,-71.22414851040786,-84.28839878591472,13.064250275506865,0.005,-0.21128820705842724,-98.18323718356919,-100.91005370605556,2.7268165224863736,0.005,0.2239104001705922,-72.26712472890439,-82.0670423372683,9.799917608363913,0.005,-0.07231497868075738,-85.82725176036176,-108.43148356930666,22.604231808944903
5.0,0.005,0.09328408871634825,-72.24719895935547,-76.32959861247397,4.0823996531185,0.005,-0.13349621850288337,-99.65198584808535,-108.14852647866216,8.496540630576817,0.005,0.125705912096152,-71.75920978454033,-76.27283245935499,4.5136226748146555,0.005,-0.034250822735294915,-88.58250456035051,-96.50999556528517,7.927491004934652
6.0,0.005,-0.3268847114516034,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,0.2511510891548346,-102.38041247957992,-115.15473867934841,12.774326199768495,0.005,-0.35418852894990693,-71.49447793153738,-89.2585379513824,17.76406001984502,0.005,-0.01423589564571463,-89.51077023098404,-99.46077023821826,9.950000007234223
7.0,0.005,-0.24966718303337096,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.4206189883868405,-100.93537450785064,-107.6028160401603,6.667441532309667,0.005,-0.25998367859121946,-71.99863037382038,-87.58407563911737,15.585445265296997,0.005,0.01076699328206437,-91.5483169189198,-98.76027038151564,7.211953462595844
8.0,0.005,0.35260214370283394,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.2139212945717215,-101.96599297370996,-105.57884755289243,3.6128545791824678,0.005,0.36531936270215715,-75.06700203131265,-83.68360863703273,8.61660660572008,0.005,-0.008260686397965487,-90.65818554752713,-97.52236226391403,6.864176716386908
9.0,0.005,-0.2433177480471676,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,0.1282095420499665,-99.56345276193409,-117.2963491427279,17.732896380793818,0.005,-0.24986897375694608,-72.19708533612116,-83.42595578748805,11.228870451366888,0.005,-0.05241448806983158,-90.16470357190431,-123.65746037219643,33.49275680029211
10.0,0.005,-0.1343696420668353,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,-0.40774747551301765,-105.12934454521289,-113.00934613059086,7.880001585377968,0.005,-0.12886631968174833,-72.11451013226947,-79.23227863415437,7.117768501884896,0.005,0.006410920870795502,-92.04660898092226,-100.18112666897791,8.134517688055652
11.0,0.005,-0.3135527352724425,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,-0.6435751231992303,-100.51787335429695,-105.45666064708138,4.938787292784426,0.005,-0.3417861513583731,-75.45989767859123,-85.1153322183557,9.655434539764471,0.005,0.07008435937066028,-93.24442937967112,-98.44794586774518,5.203516488074058
12.0,0.005,-0.22519236063884512,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.16737167651469012,-98.82916504168954,-104.09263343471423,5.263468393024695,0.005,-0.26305277417139517,-74.87655114850499,-105.25377198230358,30.37722083379859,0.005,0.07287972825608524,-92.00802390674299,-98.3721033667502,6.364079460007204
13.0,0.005,0.13066095944168252,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,-0.2071884262462364,-101.18135870832003,-106.85274183851766,5.671383130197626,0.005,0.15124913244679797,-76.36106610093377,-87.12716078161247,10.766094680678705,0.005,-0.001992065264012256,-91.83560681042638,-105.39412572884913,13.558518918422749
14.0,0.005,0.26905570689313674,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.1322068703882398,-103.80927853376295,-118.32220994326724,14.51293140950429,0.005,0.33778904668519877,-78.41800581257174,-93.93407516668023,15.516069354108495,0.005,0.040062677542169994,-91.29845844349383,-94.49926566944953,3.2008072259556997
15.0,0.005,0.4153627665431523,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.8050377332129854,-100.20570507321693,-113.21961268978016,13.01390761656323,0.005,0.4532501564836492,-78.46506278083291,-133.97940008672037,55.514337305887466,0.005,-0.18922349381022374,-90.09711946170569,-133.97940008672037,43.88228062501469
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9875885524237855,-109.1613016610676,-122.23668163133063,13.075379970263029,0.005,0.6855982474071766,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.07173785874008619,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9923475695118684,-119.89046575586087,-133.97940008672037,14.088934330859502,0.005,0.8671151956899913,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.12267502038202446,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9889417390627505,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6541140336427694,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.1998414030082281,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.980976069854141,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8570150050595513,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9798290324696657,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7348177177562406,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9878879362595737,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8019046348087636,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9922101764056648,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8232184677950397,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
