,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.015,0.9940502011150978,-17.13987262408445,-26.80748057147764,9.66760794739319,0.005,0.9899919748793368,-51.487138274012,-62.26548954867261,10.778351274660615,0.01,0.9940776411728894,-24.39656799369694,-103.09103538814992,78.69446739445297,0.01,0.9951295673916334,-21.706398564507534,-35.417135475977695,13.71073691147016
1.0,0.0325,0.9974656666192101,-9.783017898578503,-16.062794815179167,6.279776916600664,0.005,0.9970494957184733,-35.787669031287,-39.6963939775214,3.9087249462344005,0.0275,0.997819355531495,-11.000183266684335,-19.8016249408714,8.801441674187064,0.0125,0.9813503757416034,-19.741589719946,-47.33336430560966,27.591774585663664
2.0,0.04,0.9978883710142291,-7.726596526214355,-13.090365596600238,5.3637690703858825,0.005,0.9957534753118191,-37.445816175372016,-50.77138903785348,13.325572862481465,0.0375,0.9980605471286363,-7.557388860180993,-19.005037882404554,11.447649022223562,0.01,0.9628697212843831,-24.200454511017302,-35.591326853852145,11.390872342834843
3.0,0.0925,0.9895083534624289,-0.3166578153078703,-12.88967794646917,12.5730201311613,0.0575,0.9948728652109424,-3.7906779275942384,-7.297119255922592,3.5064413283283535,0.0625,0.9911408991850396,-4.381492366862944,-10.677937033606206,6.296444666743262,0.02,0.9220385143824362,-13.823076183665343,-23.60118374325814,9.778107559592797
4.0,0.0725,0.9871124593272692,-2.972574575288603,-12.426414145919642,9.45383957063104,0.0575,0.9889314922431172,-4.152813480850085,-42.12076484396937,37.96795136311928,0.0525,0.984301815029949,-4.826230492241551,-13.509227155936381,8.68299666369483,0.015,0.9731617071771582,-17.447996378046756,-45.536882082906445,28.08888570485969
5.0,0.0525,0.9867339983892736,-5.89761450919366,-8.549849925966988,2.652235416773329,0.0225,0.9912144675536334,-13.362429192339766,-25.100069903970954,11.737640711631188,0.0425,0.9886981085825638,-6.756765511701625,-18.032467947697747,11.275702435996122,0.0075,0.9555265598915431,-23.432453253375158,-52.88621261635739,29.453759362982233
6.0,0.0475,0.9629177142032186,-6.846107370330129,-64.43089283306603,57.584785462735894,0.025,0.9950450568099141,-10.731803116184995,-17.974156974344204,7.242353858159209,0.0325,0.951180712788081,-10.366369757069231,-53.24100363899548,42.87463388192625,0.0225,0.863470154421096,-12.896152629927425,-20.791973199160495,7.89582056923307
7.0,0.0475,0.9727012015222096,-6.677140206712728,-30.354322176760064,23.677181970047336,0.025,0.9920895687286759,-10.581355909402852,-25.749149747021747,15.167793837618895,0.025,0.9772283296825938,-11.501471572180526,-23.52878060319197,12.027309031011443,0.025,0.843817205618488,-11.799112011463082,-45.20536294561508,33.406250934152
8.0,0.045,0.9875878685413735,-6.4831623174291,-13.842927453139861,7.359765135710761,0.02,0.9922869399766197,-15.090954450164563,-28.98206510232146,13.891110652156897,0.03,0.9892364417319118,-10.1015078120022,-17.18843077489147,7.086922962889268,0.01,0.9428443780934035,-21.06458340556429,-46.11906213129188,25.054478725727588
9.0,0.025,0.9645252972916378,-13.717100672236294,-46.57509210476785,32.857991432531556,0.0175,0.9845797746552866,-15.057529610283689,-43.260028589994484,28.202498979710796,0.0175,0.9322946271650653,-16.09223923137543,-45.828448127771566,29.736208896396136,0.005,0.9091863462019563,-26.16390062730268,-37.187473775038725,11.023573147736045
10.0,0.025,0.7399267698021564,-11.47345712343823,-45.10805813276903,33.6346010093308,0.005,0.952186657158906,-30.735104102879927,-31.156983784886236,0.42187968200630976,0.0125,0.852045430398732,-19.892516980873197,-91.92799029255093,72.03547331167773,0.025,0.6671726581079974,-12.871415645140727,-34.402806864200016,21.531391219059287
11.0,0.045,0.9946447799159104,-6.862611053138558,-15.701676304377251,8.839065251238694,0.01,0.9906075094891102,-22.785101914754463,-29.16279915030042,6.377697235545956,0.0375,0.9955473832201991,-7.437626296795945,-14.21774832825944,6.7801220314634945,0.005,0.8114176041136906,-30.53292985474194,-40.87103925002932,10.338109395287379
12.0,0.0575,0.9920770795742888,-5.160448683350372,-13.688683939610923,8.528235256260551,0.01,0.9898062875907818,-22.313525734786136,-43.43093822130872,21.117412486522586,0.0475,0.9926636464686661,-4.782877802354329,-18.83464058619352,14.051762783839191,0.005,0.978281441221133,-26.937655946024147,-49.69703533794298,22.75937939191883
13.0,0.045,0.9545333932333725,-6.927496253228506,-39.69511042995582,32.767614176727314,0.0075,0.9944124733724974,-24.3349168700356,-45.399210482895,21.0642936128594,0.0375,0.9831225828380701,-6.3641877321184275,-26.626131650261122,20.261943918142695,0.015,0.4226583878937925,-18.547008733215705,-32.44595993322209,13.898951200006387
14.0,0.0175,0.9194891973940945,-16.102243531074564,-31.500367818153045,15.398124287078481,0.01,0.9863940543198276,-24.459989258338233,-26.091506389765982,1.6315171314277492,0.015,0.9200329090365348,-19.02244939804011,-36.032775997724244,17.010326599684134,0.005,0.19578186935674105,-26.13908452039557,-63.86534479939033,37.72626027899476
15.0,0.01,0.8627520934620526,-22.553707770898953,-37.196335893048335,14.642628122149382,0.0075,0.9881438878997691,-25.575252979319668,-34.77878423430713,9.203531254987464,0.01,0.7648327422647654,-24.0274982204908,-32.896624734806394,8.869126514315596,0.005,0.3276331528889497,-44.28552218075447,-62.79470455098506,18.50918237023059
16.0,0.0525,0.9792211056760296,-5.889905175263575,-14.310945151776213,8.421039976512638,0.0125,0.9927285993171033,-17.706648645663286,-17.706648645663286,0.0,0.0375,0.9869405103356429,-8.241708661031883,-16.315474449318305,8.073765788286423,0.03,0.9197834242354753,-11.547017878027376,-31.670322510470253,20.123304632442878
17.0,0.0725,0.9872068440259932,-2.7550197035711266,-3.43878053759918,0.6837608340280532,0.02,0.9911985727360262,-14.306971227620412,-53.78633721226248,39.47936598464207,0.0475,0.991187350279492,-6.268206759466734,-20.514925423742262,14.246718664275528,0.0375,0.9741826247965069,-7.717059865149265,-15.209325567250199,7.492265702100934
18.0,0.07,0.9894041838613234,-3.125835754285387,-7.954889554661971,4.829053800376585,0.015,0.9874192404329314,-16.63129631077606,-22.253015091440837,5.621718780664775,0.055,0.9917179662215428,-3.748918722699519,-12.294947762309715,8.546029039610195,0.0325,0.9721631267201247,-9.89700908416745,-39.424304153053285,29.527295068885834
19.0,0.0625,0.9758998671582804,-3.1839545994453857,-16.319270751754797,13.13531615230941,0.015,0.9776809035708046,-17.39495699204504,-19.30244817499635,1.9074911829513113,0.055,0.9804538589952206,-4.4547631987121115,-16.49943329339807,12.044670094685959,0.02,0.908198780337453,-13.434621619530912,-32.937230579450734,19.502608959919822
20.0,0.0475,0.981276539348051,-6.195094091071551,-11.943961391893655,5.748867300822104,0.0175,0.9824672008759943,-16.10947246603082,-17.626215482390954,1.5167430163601345,0.035,0.9796328990461051,-8.40004129056381,-18.383950531785523,9.983909241221713,0.0125,0.9113211960120653,-19.723249006649006,-27.921519745990935,8.198270739341929
21.0,0.0425,0.9912792464598879,-6.7498614712876694,-38.16937466539424,31.419513194106568,0.0175,0.9958584772103614,-16.266683200815677,-26.486278397238905,10.219595196423228,0.03,0.9899736801538207,-10.134418544961957,-17.56072081732627,7.426302272364314,0.0125,0.9318600536800485,-18.986869723093392,-37.999003303749205,19.012133580655814
22.0,0.03,0.9655744344252183,-10.634729985217557,-32.72167839599644,22.086948410778884,0.015,0.9942323780725859,-17.596830830391145,-29.303517296618608,11.706686466227463,0.0225,0.9566147813353858,-13.865749400590879,-26.96589635883712,13.100146958246242,0.01,0.9503574755497352,-20.771758186317,-64.49977886571791,43.72802067940091
23.0,0.035,0.9455880191145466,-9.610817231839393,-17.506278902141943,7.89546167030255,0.01,0.9843836541098601,-22.282582696634524,-30.660122868272918,8.377540171638394,0.0175,0.950666291565372,-15.105045226119334,-27.330440159233817,12.225394933114483,0.0125,0.8040434827949142,-19.69396795495868,-33.699092158501465,14.005124203542785
24.0,0.035,0.9873580806632757,-9.59407851114017,-30.268851526626406,20.674773015486238,0.0175,0.9864686173629589,-16.379538875763,-31.283883972534895,14.904345096771895,0.0275,0.9890500896821076,-11.326123123548474,-26.01205749072456,14.685934367176085,0.01,0.9559697585763909,-22.03919000708607,-54.32689599518774,32.28770598810167
25.0,0.035,0.9903878702603823,-9.72390548231251,-36.30008899323529,26.57618351092278,0.0125,0.9856009098943894,-17.089590953440347,-26.788689034898333,9.699098081457986,0.03,0.9922927098411971,-11.507892021362407,-21.262976166977786,9.75508414561538,0.0125,0.9724167287584774,-19.75912706090765,-45.846770725289105,26.087643664381453
26.0,0.05,0.9923702106360471,-5.706903651987629,-25.250064709044477,19.54316105705685,0.03,0.9941976669925244,-10.145621424442739,-10.145621424442739,0.0,0.04,0.9948488463222449,-7.591393438852558,-58.72270613556325,51.131312696710694,0.0075,0.9517514331720305,-25.84105617802301,-29.142745712836977,3.301689534813967
27.0,0.0625,0.9927052908960756,-4.301037293825912,-18.153548245827114,13.852510952001202,0.035,0.9941949085098852,-9.844948984994211,-28.653006583294783,18.80805759830057,0.04,0.9897370789613315,-6.597272792508944,-35.78105574570951,29.183782953200563,0.0125,0.9884784386412151,-18.6510972168388,-34.927364178612706,16.276266961773906
28.0,0.04,0.9902495197142888,-8.136786621795867,-22.449371135011887,14.31258451321602,0.0225,0.9968081432197841,-13.477401827050421,-23.171545356008927,9.694143528958506,0.03,0.9877924844214001,-9.464068801608462,-28.222221242042313,18.75815244043385,0.01,0.8529398604368122,-24.833274671109564,-58.28434067911732,33.45106600800776
29.0,0.04,0.982404239335019,-8.717179488137246,-13.61179627895168,4.894616790814434,0.0175,0.996780049361399,-14.152304811088786,-33.99399679388695,19.841691982798164,0.025,0.9254229023535386,-11.76656594834008,-13.640517486510674,1.8739515381705942,0.005,0.4245874625754449,-29.43899188612218,-43.81045147648129,14.371459590359109
30.0,0.045,0.9888814186323375,-6.251144933174261,-21.748147443036668,15.497002509862408,0.035,0.9935937791880295,-8.080153446664584,-16.73026937938112,8.650115932716536,0.035,0.9895310767842644,-9.387384462123896,-30.6339682721677,21.246583810043802,0.015,0.8665720489628714,-16.84097120787366,-32.08408426050548,15.243113052631816
31.0,0.0525,0.9929659511945943,-4.752168511505866,-10.926786769776065,6.174618258270199,0.025,0.9940895955378725,-12.977781517865168,-38.85273557549759,25.874954057632422,0.0375,0.9954502142922029,-7.0824979961571515,-15.494564338289518,8.412066342132366,0.0225,0.9849836254958414,-13.880705002911299,-33.80938599077223,19.92868098786093
32.0,0.055,0.9867838735736636,-5.07233185776809,-24.96833565357601,19.89600379580792,0.025,0.9914411442103821,-11.700941287234908,-29.768393677983312,18.067452390748404,0.035,0.9875134567139988,-9.029598127947484,-12.983818934079132,3.954220806131648,0.0225,0.9858933563728242,-13.062932211483817,-20.783945749901388,7.721013538417571
33.0,0.03,0.9724682618336222,-11.682348598178114,-19.20563548951405,7.523286891335937,0.0175,0.9936957616393757,-16.028755998646645,-22.623323642680543,6.594567644033898,0.0225,0.9434495860333326,-12.316801951099537,-25.51335868303392,13.196556731934384,0.0125,0.8236073746000049,-19.41290787642314,-66.66530570021165,47.252397823788506
