,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.01,0.9999772796755119,-21.65923358378423,-50.84644162720038,29.18720804341615,0.005,0.9999706060699376,-69.07055787799847,-73.5801378150589,4.509579937060437,0.0075,0.9999971842633134,-24.911314753273423,-24.911314753273423,0.0,0.005,0.9998091824210231,-34.94841151378585,-44.267277807692096,9.318866293906247
4.0,0.01,0.3924722110144499,-21.720413411558603,-32.15002826694891,10.429614855390305,0.005,0.5338625622051111,-50.49711752466667,-65.60164678580364,15.104529261136967,0.0075,0.3589038226929144,-24.42725020019683,-31.81203347796654,7.38478327776971,0.01,0.5870662237562859,-24.790114826359325,-67.38071727548201,42.590602449122684
5.0,0.005,0.3615499036664391,-27.511416971169623,-49.40253912346121,21.891122152291587,0.005,0.44192097667123326,-58.468170605947805,-66.85238448604822,8.384213880100418,0.005,0.24468824131643935,-31.870970899710997,-45.13791086034036,13.266939960629365,0.005,0.4895291445922349,-29.867588159800857,-53.902531450916555,24.0349432911157
6.0,0.005,0.5238840714578431,-27.766902731898206,-65.20354859712823,37.43664586523003,0.005,0.35771563562613895,-61.552258233792415,-76.41677379875898,14.864515564966567,0.005,0.5400267562430692,-33.27738009290039,-62.87359243892969,29.596212346029304,0.005,0.5207994897863817,-29.951975399717984,-55.415040447440745,25.46306504772276
7.0,0.005,0.34512015488738845,-31.272537992876117,-38.333188563932055,7.0606505710559375,0.005,-0.18781253291732036,-69.76268692840407,-89.85504919566671,20.092362267262644,0.005,0.21630741645714355,-35.582889635706984,-57.67493322491557,22.092043589208586,0.005,0.4143449825265144,-33.39119371078705,-40.991100603941035,7.599906893153985
8.0,0.005,0.535629643343387,-26.740971868519253,-66.78717351808073,40.04620164956148,0.005,0.311587476584831,-77.07094888332021,-91.89165787209227,14.820708988772054,0.005,0.48927083570274854,-37.00360767369714,-55.01739746561559,18.013789791918448,0.005,0.552425539184432,-27.86635059984711,-45.08487644928121,17.2185258494341
9.0,0.005,0.11153398881433058,-38.805241800641134,-58.48770655866437,19.682464758023237,0.005,0.5398991379040369,-76.99916186428263,-101.236458053224,24.23729618894137,0.005,0.1164479905633498,-44.677814863514115,-64.21788415136659,19.540069287852475,0.005,0.07493171381857247,-40.1698233348374,-67.65050837430535,27.480685039467943
10.0,0.005,0.1546737680557481,-47.3864379856296,-63.46054508275023,16.07410709712063,0.005,0.7829568396560382,-80.00656924010505,-92.05384967649292,12.047280436387865,0.005,0.03171882675358836,-52.23241035645016,-77.45278269152337,25.220372335073208,0.005,0.2811849370252065,-53.23820847454466,-65.88945571484462,12.651247240299952
11.0,0.0225,0.5494801729488857,-13.571128371665681,-40.04464669783558,26.473518326169902,0.005,0.7200489388252238,-67.6342882769036,-91.49403610818219,23.859747831278582,0.01,0.5309853182451937,-23.091655203238535,-52.809542988780144,29.71788778554161,0.02,0.5518403770343944,-14.681182109316836,-49.931176748494366,35.24999463917753
12.0,0.0075,0.1967431212649104,-24.406456994150535,-51.619029674323,27.212572680172467,0.005,0.4844432856133192,-64.84167653626191,-133.97940008672037,69.13772355045846,0.005,0.18082124491704482,-35.788520568474084,-55.624815896559696,19.836295328085612,0.01,0.2026505741143485,-25.492325135706615,-71.67533677248501,46.183011636778396
13.0,0.005,-0.30317171025071304,-38.7821716950785,-64.73392668013777,25.951754985059267,0.005,-0.005993314781706623,-77.02622722887342,-83.75455912174195,6.728331892868525,0.005,-0.3440937738823119,-43.89601915988035,-71.24890688952938,27.352887729649026,0.005,-0.2749641477075657,-43.665688426644465,-58.03711915995568,14.371430733311215
14.0,0.02,0.6042283037436497,-14.96439673697999,-42.56120217241977,27.596805435439776,0.005,0.9518904369131145,-53.19648919378977,-61.77421327119881,8.577724077409037,0.0125,0.6415680708299586,-19.004019887014895,-67.54881527672727,48.54479538971238,0.02,0.5773934979014058,-14.857023733139094,-45.72580912272252,30.868785389583422
