,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9928060125179935,-53.40703789890922,-76.32959861247397,22.92256071356475,0.005,0.9921410749918483,-60.845504882736606,-73.111972693137,12.2664678104004,0.005,0.99654010631602,-59.90694890829752,-76.78511390549079,16.878164997193267,0.005,0.9781904659330845,-65.58310532665749,-81.28884731757756,15.705741990920075
1.0,0.005,0.9927428993766976,-57.24474842368748,-73.40703789890921,16.162289475221726,0.005,0.9917722571409257,-64.19181471456227,-73.25859896873439,9.06678425417212,0.005,0.9968024883484404,-61.423731927036975,-67.41977430302686,5.99604237598988,0.005,0.9845387952948729,-62.52527388807042,-95.23384603111114,32.70857214304072
2.0,0.005,0.9927724104770681,-56.505077098624085,-68.03013165305762,11.525054554433538,0.005,0.9897333182453768,-65.32578805911868,-76.92763708527659,11.601849026157907,0.005,0.9964734232271674,-61.83183976946434,-65.50794114473642,3.676101375272083,0.005,0.9870384057527773,-64.54876699867982,-76.8777339842282,12.328966985548377
3.0,0.005,0.9877483078697704,-61.68172341601461,-80.76657360480111,19.084850188786497,0.005,0.9931960880185439,-71.18315924717102,-93.664374596807,22.481215349635974,0.005,0.9966590294679185,-62.32045971268373,-84.96098919316057,22.640529480476843,0.005,0.9449862890211536,-71.87743711194726,-95.45133994064966,23.5739028287024
4.0,0.005,0.9924222526290326,-53.918119988356985,-60.20599913279624,6.287879144439252,0.005,0.9568581942557769,-76.32138638628237,-77.47360769953606,1.1522213132536905,0.005,0.9960963810158591,-58.113715435569986,-61.37120132666481,3.2574858910948237,0.005,0.98632141061197,-59.60672289597022,-68.62930730670095,9.02258441073073
5.0,0.005,0.9933045571362104,-54.32218771012272,-76.32959861247397,22.007410902351253,0.005,0.9978641968593173,-65.77684027289253,-81.37459135072405,15.597751077831518,0.005,0.9982061093946067,-57.592517022120695,-77.20850898226576,19.61599196014506,0.005,0.9873236046725072,-61.0142878477827,-79.7142048719773,18.699917024194605
6.0,0.005,0.9914700679234455,-56.32959861247397,-133.97940008672037,77.6498014742464,0.005,0.9935084626501417,-68.21502840914833,-90.99487936137567,22.779850952227335,0.005,0.9967831926615035,-59.91631952148859,-84.6205422591465,24.704222737657915,0.005,0.9844274698499975,-63.08497065239113,-89.69736365966304,26.612393007271912
7.0,0.005,0.9886720380798981,-63.074441978842486,-73.40703789890921,10.332595920066723,0.005,0.99063330939325,-69.78639995553877,-74.74524275984723,4.9588428043084605,0.005,0.9949187557980392,-67.89534270550135,-75.26462945392117,7.369286748419825,0.005,0.968781242703521,-73.51468655370195,-96.91048841843597,23.395801864734025
8.0,0.005,0.9837851232953825,-63.46054508275023,-90.30899869919435,26.848453616444118,0.005,0.9933073768954953,-72.36767618090781,-130.71728841648215,58.34961223557434,0.005,0.9941054930059351,-67.81244734279565,-84.58995980371162,16.777512460915972,0.005,0.9729814670185207,-70.95838369745164,-83.91964189903996,12.961258201588322
9.0,0.005,0.9773989598191449,-67.3864379856296,-90.30899869919435,22.92256071356475,0.005,0.9800234391924733,-81.15310712225454,-94.5807681650008,13.427661042746266,0.005,0.994985061286313,-69.14877691235259,-133.97940008672037,64.83062317436779,0.005,0.9341180936991588,-74.54102587429259,-85.1858045269737,10.644778652681111
10.0,0.005,0.9228574035545393,-73.40703789890921,-76.32959861247397,2.9225607135647635,0.005,0.9151348477488522,-89.55073288860197,-101.49949367811331,11.94876078951134,0.005,0.9593967274188444,-79.49579802487126,-95.2269327746842,15.731134749812938,0.005,0.9514319047608639,-74.07548842354137,-82.8409129816963,8.765424558154933
11.0,0.005,0.9923388751507259,-62.3501985257536,-71.22414851040786,8.87394998465426,0.005,0.9951754524644071,-67.06755372374502,-68.03138293236185,0.9638292086168292,0.005,0.9956965501803926,-67.58324535449178,-87.8832724724999,20.300027118008117,0.005,0.9762704744675536,-66.82920928040117,-93.47420456301046,26.644995282609287
12.0,0.005,0.9888796395633815,-62.009531739778,-90.30899869919435,28.29946695941635,0.005,0.9913857871984231,-64.76464951889278,-74.46941952162355,9.704770002730768,0.005,0.9858489048470581,-71.85716347178057,-82.13754679437406,10.280383322593494,0.005,0.937065564496952,-76.9278444742678,-95.19474697238468,18.266902498116877
13.0,0.005,0.9768309925985746,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,0.9937012414113,-73.91968442297005,-96.45587745645076,22.536193033480714,0.005,0.9796681375969215,-73.3043564901349,-84.52328287714766,11.218926387012772,0.005,0.4011214807887402,-88.41726193192716,-100.27825003526576,11.860988103338599
14.0,0.005,0.942624841427418,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,0.9686221717679817,-77.40598520347496,-89.6099105051578,12.203925301682844,0.005,0.9719958496816804,-78.41448626964453,-86.24927508483879,7.834788815194258,0.005,0.9409385737265097,-74.00341027022614,-91.42863301452776,17.42522274430162
15.0,0.005,0.9170829027028486,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.917068134734489,-85.65687039627497,-90.37802433483023,4.721153938555261,0.005,0.9792551021373757,-76.33057421703819,-89.33297241901464,13.002398201976447,0.005,0.8648809687074459,-81.42387610253564,-99.43880103550902,18.014924932973372
16.0,0.005,0.8323108463755872,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.8306902865987313,-90.46577392716516,-104.17268295422406,13.706909027058899,0.005,0.9602181213910351,-77.68101714277127,-107.46089439243045,29.77987724965918,0.005,0.5975873870829026,-87.28840983128948,-100.7713708989968,13.482961067707322
17.0,0.005,0.9411440265401415,-71.22414851040786,-84.28839878591472,13.064250275506865,0.005,0.9806732936145864,-78.83050217016182,-78.84525289693508,0.014750726773257838,0.005,0.9747482235985052,-80.04065396651478,-107.76155905350865,27.720905086993866,0.005,0.8435074258700062,-77.29575380534837,-97.55476743374372,20.25901362839535
18.0,0.005,0.9647237600855232,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.9926699304164928,-74.54868162726923,-83.90659456736643,9.357912940097194,0.005,0.9416130066639138,-80.96644316116068,-101.03269442213922,20.066251260978532,0.005,0.4918643621975367,-87.73135019219134,-103.4735059539722,15.74215576178085
19.0,0.005,0.8216150095726563,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.9380698445263117,-82.02312883063824,-90.9997943492671,8.976665518628863,0.005,0.7443717676156247,-86.21714079490627,-100.45892585445202,14.241785059545748,0.005,0.16244389074648927,-89.71537966191043,-133.97940008672037,44.26402042480994
