,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.3299844943426563,-54.46116490922928,-66.78717351808073,12.326008608851453,0.005,0.8399009099780411,-84.70618992994191,-87.58280009928154,2.876610169339628,0.005,0.3418898535632025,-55.09581080912697,-57.64203552732462,2.5462247181976565,0.005,0.013706127962816022,-64.91600143180706,-97.31128350277189,32.395282070964825
1.0,0.005,0.07150291863260223,-53.28383172481285,-70.30899869919435,17.0251669743815,0.005,0.8023147993947328,-79.52464082682656,-82.26885248576232,2.744211658935768,0.005,0.0670824391370735,-53.2127908783072,-74.87060184808735,21.657810969780144,0.005,0.07685152608274194,-80.53718530331183,-100.97871152505526,20.44152622174343
2.0,0.005,-0.3882315543436036,-50.754526593417395,-76.32959861247397,25.575072019056577,0.005,0.9402382690273334,-82.24367180210257,-93.94144535963854,11.697773557535967,0.005,-0.4119317919329845,-50.907202724288254,-63.6481540722138,12.740951347925545,0.005,0.12558424747395347,-80.73628277469265,-106.8049799070853,26.068697132392643
3.0,0.005,-0.314489848714062,-51.619029674323,-62.009531739778,10.390502065454996,0.005,0.8546516236214554,-81.11275689841916,-120.51742631166506,39.4046694132459,0.005,-0.3043554244856753,-50.481416924917056,-84.61938075908243,34.137963834165376,0.005,0.22321249208648955,-79.81906928890066,-102.09715862382622,22.278089334925554
4.0,0.005,0.3284634822479148,-58.26779887263511,-62.009531739778,3.741732867142886,0.005,0.8978401773083604,-83.58049695535973,-100.2835062947062,16.703009339346465,0.005,0.2913658153567776,-57.968288194113015,-62.66752761585013,4.6992394217371185,0.005,0.14528472365504275,-80.62060840744819,-85.4519250830357,4.831316675587516
5.0,0.005,-0.1833739236338286,-56.15759517723562,-62.704773864962235,6.547178687726614,0.005,0.9390489785860423,-81.43249462023289,-91.63498918688342,10.202494566650529,0.005,-0.17571504260405604,-56.51661273142376,-59.24732542287047,2.730712691446705,0.005,0.17277811081344582,-79.65492797226563,-97.9040913626401,18.249163390374477
6.0,0.005,-0.14166168901273032,-56.32959861247397,-56.32959861247397,0.0,0.005,0.8831872396873399,-80.59204289431165,-101.36848577292761,20.776442878615967,0.005,-0.19292821311181366,-56.441744861927916,-56.441744861927916,0.0,0.005,0.23195987960279119,-78.04810453493826,-83.36696135832662,5.318856823388359
7.0,0.005,0.8896006328484158,-53.40703789890922,-133.97940008672037,80.57236218781115,0.005,0.7596691228730074,-86.80512658540155,-104.9826042168439,18.177477631442343,0.005,0.8863787116492831,-53.49524407807251,-116.93313517717671,63.4378910991042,0.005,0.40618198224010515,-68.02630896160862,-133.97940008672037,65.95309112511175
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.03335678711309029,-103.6805039820345,-114.76506785548183,11.084563873447337,0.005,0.8467065268324119,-106.85015697278466,-133.97940008672037,27.129243113935715,0.005,0.9957926880347389,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9300216420908506,-113.62606764630976,-122.40429191662771,8.77822427031795,0.005,0.6452866417918358,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9958202059542052,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9502056258490988,-119.99999999999999,-133.7744682376888,13.774468237688822,0.005,0.8621148530785776,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9941742349496728,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9688072986480691,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6638078965239163,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
