,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0075,0.6355711902826969,-23.782281480619325,-35.28341661952751,11.501135138908182,0.005,0.9494488851343996,-43.38169448718226,-43.38169448718226,0.0,0.005,0.6233355924946622,-28.242768070839194,-34.061268678898394,5.8185006080592,0.005,0.17628411396217866,-28.485818937837234,-32.902352690909474,4.41653375307224
5.0,0.055,0.8117291877497219,-5.493522193510501,-20.51826610955245,15.024743916041949,0.02,0.9898662876900618,-14.660315136831954,-31.475124561368414,16.81480942453646,0.0375,0.7043906757500475,-8.726722584129877,-11.849381056106992,3.1226584719771147,0.02,0.5644001271537749,-14.622992898917609,-19.211475022821606,4.588482123903997
6.0,0.0425,0.6668760501533872,-7.706828291975629,-13.75644460384569,6.049616311870061,0.02,0.93301342443144,-15.39113365223516,-25.95070424188561,10.55957058965045,0.0375,0.5298785500593094,-8.607380202488333,-28.688744640769357,20.081364438281025,0.015,0.288869507020777,-16.689420138362244,-45.68786371034794,28.998443571985696
7.0,0.035,0.6658771842242953,-9.193025508544743,-11.92220596344609,2.729180454901348,0.015,0.9203914277937407,-16.885968252856138,-23.620604010002854,6.734635757146716,0.0325,0.6366346323535196,-9.975724355579718,-64.54475592172676,54.569031566147046,0.01,-0.36173524706807614,-22.897557965348856,-42.8541699603695,19.95661199502064
8.0,0.0375,0.5728690401752273,-8.248668892628054,-26.341356099028474,18.09268720640042,0.01,0.6637851684405649,-23.05929143043594,-30.940635126837,7.881343696401061,0.0325,0.6545222284738003,-9.291696045696407,-29.5929494056951,20.301253359998697,0.01,-0.3786629841785934,-25.778312791817232,-67.12130283028479,41.34299003846756
9.0,0.0375,0.4512639990209076,-8.899375197873983,-22.29478596372973,13.395410765855747,0.01,-0.16906068669320176,-23.85181921685923,-23.85181921685923,0.0,0.0375,0.5676785478649655,-9.110068260745207,-28.227833561423502,19.117765300678293,0.0075,-0.23408756377377052,-25.833717400617445,-52.846188917224275,27.01247151660683
10.0,0.0375,0.3147373266233039,-7.487532173844854,-12.584826215844407,5.097294041999553,0.0175,-0.3836625513846676,-16.474393589551177,-25.95697233964465,9.482578750093474,0.0325,0.48814279779370723,-10.35002514788529,-24.28841810480509,13.938392956919799,0.0075,-0.18770991579135213,-25.18574073882739,-57.74510059920851,32.55935986038112
11.0,0.0325,0.36424909605868194,-10.288177539472487,-17.72692569565163,7.438748156179143,0.0125,0.3376166693119334,-19.96725475483992,-27.523589893919652,7.5563351390797315,0.025,0.37463932967056085,-11.455959397409076,-24.58098574616235,13.125026348753275,0.005,0.14104407534471752,-31.04644428460587,-46.154178309180466,15.107734024574597
12.0,0.025,0.37623179069797774,-12.16399704156779,-32.17152800475295,20.00753096318516,0.01,0.4451150003988099,-22.290243737244673,-49.988310957232905,27.698067219988232,0.02,0.25925988104651343,-15.021868704901284,-17.0784029972417,2.056534292340416,0.005,0.33769656079608806,-29.933832117939797,-45.30635346020791,15.372521342268112
13.0,0.0225,0.5619674827497617,-13.903655555975067,-20.362111078842755,6.458455522867688,0.01,0.8369928502439803,-20.160078534377874,-24.951703273885684,4.79162473950781,0.0175,0.19927759745945378,-15.657738564708675,-22.520643319347982,6.862904754639308,0.005,0.269705206203303,-29.83880222028396,-49.10756481605337,19.26876259576941
14.0,0.0225,0.5138318167100216,-13.446835859202222,-35.36076254146589,21.913926682263664,0.01,0.8744243254134615,-22.313067208151182,-22.456466404358228,0.14339919620704578,0.015,0.15943929149900646,-17.91774502879334,-34.16854385249358,16.250798823700237,0.005,0.3139740898220093,-32.2664944329857,-44.42542757127357,12.158933138287871
