,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.46596577987762533,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9999950214815595,-115.45051466989736,-115.45051466989736,0.0,0.005,0.7253997985571141,-98.95616980392624,-109.13345536507336,10.177285561147116,0.005,0.05057815276791272,-91.36512017648329,-122.30323617262074,30.938115996137455
7.0,0.005,0.0033226887984787873,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9657316379600861,-103.76727780196772,-124.10416282515934,20.336885023191613,0.005,0.05159571428332009,-97.92147067576994,-116.02787539308147,18.106404717311534,0.005,0.015282633361347624,-92.04124845077195,-108.39614770609535,16.354899255323403
8.0,0.0225,0.8840136244752019,-13.901028245114723,-36.140580696500095,22.23955245138537,0.005,0.9967202217300868,-38.305845795280625,-41.32082319931129,3.0149774040306667,0.02,0.8887798091504636,-14.098343975563207,-17.3068518758775,3.2085079003142916,0.0075,0.7130375614041792,-25.885284556501873,-37.91162338240116,12.026338825899288
9.0,0.0325,0.8552747668657459,-8.527861103998658,-12.52632757985988,3.998466475861221,0.005,0.5616090050714163,-38.063684187893095,-52.888102086455135,14.82441789856204,0.03,0.8807837882990558,-10.524250252506507,-16.568693650130793,6.044443397624287,0.0175,0.4446821452754854,-12.5483255109142,-33.30388208580231,20.755556574888107
10.0,0.035,0.4045222875526064,-8.25963852343402,-23.668313158643993,15.408674635209973,0.005,0.7172676382137201,-45.84366628164399,-53.33502066815371,7.49135438650972,0.0275,0.4260422029550757,-11.066934946357811,-20.577118414694034,9.510183468336223,0.0175,0.364161087663904,-15.401210204911255,-30.93830844351851,15.537098238607253
11.0,0.035,0.2629581578486515,-8.736237931800906,-13.263059382655848,4.526821450854943,0.005,0.6627530862778689,-50.15097178046369,-60.05412763783216,9.903155857368468,0.0275,0.2778992846830555,-10.976740771989455,-13.337481862376862,2.360741090387407,0.015,0.38786227649116534,-15.618106826137177,-37.05458123443052,21.436474408293343
12.0,0.035,0.7162025606023122,-8.615328741129344,-38.465463551277026,29.85013481014768,0.005,0.15321774699448354,-52.48102789343551,-62.472421103501404,9.991393210065894,0.0275,0.8041368838307787,-11.097728766454434,-29.185106176849285,18.08737741039485,0.015,0.46897835191404075,-14.653239971577554,-36.955826707565635,22.30258673598808
13.0,0.0075,0.2769272365312995,-23.081998212149028,-40.82467341766925,17.742675205520225,0.005,-0.28602926990863625,-61.63512896160583,-71.65804407813424,10.02291511652841,0.005,0.29371475893747245,-26.43337049892684,-31.95917450136848,5.525804002441639,0.005,0.389084871914192,-30.04759368310274,-38.80409300862086,8.75649932551812
14.0,0.0075,0.40773882991152044,-23.238367517639116,-35.26802974280558,12.029662225166465,0.005,-0.31561774979033935,-66.7177183807746,-79.2107864618143,12.493068081039695,0.005,0.4869498017118258,-26.422988535223165,-33.10282979036551,6.679841255142346,0.005,0.4245904538883031,-29.739544430483292,-55.17421266368447,25.43466823320118
