,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9982535562379449,-40.53798436918547,-52.03272165152002,11.494737282334548,0.005,0.9955772560299527,-59.84455984642979,-66.25236566172406,6.407805815294267,0.005,0.9988819669422712,-40.33814176450622,-56.582620064057714,16.244478299551496,0.005,0.9969585189845754,-46.67167719751542,-71.39034136406241,24.718664166546986
1.0,0.015,0.7096971063281498,-17.776033329714153,-31.36032426145334,13.584290931739186,0.005,0.998630249019325,-42.676631122766786,-43.23090575131077,0.5542746285439861,0.0075,0.895743991296702,-25.210945916891816,-33.75455593973643,8.54361002284461,0.0125,0.7313416411358847,-19.749314463749673,-29.06261590985583,9.313301446106156
2.0,0.0625,0.9731692392679775,-3.6606335051446592,-4.9468041030247925,1.2861705978801332,0.01,0.9942434477204449,-21.657815695668003,-34.315581611561484,12.657765915893481,0.0525,0.9898640350719109,-4.775731774600899,-13.463929707918476,8.688197933317577,0.0225,0.5998698830647291,-13.703139628494483,-22.116531301758574,8.41339167326409
3.0,0.055,0.9738665914934908,-5.15974722658777,-49.40253912346121,44.24279189687344,0.005,0.9953721537242048,-31.25197423950492,-50.09806793769752,18.8460936981926,0.0475,0.9893550535827659,-5.552968732993601,-46.50839666931451,40.95542793632091,0.015,0.6082407347068765,-19.35296916261366,-36.468101388936994,17.115132226323333
4.0,0.0125,0.007661274991118689,-18.083031453265782,-29.70510299205933,11.622071538793548,0.005,0.9988597677314575,-35.32061059012324,-40.34145980118724,5.020849211064004,0.005,0.9908416502919418,-35.42964265249193,-44.21917127223179,8.789528619739862,0.01,0.036043487918642106,-22.467944844055925,-43.44452896956152,20.976584125505592
5.0,0.02,0.3201562014365902,-14.69113652545278,-19.76929732799444,5.07816080254166,0.005,0.9961873124786667,-36.002154233867934,-50.93897894435195,14.936824710484018,0.01,0.9766091267193067,-20.249408875454403,-20.764446648645567,0.515037773191164,0.015,0.34362800657810777,-16.72667926759209,-33.837301495942306,17.110622228350216
6.0,0.0425,0.9625103094664423,-6.371663754209576,-14.872841119212243,8.501177365002667,0.005,0.9931087000605272,-30.734558651710834,-34.535684876615285,3.8011262249044506,0.035,0.9851638997740675,-8.283095345124066,-17.485061591005447,9.201966245881382,0.0175,0.7399391637733161,-16.068098857848135,-31.37703615566632,15.308937297818186
7.0,0.05,0.9787976589361469,-5.68317577082737,-10.686223046381151,5.003047275553781,0.01,0.9935357193530286,-22.704781364997196,-29.018926377766704,6.314145012769508,0.0425,0.9925913032201332,-6.970828201067163,-28.9311990546002,21.960370853533036,0.015,0.4774474640198293,-16.74527024218839,-28.555756421517096,11.810486179328706
8.0,0.0625,0.9678092624306249,-3.3129614617625163,-15.802202380999615,12.4892409192371,0.01,0.9940938412244384,-24.604203365076287,-56.13272821344013,31.528524848363844,0.055,0.9889821384459534,-4.594338548511955,-14.90016803905305,10.305829490541095,0.025,0.6862572460016014,-13.330881362101803,-25.243459745794627,11.912578383692825
9.0,0.0625,0.9715459325879819,-4.034184531078996,-10.164287948275323,6.130103417196327,0.005,0.9918725302036252,-36.53975334732501,-62.528009094810734,25.988255747485724,0.0725,0.9771483257457381,-2.906218448364682,-12.773234996431711,9.86701654806703,0.0225,0.8248024927800284,-13.569973074465235,-32.05135635604342,18.481383281578186
