,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9888889946969592,-66.22659904607586,-90.30899869919435,24.082399653118486,0.005,0.9936511142495015,-73.09073595219527,-73.09073595219527,0.0,0.005,0.993905321200282,-72.67432493647101,-89.90886287248811,17.234537936017105,0.005,0.9186189707064948,-79.06641680162286,-123.10714029602623,44.040723494403366
1.0,0.005,0.9783678030849082,-66.22659904607586,-78.2677988726351,12.041199826559236,0.005,0.996102492266133,-70.00684831201262,-92.91023337422864,22.903385062216017,0.005,0.992241957485164,-72.75678986413119,-83.03627410757036,10.279484243439171,0.005,0.877349200875872,-78.46831618061128,-94.39227141816167,15.923955237550388
2.0,0.005,0.9949855725566706,-55.19150158574453,-90.30899869919435,35.117497113449815,0.005,0.9968576294098414,-72.91123730037623,-96.41865733015257,23.50742002977634,0.005,0.9982281674675828,-56.69019871723507,-74.08826481461523,17.39806609738016,0.005,0.9949314462734287,-57.507261666942625,-76.80074381760811,19.293482150665483
3.0,0.005,0.9843777962880872,-63.46054508275023,-66.78717351808073,3.3266284353305053,0.005,0.9937668546780539,-70.92625807809718,-74.55660734360282,3.630349265505643,0.005,0.9867078253970862,-69.39637408981257,-83.26168053702041,13.865306447207843,0.005,0.9800638814681183,-67.76061067091162,-80.9249335658954,13.164322894983783
4.0,0.005,0.9823599872866573,-66.22659904607586,-72.24719895935547,6.020599913279611,0.005,0.9978122896061343,-69.80443677217409,-81.86145753783804,12.05702076566395,0.005,0.9818112359615525,-74.45657712382791,-102.011302003884,27.554724880056085,0.005,0.9264758993678179,-76.49335079851102,-102.3114172559236,25.818066457412584
5.0,0.005,0.8565977942651392,-59.42763781218885,-62.009531739778,2.5818939275891495,0.005,0.9909781271105305,-73.00937089486092,-120.90298762009319,47.89361672523226,0.005,0.7971420761944119,-75.48153910489046,-75.48153910489046,0.0,0.005,0.7580310631944672,-73.20277180855555,-94.76849362254582,21.565721813990265
6.0,0.0625,0.5171004963580821,-4.432028384581144,-35.82348130717857,31.391452922597423,0.0425,0.743455078562001,-7.364005015090602,-7.364005015090602,0.0,0.0425,0.7984852464374976,-6.697212343294092,-27.344142599698003,20.646930256403913,0.01,0.11441951784542558,-23.801447777215362,-41.73584957107156,17.9344017938562
7.0,0.08,0.7228374596709998,-1.676256243505137,-14.70265245639133,13.026396212886194,0.0725,0.585032565413447,-2.6508810998376866,-23.531084540398517,20.88020344056083,0.0275,0.507412743088428,-11.287170089836918,-26.134774096638868,14.84760400680195,0.01,-0.14959618295249405,-21.10225751001686,-47.84696544983341,26.744707939816553
8.0,0.075,0.941984832473657,-1.9046011446914042,-10.613953136886087,8.709351992194684,0.065,0.9687899096509898,-3.730015379394294,-9.0269191256814,5.296903746287107,0.0275,0.7388971748929085,-11.07615650016819,-35.23142060256229,24.1552641023941,0.01,0.07373638457282232,-21.433706862404907,-45.535062884173655,24.101356021768748
9.0,0.0625,0.9181102417633787,-3.658209761392145,-11.389784627642987,7.731574866250842,0.0575,0.9486500067504637,-4.81458593863789,-11.173178985885048,6.358593047247158,0.02,0.7221351734094245,-13.823209047386575,-30.327150635259432,16.50394158787286,0.01,0.2641003917465028,-22.382683727700403,-37.71659966525635,15.33391593755595
