,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.15162014661159953,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9555145223849187,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7936658367192652,-108.26533415231009,-108.26533415231009,0.0,0.005,0.4296483496599709,-99.32113232093654,-102.02298375343153,2.7018514324949905
3.0,0.005,0.04599235478751698,-80.76657360480111,-80.76657360480111,0.0,0.005,0.4626854418695287,-98.55832207756879,-99.49624309066152,0.9379210130927333,0.005,-0.08671698529167114,-93.37381910243637,-96.65437935350275,3.280560251066376,0.005,0.1013202135881576,-87.16930618029922,-98.52528175580665,11.35597557550743
4.0,0.025,0.5682274146847535,-13.010474868414247,-24.6565564416331,11.646081573218853,0.005,0.9271858191165835,-34.532926543901,-43.54314102236654,9.010214478465542,0.02,0.5839813973019162,-14.264313227393588,-32.93066651626255,18.66635328886896,0.01,0.25715835399308584,-24.086942966294217,-54.05845642791284,29.97151346161862
5.0,0.0225,0.5463201672506517,-13.063985207235858,-23.173189492160038,10.10920428492418,0.005,0.8951306938866775,-30.05214210974144,-42.79994461409102,12.747802504349579,0.02,0.5418942319277674,-12.998659656124588,-26.123444842754814,13.124785186630227,0.01,0.5156920875416604,-23.96308854264888,-35.77358068418231,11.810492141533434
6.0,0.02,0.6150936141732365,-15.882681087076376,-19.041750509462208,3.1590694223858318,0.005,0.865795227595239,-31.80334635984131,-49.75231385011056,17.94896749026925,0.0175,0.5991461400798668,-14.088678679774361,-17.00782941571406,2.9191507359396986,0.005,0.5748231364659542,-27.46844067938426,-39.50151435522075,12.03307367583649
7.0,0.02,0.7024529865211733,-15.410627850367295,-53.16234877056899,37.75172092020169,0.005,0.8525554089714834,-36.357166295061994,-45.27355032373541,8.916384028673413,0.0175,0.7062163620780498,-14.901291410659214,-35.405276872116296,20.503985461457084,0.005,0.7424850117518468,-28.947584214858296,-51.8164615393455,22.8688773244872
8.0,0.0175,0.7168823146527971,-15.995615851174552,-28.03013165305762,12.034515801883067,0.005,0.9210721664084339,-36.59161247160598,-51.955433369384814,15.363820897778837,0.0175,0.7188038238599758,-15.421616695939877,-68.18059620427978,52.758979508339905,0.005,0.7024672075556224,-30.528452580114404,-40.911677523916836,10.383224943802432
9.0,0.015,0.6764993266468541,-17.076530514609757,-28.9824801919536,11.905949677343841,0.005,0.9566405359648146,-37.26928323519039,-38.460377113919066,1.1910938787286725,0.0125,0.6800419841849012,-19.25130782621289,-36.031530847085925,16.780223020873034,0.005,0.4587592893755258,-30.347295218881023,-45.39717843833853,15.049883219457506
10.0,0.0125,0.5722594614070561,-19.50240920337688,-29.14047821005425,9.63806900667737,0.005,0.970166675219456,-36.27073863338342,-52.15912294577641,15.888384312392994,0.0125,0.5847089367990103,-19.45163043188803,-42.976568567651455,23.524938135763424,0.005,0.485945252637018,-30.514939080034104,-38.62154352353698,8.106604443502874
11.0,0.0125,0.5172636280823667,-19.3068787122425,-51.03324215228325,31.72636344004075,0.005,0.965635577199163,-38.67461253498183,-40.98245857256457,2.3078460375827348,0.01,0.4982435292872759,-21.43068701968268,-42.45253242190135,21.021845402218673,0.005,0.2924242097175988,-31.522548499715725,-80.69524873539669,49.17270023568096
12.0,0.01,0.5032171047604078,-22.455059634001042,-30.317688934674713,7.862629300673671,0.005,0.9861977256707037,-36.51951709769206,-42.23346811768398,5.713951019991917,0.0075,0.44627197688644854,-22.9446400474015,-32.51952187589166,9.574881828490163,0.005,0.3513671969399592,-39.04465264753239,-42.53009380354648,3.4854411560140903
13.0,0.01,0.5533520825933809,-22.229439425807264,-32.77309917518034,10.543659749373077,0.005,0.9864364779131606,-36.36795507849841,-71.10812446802097,34.74016938952256,0.01,0.4435896101169843,-22.953488039748127,-30.78838373848743,7.834895698739302,0.005,0.7597614716731296,-26.323068331320584,-43.218341219289115,16.89527288796853
14.0,0.01,0.6208644607399572,-22.657852261018636,-32.534179485536505,9.876327224517869,0.005,0.9886670526827844,-35.54278062639943,-37.728759480996096,2.1859788545966694,0.01,0.4545736368479081,-25.094423006837104,-46.306157455678246,21.211734448841142,0.005,0.7718701096523675,-30.457503033520595,-35.10353103494424,4.646028001423645
