,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.41397162191116077,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.8453640868805358,-90.20538553246553,-95.40320265730853,5.197817124842999,0.005,0.6425519906024028,-91.11277645810306,-96.49910343133169,5.386326973228634,0.005,0.21184426756540423,-88.38670033212296,-102.07075740275825,13.68405707063529
10.0,0.0325,0.9819433320944949,-10.453511414087247,-15.887632663251175,5.434121249163928,0.005,0.7893160607711973,-57.947436828205724,-70.4403042807792,12.492867452573478,0.0275,0.9887112381285593,-11.81083325712643,-15.257824634986807,3.4469913778603782,0.015,0.970763522947068,-18.68887408953382,-21.735761812629338,3.0468877230955194
11.0,0.0325,0.978877948557357,-10.34032432190498,-35.13076085123488,24.790436529329902,0.005,0.6785942345621541,-60.823382149697125,-78.12303552746343,17.299653377766305,0.0275,0.9893576332996841,-11.975696080029854,-19.21171525082514,7.236019170795286,0.015,0.9646635135892654,-17.00295593151471,-29.062802360278134,12.059846428763425
12.0,0.0275,0.9757539298611603,-10.665383787266308,-15.456066900419634,4.790683113153326,0.005,0.9190765918015062,-63.736813513893196,-81.06165099899269,17.324837485099494,0.025,0.9841574696032717,-12.109937441962975,-29.274253389555515,17.16431594759254,0.0125,0.9452710524500706,-19.242540579836653,-35.06874173778535,15.826201157948699
13.0,0.0275,0.9774567614668294,-11.68492819017931,-32.37847434940325,20.69354615922394,0.005,0.94517117268105,-59.10833315106739,-65.96839350876874,6.86006035770135,0.025,0.985412677959863,-13.230631817846541,-31.401889903501264,18.17125808565472,0.01,0.9508585478613499,-22.552246938338584,-31.362116131702482,8.809869193363898
14.0,0.0275,0.9764064598156027,-11.960989340089345,-22.046357690496915,10.08536835040757,0.005,0.9694246687799187,-58.93438032613234,-66.48766268827296,7.553282362140621,0.025,0.9823241841550573,-12.616460486174407,-23.950659759104877,11.33419927293047,0.01,0.9717454071873552,-21.123828623744338,-29.728514330607837,8.6046857068635
