,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.17794691024074183,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.7449282864027473,-108.71689062499942,-125.21140680922971,16.494516184230292,0.005,0.041447205846054366,-102.47724737324995,-110.28234195089424,7.805094577644283,0.005,-0.020326615822575382,-96.55361888301499,-123.2542910545603,26.700672171545307
3.0,0.005,-0.4644338286293408,-43.46054508275023,-44.96556413113407,1.5050190483838435,0.005,-0.05002318449701499,-99.47285179038637,-104.57735570478758,5.1045039144012065,0.005,-0.6713074994974977,-49.158392310146894,-53.69340020735865,4.535007897211756,0.005,-0.05701864752111352,-50.87080092230746,-62.857605846492106,11.986804924184646
4.0,0.035,-0.43343982909059486,-10.168560187620743,-13.873489355525088,3.7049291679043446,0.005,-0.7565302079889398,-39.16096227531492,-41.78999448702649,2.629032211711568,0.0325,-0.5101290965543066,-9.648757024954852,-29.977791724706364,20.32903469975151,0.0175,-0.05624179683958076,-14.617515618077721,-22.480514489630863,7.862998871553142
5.0,0.0475,-0.5518362698296223,-6.057789539771483,-24.770576057878877,18.712786518107393,0.0075,-0.5797603909637741,-24.819724466534986,-33.420517042398544,8.600792575863558,0.0475,-0.5596479331422161,-6.579114306909145,-25.843447249996146,19.264332943087002,0.015,-0.42190025242422646,-18.592023843086245,-24.761950999606196,6.16992715651995
6.0,0.0625,-0.6585369874789149,-4.3428559526242,-8.983225793880155,4.640369841255955,0.01,-0.5587081444802788,-20.15843799302255,-23.162983147805658,3.0045451547831092,0.0575,-0.6564157773126077,-5.107010324355566,-16.738908971356892,11.631898647001325,0.01,-0.3073427243321517,-22.16867348712787,-33.834943016332204,11.666269529204335
7.0,0.065,-0.593375029827115,-4.127472662747728,-16.67693872457699,12.54946606182926,0.015,-0.4962665388601298,-18.101372155950706,-19.371323858824894,1.269951702874188,0.0575,-0.6122774457871566,-3.9624219622742487,-7.1978085959045135,3.235386633630265,0.005,-0.11053211413224616,-30.612193464343722,-53.8262820771198,23.214088612776077
8.0,0.0675,-0.4128558604651722,-3.690987505835683,-14.756113145264658,11.065125639428976,0.015,-0.3464539318636856,-17.469950612846116,-53.70424538930897,36.23429477646286,0.0575,-0.4671980083780687,-3.99969598427457,-6.937699323982488,2.9380033397079184,0.005,-0.2946245334312942,-34.31926193907081,-52.40579597650086,18.08653403743005
9.0,0.065,-0.859088507179099,-4.126620060083185,-6.474390831937232,2.347770771854047,0.0125,0.09586085082172625,-19.689117537237017,-35.200957794588554,15.511840257351537,0.0625,-0.8507491295215097,-4.360463924715832,-8.830448733597025,4.469984808881193,0.005,-0.24589330334779905,-38.95875350718653,-58.045769533119945,19.087016025933416
10.0,0.06,-0.6784388524165339,-4.9430569547190215,-8.790763469538808,3.8477065148197864,0.015,-0.2560372082314973,-16.991163742973136,-20.345540683410654,3.3543769404375183,0.0575,-0.7482674203168316,-4.280148989534417,-16.230121023073252,11.949972033538835,0.005,-0.21164452311787305,-44.329802105772316,-76.37352786016083,32.04372575438852
11.0,0.045,-0.34017527084392085,-6.909047957862954,-18.775262595174446,11.866214637311494,0.015,-0.1859935584581687,-16.52033327654241,-24.13390133984641,7.613568063304001,0.04,-0.342469884350218,-7.4259714523310985,-14.555082279996599,7.1291108276655,0.005,-0.3614513282529378,-49.457365100107005,-52.20500342298129,2.7476383228742876
12.0,0.025,-0.15159242458853162,-13.263059382655848,-18.004732003167188,4.7416726205113395,0.01,-0.05412656103028677,-20.810750900160002,-34.440870764100644,13.630119863940642,0.0225,-0.14395598456476005,-13.17989199259455,-32.000580605140755,18.820688612546206,0.005,-0.11000913420391571,-48.53163548112568,-69.0192998712188,20.487664390093123
13.0,0.0125,-0.37970797420932845,-18.08515748182567,-53.53201688444925,35.44685940262357,0.0075,0.08212798570551345,-26.001487296223754,-41.93105897610671,15.929571679882958,0.0125,-0.38023459454907577,-18.66728578598764,-30.288475082159167,11.621189296171526,0.005,-0.4957061873952416,-40.62775821272487,-55.63252901903904,15.00477080631417
