,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.019290285237348017,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8031510865702498,-103.5760307992096,-111.01709652478115,7.441065725571548,0.005,-0.105172202401133,-96.07221712341084,-96.07221712341084,0.0,0.005,0.007912506889300537,-90.64422999836236,-102.59729635635455,11.953066357992185
5.0,0.0175,0.719432821261255,-15.124710074509478,-24.318852725184605,9.194142650675127,0.005,0.9459170741740541,-39.90369334430652,-39.90369334430652,0.0,0.0125,0.7415937325774473,-17.599918827988425,-31.216295862851542,13.616377034863117,0.005,0.24664966684564898,-26.110844830515234,-40.44575382745869,14.334908996943454
6.0,0.0175,0.7523433826245688,-15.539729909955309,-36.73863111839208,21.19890120843677,0.005,0.9404878460426063,-39.69125135346288,-49.6212284925944,9.929977139131516,0.015,0.7873944721506545,-17.3368797266971,-30.19330190070502,12.856422174007921,0.005,0.1866460885839482,-27.28626197674878,-41.171336824848545,13.885074848099766
7.0,0.0175,0.8191595590060222,-16.453822336099872,-23.335114893883535,6.881292557783663,0.005,0.9221870639316544,-42.20837491224883,-48.328083647829985,6.119708735581156,0.0175,0.8366977098592507,-16.42062230572044,-24.18160950426937,7.760987198548932,0.005,0.3647928340252316,-27.528837642945238,-37.94129327064907,10.412455627703832
8.0,0.0175,0.7131128113882055,-16.17464305245918,-21.8440812204582,5.669438167999019,0.005,0.767196603244886,-37.981846306423314,-40.61660588596486,2.6347595795415444,0.015,0.7535241240074592,-17.34394763827036,-36.31687449788389,18.972926859613526,0.005,0.3300880596834779,-28.045187225296893,-42.25887782337922,14.21369059808233
9.0,0.0175,0.7195468080662363,-15.115641805401747,-27.184074891247466,12.068433085845719,0.005,0.7511750460051174,-37.64459298703488,-43.252461732577714,5.607868745542831,0.0175,0.723276456909825,-16.16483215629706,-28.331524215543944,12.166692059246884,0.005,0.41871226775197096,-28.6381309427047,-30.378852632470007,1.7407216897653086
10.0,0.02,0.7924741150375064,-14.090913085820349,-34.18539921951661,20.094486133696265,0.005,0.8408296621890817,-36.62939450849079,-40.84073862538446,4.21134411689367,0.02,0.7968441547216,-15.515204036216712,-29.00865849494877,13.493454458732057,0.005,0.6104419401404977,-27.231496713486404,-49.78714794165255,22.555651228166145
11.0,0.0175,0.7365506563062528,-15.64023815737313,-32.601774298564116,16.961536141190987,0.005,0.8221823441196143,-37.61440210833761,-38.69013068816094,1.075728579823334,0.0175,0.7352970485430629,-16.334229949418713,-29.485011933299834,13.15078198388112,0.005,0.7360259094377573,-27.694518815819983,-36.037263983668296,8.342745167848314
12.0,0.015,0.7611933638705612,-17.941760076996793,-38.57725260575926,20.63549252876247,0.005,0.7907465576307264,-37.881528925288166,-52.54404522804051,14.662516302752344,0.015,0.765464198504182,-17.166960330099506,-36.09764035067987,18.93068002058036,0.005,0.694168313147218,-28.934770511710536,-29.838101568723268,0.903331057012732
13.0,0.015,0.7292516916168794,-17.19278880928931,-24.67016003037786,7.47737122108855,0.005,0.656893148739076,-40.032254379112196,-46.39083855498056,6.358584175868366,0.015,0.7301507493420967,-16.964598667737185,-28.614386557442074,11.64978788970489,0.005,0.7740684851362053,-26.90056577520595,-42.36651735563625,15.465951580430296
14.0,0.015,0.7444842099339466,-17.563207745630866,-24.858243151689607,7.295035406058741,0.005,0.6813684077988413,-38.118498066491625,-43.73570500504017,5.6172069385485415,0.0125,0.735505102065375,-19.26988916385301,-41.44262517168453,22.172736007831524,0.005,0.6693914172678813,-30.279341560194965,-38.03614662555605,7.756805065361085
