,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.9963447539000959,-33.06637111293361,-38.465463551277026,5.399092438343416,0.005,0.9999745527444749,-57.832476905045965,-57.832476905045965,0.0,0.005,0.9981507891754507,-38.140127175650605,-38.140127175650605,0.0,0.005,0.980973771169683,-40.90030015091095,-55.75291433565543,14.852614184744482
6.0,0.005,0.9899070234090472,-29.943312530663736,-35.872786394943425,5.929473864279689,0.005,0.9912258488062765,-39.54214116898099,-46.630104138357524,7.087962969376534,0.005,0.9969071713609446,-32.61401920402578,-50.7116882024082,18.097668998382417,0.005,0.9676489451312774,-39.127169177288174,-55.925224727526384,16.79805555023821
7.0,0.005,0.988939827808022,-32.37847434940325,-44.33193717100022,11.953462821596972,0.005,0.9913163772246236,-39.3706182184837,-53.95762665242421,14.587008433940511,0.005,0.9966225292051455,-34.13440729586202,-40.39321361834592,6.258806322483899,0.005,0.9756227727145398,-38.669452847648145,-47.759031370446564,9.08957852279842
8.0,0.005,0.9892630002669789,-31.896098671058603,-50.84644162720038,18.950342956141775,0.005,0.9818951815245633,-43.93474746270242,-60.05835884347971,16.12361138077729,0.005,0.9951809136461097,-37.390866200569825,-71.97376872472145,34.58290252415163,0.005,0.9815906005646363,-38.69955785558289,-53.06446352082474,14.36490566524185
9.0,0.005,0.9878616679084036,-39.03937699130614,-68.72537377824186,29.685996786935718,0.005,0.982797550777738,-49.83648145723738,-68.7072517469007,18.870770289663312,0.005,0.9934972450791292,-44.21985676157776,-94.75598898671257,50.53613222513481,0.005,0.9675026078747443,-48.34927656016787,-109.93717171560289,61.587895155435014
10.0,0.005,0.9935830734051372,-36.55841947490166,-62.009531739778,25.451112264876336,0.005,0.9829951832840053,-48.50611385079657,-53.232806498464356,4.7266926476677895,0.005,0.9965797461738175,-39.26697740715508,-64.98250789397113,25.71553048681605,0.005,0.9833562644890932,-50.513711398726215,-81.9278986689241,31.414187270197885
11.0,0.005,0.9973368409389384,-39.182948683848615,-47.89752007507736,8.714571391228745,0.005,0.9980643714023933,-44.34989233268335,-52.00037617035334,7.650483837669988,0.005,0.9981862868993342,-41.72562804143824,-48.03694470816127,6.31131666672303,0.005,0.7498168406951063,-66.43400086773339,-67.83103479097076,1.3970339232373732
12.0,0.005,0.9983120929387687,-29.77833340872842,-39.6539111193444,9.875577710615978,0.005,0.9991836780931809,-36.44995370188901,-36.89667296608607,0.4467192641970641,0.005,0.9984139648249241,-33.41953991599993,-41.96183653768132,8.542296621681395,0.005,0.8048559751442262,-57.557803458866104,-114.26343642626186,56.70563296739576
13.0,0.01,0.9971437449536511,-20.66582479096883,-21.465676983499954,0.799852192531123,0.005,0.9972933301850763,-35.06369852708148,-37.93029569905575,2.86659717197427,0.01,0.9977984062321614,-21.56220311336562,-63.55837916750315,41.99617605413753,0.005,0.9017567690319052,-42.00141492066948,-66.4549801564097,24.45356523574022
14.0,0.0475,0.982014338697169,-6.044489243726339,-17.004886130502346,10.960396886776007,0.005,0.9903436335570558,-36.76749935497958,-53.860163405170255,17.092664050190677,0.0575,0.9895589583739033,-4.292210086231743,-6.693197826111955,2.400987739880212,0.025,0.9026092639467417,-12.301824019188869,-21.26591103438932,8.96408701520045
