,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.8814402524718524,-58.80198047255306,-90.16601481625332,31.36403434370026,0.005,0.9566729579216116,-70.20853321672008,-73.75332982101007,3.544796604289985,0.005,0.7910711424018881,-72.36463092462884,-84.81108869731528,12.446457772686443,0.005,0.7047130736925531,-69.5658641071833,-98.37919311821867,28.813329011035364
2.0,0.005,0.9091514986652203,-62.20721435762328,-76.18661411841302,13.97939976078974,0.005,0.9931794474186466,-69.5645932566456,-74.87330620119513,5.308712944549541,0.005,0.8837198416663721,-71.82807187436661,-87.0229272477171,15.194855373350492,0.005,0.7327521894101824,-69.4141968998405,-133.97940008672037,64.56520318687987
3.0,0.005,0.9517277256221693,-62.20721435762328,-78.12481498969407,15.917600632070794,0.005,0.9966910340557781,-66.8729513067273,-73.06157179818126,6.18862049145396,0.005,0.8602529853352409,-77.08285519922775,-83.16976114007296,6.086905940845213,0.005,0.7841520554427003,-72.12708421905506,-96.14124018317997,24.01415596412491
4.0,0.005,0.8435946129275459,-73.26405387046344,-90.16601481625332,16.90196094578988,0.005,0.9958163562300083,-73.10891867956828,-88.24321471509552,15.134296035527242,0.005,0.8181710269173844,-81.5726835287249,-114.7122196372037,33.13953610847881,0.005,0.6945582997923638,-78.44583308320337,-110.39447355272698,31.94864046952361
5.0,0.005,0.9111171820264721,-70.1660142051334,-73.26405387046344,3.098039665330049,0.005,0.8821342369664544,-79.3450215376605,-91.74993790048516,12.404916362824665,0.005,0.776077424925232,-83.76607070419597,-108.31453926485116,24.548468560655195,0.005,0.11542583835516255,-87.93819573667741,-97.97477725724278,10.036581520565363
6.0,0.005,0.9673675740002724,-31.187979112215146,-40.22742183532662,9.039442723111478,0.005,0.9596206505567403,-39.35518253936293,-39.35518253936293,0.0,0.005,0.9781442323025797,-42.50572847634464,-45.49368137965837,2.987952903313726,0.005,0.9972834304075017,-35.821801964885104,-90.78378052229985,54.961978557414746
7.0,0.0175,0.9847408803030803,-14.633443572558367,-24.312034544607926,9.678590972049559,0.01,0.9743791068494548,-24.88416948063882,-27.070358378168716,2.1861888975298953,0.0125,0.9877852697634344,-18.048042352076553,-24.136214630617786,6.088172278541233,0.01,0.9985103991069828,-24.00648551026096,-48.68969658172908,24.683211071468122
8.0,0.0325,0.9900427498185822,-9.748020796494274,-17.291040800554413,7.543020004060139,0.01,0.9842074340762623,-23.686733247671828,-40.52626446812897,16.839531220457143,0.025,0.9901691352072244,-10.76668272873366,-20.258882678108968,9.492199949375308,0.0125,0.9976441565603239,-19.117288465322545,-24.251656885618942,5.134368420296397
9.0,0.0175,0.9916275749579978,-15.454036690479555,-22.207214774814496,6.753178084334941,0.005,0.9752628943331445,-34.815376374013965,-45.553337346454484,10.737960972440519,0.015,0.9918698241409011,-16.54047347600356,-19.303675854931136,2.763202378927577,0.01,0.9976957054774654,-20.126394602071308,-47.78403922820927,27.65764462613796
