,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.025,0.21699027946609634,-13.214378354915512,-34.68825992677172,21.47388157185621,0.005,0.8300985961216127,-36.47533735272718,-57.37843293232974,20.903095579602557,0.02,0.22592348786954627,-13.992226324668032,-18.8100583279606,4.817832003292569,0.01,0.17081614252391208,-20.43595986023636,-29.69525556516472,9.259295704928363
5.0,0.0325,0.49856670350303656,-9.688913071923622,-26.36338753668197,16.674474464758347,0.005,0.8282546655842897,-37.11584605769756,-68.71526967689411,31.59942361919655,0.025,0.507099931182787,-10.548070919019306,-20.32505829291999,9.776987373900685,0.015,0.42377210556523254,-18.225039911886075,-24.175475064551343,5.950435152665268
6.0,0.0275,0.43241522127871573,-12.014732959721881,-19.821076257117518,7.806343297395637,0.005,0.8600172836275481,-36.50616445334569,-45.079130480697486,8.572966027351796,0.0225,0.42205096173099443,-12.14279229858885,-23.851407056916408,11.708614758327558,0.015,0.4733723892831596,-16.534807352372724,-29.771815472540744,13.23700812016802
7.0,0.03,0.31626546423151464,-11.305597503030354,-37.38092417473297,26.075326671702612,0.005,0.6842439143326159,-39.69855761529909,-52.94218273916937,13.243625123870281,0.0225,0.3175315403571216,-12.129309589825052,-22.630764066497633,10.501454476672581,0.015,0.3108879755302387,-17.381089818122767,-31.057998251903797,13.67690843378103
8.0,0.0275,0.22586858974055374,-10.472077626296423,-20.714613990402935,10.242536364106511,0.005,0.7859740113222031,-38.80862780660748,-52.57352462762151,13.764896821014027,0.0225,0.2376022818255028,-13.965340872386475,-23.79118118239259,9.825840310006116,0.015,0.2145195158279251,-16.872360707785585,-24.89377458257977,8.021413874794185
9.0,0.025,0.39086115402160587,-13.12142861068234,-18.237451336165023,5.116022725482683,0.005,0.7509511355456553,-39.81772582154949,-65.15823052902346,25.34050470747397,0.0175,0.3855012156716275,-14.655703822948444,-25.26086565151725,10.605161828568805,0.0175,0.4011427175646926,-15.993607438860266,-28.336731703204258,12.343124264343992
10.0,0.03,0.28410007341856436,-10.861238717044902,-40.12494825257229,29.263709535527386,0.005,0.853179297844902,-39.74015084137712,-51.21415959869657,11.474008757319446,0.0225,0.23417844308950891,-12.866089408136098,-24.993513057734766,12.127423649598668,0.015,0.42116631844722063,-17.771339953570646,-23.046100925822582,5.274760972251936
11.0,0.025,0.34736232945533857,-12.923190615006387,-31.782149766681258,18.85895915167487,0.005,0.811087959701416,-37.29487356402317,-40.77728355779628,3.4824099937731106,0.02,0.38439862232964905,-14.330009570708953,-28.476590531187227,14.146580960478275,0.015,0.1786742046225783,-17.90903767610294,-27.90788965513017,9.99885197902723
12.0,0.0375,0.37914500050503247,-6.708776318040007,-19.115653131433206,12.406876813393199,0.005,0.849360230594104,-34.801162374536034,-50.10448048618124,15.303318111645204,0.0275,0.4146554563655763,-11.238167853195073,-20.29153162600716,9.053363772812087,0.0225,0.26931238528540546,-13.729041886882811,-25.214305131563002,11.48526324468019
13.0,0.0275,0.41612338986628505,-11.539604931841453,-20.906671636174273,9.36706670433282,0.005,0.8342960138959502,-38.72224829692605,-53.84363561566598,15.121387318739934,0.0225,0.44384972585539756,-13.970284265870838,-26.8220636635696,12.851779397698763,0.0175,0.3802924267393752,-15.824437320606679,-27.788682133215197,11.964244812608518
14.0,0.04,0.39967734632857105,-7.848308104124224,-24.784359540757684,16.93605143663346,0.005,0.7912973767079332,-39.5962234967515,-46.153502572411746,6.557279075660247,0.0225,0.2775819763199426,-13.389152843731164,-24.8250427833418,11.435889939610636,0.03,0.5510945440790691,-11.660762195445004,-33.340396593970624,21.67963439852562
