,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0075,0.5865060841327906,-24.561923244899425,-56.32959861247397,31.767675367574547,0.005,0.9691879856180785,-42.96251280454301,-50.51726908365396,7.554756279110947,0.005,0.5017242054976551,-27.315342442587106,-32.521309847251906,5.205967404664801,0.005,0.7951529162080644,-27.25904401072818,-40.33951466704826,13.080470656320085
5.0,0.025,0.7066393239037759,-11.77597715741658,-21.81789916706009,10.04192200964351,0.005,0.8978468698208837,-39.225529890334315,-45.799992382949235,6.57446249261492,0.02,0.6906618583875479,-14.333791861273333,-28.366697275925535,14.032905414652202,0.0125,0.7230703671073639,-19.762460872211825,-28.285744697544736,8.52328382533291
6.0,0.035,0.6510353820168183,-9.626059157073446,-15.176276534277395,5.55021737720395,0.005,0.3880481074155703,-39.039865804350754,-63.97564976949421,24.935783965143457,0.03,0.6712676948667866,-11.1917393081589,-14.687702834391157,3.4959635262322575,0.0175,0.6052014714063206,-14.824366713135714,-21.285987601255385,6.461620888119672
7.0,0.05,0.5307976836172968,-6.651009348229156,-17.059508624188165,10.40849927595901,0.005,0.6773525564857119,-35.252335934225975,-57.69139655055844,22.439060616332462,0.04,0.5357525377659197,-8.33915215156299,-28.460208888555382,20.121056736992394,0.0175,0.40262507795511393,-16.218641528243644,-38.349406377508345,22.1307648492647
8.0,0.05,0.1910930380483387,-5.881235633067466,-14.256260337538144,8.375024704470679,0.005,0.45339968780944817,-37.99011480028514,-57.949669578226434,19.959554777941293,0.0425,0.20503954703174135,-7.3351816643438745,-13.97260829771084,6.637426633366966,0.0175,0.22750674908202592,-16.076386060485532,-30.708133582624356,14.631747522138824
9.0,0.0425,0.31812171557544405,-7.106233544726321,-21.519186891400683,14.41295334667436,0.005,0.6619742589665477,-34.88077285762419,-47.273938979425864,12.393166121801677,0.0425,0.3136468531679504,-7.884316882930326,-25.731190679735064,17.846873796804736,0.015,0.227916854350789,-18.37486117765248,-45.20006549407789,26.82520431642541
10.0,0.035,-0.03280233036100581,-9.481144996029858,-15.248067466663775,5.766922470633917,0.005,0.5609179059494196,-38.81697831444454,-50.24577838438481,11.428800069940273,0.035,-0.028159556178651037,-8.882034947527846,-20.738663000229064,11.856628052701218,0.015,0.05736992480990829,-18.676428293619548,-36.15778038819456,17.481352094575012
11.0,0.0325,0.12223758571687884,-10.030356284970281,-31.508635599041092,21.47827931407081,0.005,-0.1318352173082342,-43.242182469390755,-55.055038426698715,11.81285595730796,0.03,0.11511504310005874,-10.784023879018502,-34.76818405516464,23.984160176146137,0.01,0.12272371239562806,-20.24765285577127,-34.11613190766418,13.868479051892912
12.0,0.03,0.494172215357716,-11.094827665423226,-31.321198566296097,20.226370900872872,0.005,0.18139730665811457,-41.83322191488662,-51.38140248328207,9.548180568395452,0.0275,0.5164552576275429,-11.410339806290427,-70.94038078274784,59.530040976457414,0.01,0.1585955446450156,-23.956146947237183,-37.868165196281474,13.91201824904429
13.0,0.0325,0.3443946988722772,-8.785659912295706,-18.65864102711311,9.872981114817403,0.005,0.5682902258290061,-31.933733796158993,-40.239775969046185,8.306042172887192,0.0275,0.3277296926740983,-11.413540271365065,-21.735356413940217,10.321816142575152,0.01,0.46810059620009337,-20.47711441631966,-29.53246660314939,9.05535218682973
14.0,0.0425,0.506538972444189,-7.912008634964005,-12.598382035432515,4.68637340046851,0.005,0.6793513110838534,-34.6517903853583,-38.69011821549642,4.0383278301381225,0.035,0.4948930964871926,-8.613570121791398,-15.209018165807585,6.595448044016187,0.02,0.5373744470119343,-15.792900951336048,-39.313428560768266,23.520527609432218
