,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.5966486179811263,-53.28383172481285,-62.3501985257536,9.066366800940749,0.005,0.26414692331446843,-66.91090015923199,-87.82471970483942,20.91381954560744,0.005,0.6261189793207582,-58.55211283880186,-77.31582176403192,18.763708925230063,0.005,0.8471523525112139,-58.52544549837315,-67.39214719417335,8.866701695800195
1.0,0.005,0.5848316268850847,-53.65882044506962,-73.40703789890921,19.748217453839587,0.005,-0.026744094729070165,-66.78021547766821,-67.40622802023856,0.6260125425703507,0.005,0.5759038827970883,-61.075593577931144,-85.91873670482478,24.843143126893636,0.005,0.8440631253285543,-59.54738751166729,-95.01732036761985,35.46993285595256
2.0,0.005,0.5967397709576298,-54.891958466351475,-68.03013165305762,13.138173186706148,0.005,0.05421673946601409,-66.9914010160761,-101.82195753886967,34.83055652279357,0.005,0.5118027510702474,-61.29240860506223,-66.05591027394587,4.763501668883642,0.005,0.8525393503435079,-60.0117860486423,-71.6886646039654,11.676878555323107
3.0,0.005,0.6418441852599892,-55.823481307178575,-61.36583807234997,5.542356765171398,0.005,0.14163103818679185,-67.52569419386373,-72.17164081784699,4.645946623983264,0.005,0.6363181595821292,-61.835918782710834,-68.65138488059446,6.815466097883629,0.005,0.847322591551335,-59.0700610427698,-62.980523431907834,3.910462389138033
4.0,0.005,0.7495441365744668,-53.918119988356985,-64.28839878591474,10.370278797557752,0.005,0.39743362595428827,-68.41226099965628,-75.46166569819692,7.049404698540641,0.005,0.7731871489054272,-60.45351010895715,-67.00746607524627,6.553955966289124,0.005,0.8646277495952712,-58.08655015079535,-68.49029366829164,10.403743517496295
5.0,0.0175,0.9995920775167262,-15.509644764004172,-18.994402942571817,3.4847581785676454,0.005,0.9996141482134835,-29.818235845148344,-30.675570183779595,0.8573343386312509,0.01,0.9997212729009307,-20.07645153736484,-23.43667681784586,3.3602252804810213,0.005,0.9991611186123602,-26.415790011469625,-39.283096386505484,12.86730637503586
6.0,0.025,0.9992546821642874,-11.966243644065472,-31.253149838312517,19.286906194247045,0.01,0.9990952461137065,-23.943762081177518,-25.02820301832141,1.0844409371438921,0.015,0.9994201416241102,-16.747644376917393,-34.3925188035768,17.644874426659406,0.01,0.9996745830802967,-23.104696214586316,-31.44389270649971,8.339196491913395
7.0,0.045,0.9978474219308343,-6.210328252111461,-17.796577070696205,11.586248818584744,0.0075,0.9979168804066053,-25.060912287376695,-42.063102920733456,17.00219063335676,0.01,0.9860695521958078,-21.42658363409767,-37.60462668074241,16.178043046644742,0.05,0.9986212580943591,-5.127139388085209,-11.851484256088245,6.724344868003036
8.0,0.045,0.9974887104844619,-6.100487866572624,-28.454585805512373,22.35409793893975,0.005,0.9483218282336562,-41.320978396242936,-52.97650220253936,11.655523806296422,0.005,0.984786488755637,-28.887033407102194,-51.45624457797555,22.56921117087336,0.0475,0.9976527259132085,-5.675724240251441,-20.65282493050021,14.977100690248768
9.0,0.03,0.995596661582495,-11.307546104191207,-24.575379312095755,13.267833207904548,0.005,0.9943284400494005,-33.14178921257938,-48.39967817572854,15.257888963149156,0.01,0.9974780449764279,-22.232783776324858,-36.88006820294917,14.64728442662431,0.025,0.9954183778148681,-12.564014068466777,-46.81522133107621,34.251207262609434
10.0,0.025,0.9991322327755762,-12.06136872081835,-24.301437401780305,12.240068680961954,0.01,0.9994209859388619,-25.10499239114662,-25.686897874832585,0.581905483685965,0.02,0.9996619466298223,-15.614488619212374,-32.91994770995171,17.305459090739333,0.01,0.9910324644256403,-22.28555116672275,-51.83106736465347,29.54551619793072
11.0,0.0225,0.9980740781460972,-13.371127832861854,-16.747740599707452,3.3766127668455983,0.0075,0.9982776782151339,-25.733510629994836,-86.62037969747352,60.886869067478685,0.0175,0.9982468237763752,-15.469319303822218,-25.198101692584135,9.728782388761918,0.005,0.9907506779386551,-32.121298156249324,-50.3037038614561,18.182405705206776
12.0,0.0225,0.9985391956524747,-13.42069788971787,-26.199497964376537,12.778800074658667,0.005,0.9989039248790059,-26.618134143605666,-28.230993767433326,1.61285962382766,0.015,0.9985920834287891,-16.68977313540408,-24.04676926581002,7.356996130405939,0.005,0.9952191151700295,-34.48589567637998,-48.34579072730898,13.859895050928998
13.0,0.0225,0.9984715838140829,-13.381019238500858,-29.819285345211014,16.438266106710156,0.01,0.9991265171782994,-25.77390004122617,-28.49233807254692,2.7184380313207512,0.015,0.998457621552967,-16.805046503125865,-34.67349479795092,17.868448294825058,0.0175,0.9995294706055792,-16.36832327082822,-64.81240804624166,48.44408477541344
14.0,0.0275,0.9949618166414346,-10.679875368751826,-29.43389615982077,18.754020791068942,0.005,0.9844050531836528,-28.489777792564198,-56.112649175761355,27.622871383197158,0.005,0.9735565941331128,-28.651967850540878,-41.45759664466274,12.805628794121866,0.025,0.9971417856580224,-13.135211267360702,-34.574935642767294,21.43972437540659
15.0,0.02,0.9986871774072353,-14.712741435782748,-40.31525704682628,25.602515611043536,0.005,0.9986337027191146,-27.14525835305338,-27.94724135977356,0.8019830067201816,0.01,0.9992918457565967,-20.15258671431155,-22.91050832760564,2.7579216132940907,0.01,0.9948100892631252,-20.449796765131055,-39.814917168792064,19.36512040366101
16.0,0.0175,0.9979621628326288,-14.949564271561982,-27.20835412337495,12.258789851812967,0.005,0.9944071853100268,-27.874015600636337,-30.396477714973823,2.522462114337486,0.01,0.9988722607723269,-20.184669778867594,-45.15109735666171,24.966427577794114,0.01,0.9971018406788891,-23.695642234150426,-44.764273547104494,21.068631312954068
17.0,0.0175,0.9983788761651751,-15.264955635663938,-28.110681438718494,12.845725803054556,0.005,0.9975928348458539,-29.17721852478236,-36.31540484824433,7.138186323461966,0.0125,0.9984952463737744,-19.953261074828866,-49.51510560888957,29.561844534060704,0.01,0.9993023841217343,-24.326973173597864,-45.098741536001995,20.77176836240413
