,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.7468609059958179,-90.12035401117902,-133.97940008672037,43.85904607554136,0.005,0.9144588614423514,-91.80073129871812,-106.16749357911614,14.36676228039802,0.005,0.13235602015936582,-92.52795766734545,-107.3773630922763,14.84940542493085,0.005,-0.09065032880385247,-96.31313440970744,-97.9700965646927,1.6569621549852513
3.0,0.005,0.182431914051156,-55.472479077399335,-61.17719323959281,5.704714162193476,0.005,-0.18634602759090205,-57.850504213924616,-66.92347717540721,9.072972961482598,0.005,0.42772267119472457,-64.56154645839986,-73.19814518262112,8.636598724221258,0.005,0.4687204395708495,-62.05765770757861,-71.06561104960345,9.007953342024834
4.0,0.005,0.06264715419422509,-31.844077205682552,-84.09975409789942,52.25567689221687,0.005,-0.11143769630132376,-50.45770518170364,-63.44279307222138,12.98508789051774,0.005,0.2380257293478088,-37.15152000635048,-61.21112265108897,24.05960264473849,0.005,0.27377474857996353,-37.43413159686948,-72.04489453472195,34.61076293785247
5.0,0.005,0.07208525771498117,-37.19227975888462,-60.293119971075356,23.10084021219074,0.005,-0.16266513056342582,-49.767567581417076,-53.62987795036379,3.8623103689467158,0.005,0.20179152403756997,-46.66176014991204,-73.63766824149866,26.975908091586618,0.005,0.29742894049303786,-39.516097488646736,-76.06749359428113,36.551396105634396
6.0,0.005,0.35887932581390725,-36.106279373605005,-52.85389721127125,16.747617837666247,0.005,0.5488851622299686,-53.36694272020815,-60.8426515909018,7.475708870693651,0.005,0.4924012273547711,-42.555910463956046,-87.94645780628738,45.39054734233134,0.005,0.4265543479608604,-45.08358230847362,-61.71831077212733,16.63472846365371
7.0,0.005,0.6519119812236633,-27.285089301858527,-37.971253609428445,10.686164307569918,0.005,0.8079190322405563,-47.733195153060564,-47.733195153060564,0.0,0.005,0.5536725223907846,-36.72291584370899,-38.52769935089786,1.8047835071888727,0.005,0.7049266311256516,-29.072841433221775,-42.4025803576453,13.329738924423523
8.0,0.0075,0.30128441244054016,-24.108444222831192,-47.26005805712124,23.15161383429005,0.005,0.6405828073007368,-47.265089873762136,-57.468002758709304,10.202912884947168,0.005,0.31791597689055195,-33.23915192947671,-67.9990965634454,34.75994463396869,0.005,0.3232604090141893,-27.15009233415693,-47.164835995395094,20.014743661238164
9.0,0.005,0.2953964153705793,-31.460737777245285,-55.00285712880832,23.542119351563038,0.005,0.6337962933546077,-44.58002636193151,-50.24654231855176,5.666515956620252,0.005,0.1723094126887173,-37.72383520524631,-63.25977824499999,25.535943039753683,0.005,0.2942532740394936,-33.883223391413416,-45.675323708375345,11.792100316961928
10.0,0.005,0.4043443245583448,-29.435808917501014,-43.88527703224179,14.449468114740775,0.005,0.5173107583873162,-43.960479654951065,-60.02486603359771,16.064386378646645,0.005,0.4514735800765651,-36.11762259505675,-49.655525605176514,13.537903010119763,0.005,0.3732739019505388,-29.18691529512784,-39.25922069634219,10.07230540121435
11.0,0.005,0.3063380227609902,-27.881668764836924,-34.71804819972641,6.836379434889487,0.005,0.7539132861673707,-44.79495308778037,-45.848178891929635,1.053225804149264,0.005,0.04395816692944945,-33.54831204493551,-48.00490894286945,14.456596897933942,0.005,0.42630007380554447,-29.803441399559652,-40.839809181693774,11.036367782134121
12.0,0.005,0.33570879593808856,-28.91395346651288,-56.49552892593631,27.581575459423433,0.005,0.4203333791075445,-44.11595134453685,-56.669885464773635,12.553934120236782,0.005,0.607755201099503,-33.952615912364806,-51.287815867144495,17.33519995477969,0.005,0.17310782586259327,-30.954442637604398,-41.33538455738237,10.380941919777971
13.0,0.005,0.09488501216361916,-31.542199906757663,-42.16155358646644,10.619353679708777,0.005,0.889873085651212,-44.05857799968149,-52.30319331217601,8.244615312494524,0.005,-0.24622522235824967,-38.20484052963212,-50.207912615748995,12.003072086116873,0.005,0.08191825451486388,-34.13029021553139,-40.15732723055269,6.0270370150213
14.0,0.005,0.39741846400409564,-34.230592965780055,-47.90855971879776,13.677966753017706,0.005,0.7082252094206791,-44.56495156888266,-44.56495156888266,0.0,0.005,0.31900620535051427,-42.24939633900871,-75.43807873137932,33.18868239237061,0.005,-0.13164798807267714,-36.74515629080329,-61.41898533984393,24.67382904904064
