,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,0.19651110260325116,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9991837734653459,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6068240070259534,-102.99524725466242,-108.50406881586856,5.5088215612061475,0.005,0.03933555447596217,-96.89473135202951,-106.42872272251805,9.533991370488536
12.0,0.005,0.6706573986741454,-72.24719895935547,-133.97940008672037,61.7322011273649,0.005,0.8157347759927137,-88.73010899028317,-110.62207993770265,21.89197094741948,0.005,0.1756817713944945,-91.70797973614359,-103.43369417494009,11.725714438796501,0.005,-0.04434591579475272,-84.08317979349519,-94.25464172661276,10.17146193311757
13.0,0.005,0.30429298947396033,-68.72537377824186,-80.76657360480111,12.04119982655925,0.005,0.25072277981938057,-85.95872744989055,-85.95872744989055,0.0,0.005,-0.07502536508690344,-88.14452105189076,-92.29832049546893,4.1537994435781656,0.005,0.06124111639858085,-85.09706170638731,-90.94888962080671,5.8518279144194025
14.0,0.005,-0.04408343516424431,-26.275595106262728,-60.48176482250891,34.20616971624618,0.005,0.061971559294914776,-74.00179342856075,-75.73283841900873,1.7310449904479839,0.005,-0.04489553425527399,-47.65632010312456,-55.31412941516683,7.657809312042275,0.005,-0.03556946820986612,-28.684249308094042,-42.112799478200024,13.428550170105982
15.0,0.005,0.38500334379064627,-26.816174845985387,-37.559204108944144,10.743029262958757,0.005,0.7904893810626143,-43.26909765243638,-43.26909765243638,0.0,0.005,0.44408082340325405,-29.289659450020324,-41.62177430256363,12.332114852543306,0.005,0.038973975274346616,-30.93143874320853,-51.46246090103552,20.53102215782699
