,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,0.19838684232393738,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.9004936484413002,-96.91456467546809,-102.81708503411437,5.902520358646285,0.005,0.4451772947008361,-92.20892483230091,-103.44273539672355,11.23381056442264,0.005,0.026655261016342916,-91.86883723963014,-104.34211535914673,12.473278119516593
9.0,0.02,0.9352550066102929,-13.746116553118632,-34.17183810881801,20.425721555699376,0.005,0.9734619176974223,-54.7944482583647,-61.57660636004714,6.782158101682434,0.02,0.9379805818303516,-15.124873022126364,-35.64470721339567,20.519834191269304,0.005,0.8185320060231279,-35.97839610800336,-53.737020002673894,17.758623894670535
10.0,0.0225,0.5955070615011467,-13.216805937278453,-41.273269988708556,28.056464051430105,0.005,0.7643884943269355,-48.95258129397487,-52.07219169413281,3.1196104001579386,0.02,0.6027368686065643,-13.987990810857514,-29.836142409170954,15.84815159831344,0.005,0.06314715330770083,-33.99424766836171,-41.97539790452494,7.981150236163231
11.0,0.015,0.7230867536823528,-16.911508649398307,-25.31036356651046,8.398854917112153,0.005,0.7438735244853715,-44.57004798373255,-69.83401892996552,25.263970946232973,0.015,0.7189599895111768,-17.983957109761473,-70.88517220943471,52.90121509967324,0.005,0.33211596565211693,-37.83826946062644,-61.92506752472072,24.086798064094275
12.0,0.0125,0.8725883465310894,-19.420195952840512,-23.75364890113978,4.333452948299268,0.005,0.6477093314923607,-54.94058789879161,-70.60077595668376,15.66018805789215,0.0125,0.874985824260997,-19.05055120134604,-30.220011884101513,11.169460682755474,0.005,0.4936168572742796,-40.141924710682346,-49.88543496574121,9.743510255058865
13.0,0.01,0.8143250426670101,-20.111512999099972,-29.520716315671613,9.409203316571642,0.005,0.847731932282989,-52.695982629940765,-83.44627458525355,30.750291955312782,0.01,0.8267825994211921,-20.128512545323105,-46.84037637447511,26.71186382915201,0.005,0.24212501825140365,-35.46520559491663,-53.39123103624373,17.9260254413271
14.0,0.0175,0.8411316984703265,-15.712748555975644,-22.65425338396775,6.941504827992105,0.005,0.7713024329396652,-54.72213793731385,-66.61371026712533,11.891572329811474,0.0175,0.8572901557687579,-15.26346855445272,-26.80246967373008,11.53900111927736,0.005,0.008879889608022117,-35.87414238251921,-50.56006647605419,14.685924093534979
