,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0225,0.12269107038823795,-12.501696270231875,-50.05225420509091,37.550557934859036,0.005,0.9980091470790915,-60.36576004706656,-80.98291715288822,20.61715710582166,0.005,0.20044821860475476,-29.052410451652527,-33.305350449501574,4.252939997849047,0.02,0.43086742738600714,-14.719141771990106,-16.536800103578102,1.817658331587996
3.0,0.02,0.0243156734146853,-14.501887770906627,-30.145515019065826,15.643627248159198,0.005,0.4328448865792295,-34.769044242087276,-39.002468623982466,4.23342438189519,0.01,0.09217194545035648,-22.791587899247663,-37.95130776272221,15.159719863474546,0.02,-0.009182752341170757,-14.876531301664489,-35.41671775201061,20.540186450346123
4.0,0.0475,0.10188353157705726,-5.89533313970745,-10.090285405106656,4.1949522653992055,0.03,0.6492746664923036,-11.654935070627857,-11.654935070627857,0.0,0.0325,-0.05698981342110524,-10.12934898131795,-28.89624125674453,18.76689227542658,0.0175,0.052841664714067975,-15.941334382571302,-38.53865348686512,22.59731910429382
5.0,0.07,0.6796936446073218,-2.598660631213857,-9.47798706484144,6.879326433627583,0.055,0.6767636661025236,-5.017378860144945,-18.851678551703642,13.834299691558698,0.0275,0.3035265270109583,-11.923661031658614,-32.07211445904156,20.148453427382943,0.015,0.08607519739921435,-18.172870666484418,-19.47101728344329,1.2981466169588742
6.0,0.055,0.6381244462804017,-4.722961953702031,-21.285555548943563,16.56259359524153,0.0375,0.9653581108277494,-8.812064114259757,-20.26120155144147,11.449137437181713,0.0325,0.023912431325149697,-10.266383020257129,-18.145830733227772,7.879447712970643,0.03,0.037863266980099265,-6.896305924595,-32.34225384305142,25.44594791845642
7.0,0.0525,0.2216407437766607,-4.936035405762318,-21.215149714404816,16.279114308642498,0.0125,0.8102180236028969,-16.80963469017671,-36.3269676149979,19.517332924821186,0.0375,0.14174019704525972,-8.997114143508494,-20.95772015644782,11.960606012939326,0.035,0.022397698178749405,-8.856898546604787,-23.769308504239817,14.91240995763503
8.0,0.075,0.5364218391744539,-2.522841265996032,-23.014227598086382,20.49138633209035,0.035,0.9971145629165045,-9.151808267482549,-27.25380642962776,18.101998162145208,0.04,0.1617597112358795,-8.143257501788309,-19.7672446938305,11.62398719204219,0.035,0.15441800475066078,-9.336417394598657,-15.861147605990046,6.52473021139139
9.0,0.055,0.5048360778206519,-5.541050435568941,-9.922517956120544,4.3814675205516025,0.0225,0.9790823348971829,-13.483364225595366,-18.312591115177852,4.829226889582486,0.03,0.1745608017810527,-9.735620254268618,-23.801775348138662,14.066155093870044,0.03,0.0895594386766055,-10.736167186553754,-43.189059087242114,32.45289190068836
10.0,0.0425,0.5701537161390267,-7.61780715074186,-11.260899907653869,3.643092756912009,0.0225,0.9647410091602312,-13.223420755586346,-27.068977487526567,13.84555673194022,0.02,0.2183919071998195,-14.497339801208666,-25.33435693278465,10.837017131575985,0.03,0.07834100494459274,-10.606607384621,-32.61979667808645,22.01318929346545
11.0,0.0275,0.8099104287628229,-11.419345256190985,-30.528906385223618,19.109561129032635,0.0175,0.9761067828247777,-15.406091723318402,-26.311406468469233,10.90531474515083,0.01,0.6911101030048102,-20.212113600630932,-40.00107728080014,19.788963680169207,0.015,0.42086723336030424,-19.909066933390204,-30.18113647585387,10.272069542463665
12.0,0.0325,0.8427219449806795,-9.28440422933109,-24.223497689651794,14.939093460320704,0.02,0.989374571006956,-14.116298662805097,-27.058148625646794,12.941849962841697,0.01,0.8656173882287354,-20.587186912013948,-26.463449023062772,5.876262111048824,0.0175,0.3488458105898428,-15.879629444745989,-30.092469661102932,14.212840216356943
13.0,0.03,0.7600622430521943,-11.47380242290045,-20.100779738990816,8.626977316090366,0.015,0.9878316055469776,-17.215606986092368,-28.79434372980264,11.578736743710273,0.01,0.8435370475142233,-20.021646788211022,-31.656622973178223,11.6349761849672,0.0175,0.029011488684396878,-15.559412916566648,-22.414826103420943,6.855413186854294
