,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.958181358204737,-32.87753998827678,-47.44870269411245,14.571162705835668,0.005,0.9995991013538518,-42.98371504081857,-42.98371504081857,0.0,0.005,0.8573536991872694,-38.789271889729804,-41.38475385064517,2.5954819609153645,0.005,0.9574200449054917,-40.754439769155184,-59.189571033554174,18.43513126439899
6.0,0.005,0.9506565870311766,-32.433763458035486,-45.44823772546847,13.014474267432988,0.005,0.9994961794290724,-36.544995945932,-36.544995945932,0.0,0.005,0.7918790345739658,-38.22936950858158,-67.87336809523399,29.64399858665241,0.005,0.9099250301233405,-51.09106047411038,-63.85197001467787,12.76090954056749
7.0,0.005,0.9653926641261101,-35.629012968426615,-57.63962958760263,22.010616619176012,0.005,0.9995165311906583,-36.10275848987299,-43.357242940586914,7.254484450713925,0.005,0.8497207335193929,-44.90470580101679,-56.380769222571566,11.476063421554777,0.005,0.8590023368279427,-52.666214691736684,-62.75423585343806,10.088021161701377
8.0,0.0125,0.9915705671083138,-18.902810990476762,-30.90206117459249,11.999250184115727,0.005,0.9996584575626914,-41.855712017055254,-44.619455961495895,2.763743944440641,0.01,0.9954090612281495,-22.080736719407412,-28.973261443363963,6.8925247239565515,0.005,0.9805457469986765,-27.991704975050954,-31.458829335261427,3.467124360210473
9.0,0.0275,0.9897390602642694,-11.881512790824868,-32.117878114370846,20.23636532354598,0.005,0.9997029017790422,-26.766622638035578,-26.876644318874003,0.11002168083842534,0.015,0.9993342274417722,-17.99151752560458,-24.561682729433855,6.570165203829276,0.015,0.980753504313625,-17.84319801245577,-49.174418966587616,31.331220954131847
10.0,0.0225,0.9877442223029821,-13.030651160037149,-40.88316447801559,27.85251331797844,0.005,0.9989995710411212,-26.890664951919767,-53.56528966269615,26.674624710776385,0.0125,0.9989170421179464,-19.174395082848083,-102.5721326246491,83.39773754180102,0.015,0.978101301694775,-18.81017161540843,-44.9965360488271,26.186364433418674
11.0,0.015,0.9840929068783432,-16.961807775532616,-41.74630281861858,24.784495043085965,0.005,0.999479834046857,-30.39443009424049,-56.78341607006695,26.388985975826458,0.01,0.9978959541821836,-23.42395630404518,-45.125376174954006,21.701419870908826,0.01,0.973860455145802,-20.772351818661296,-37.07632789751515,16.303976078853854
12.0,0.01,0.9813049343323345,-20.238632444712863,-47.89752007507736,27.658887630364497,0.005,0.9993357074415584,-35.61395863847292,-51.87180579036077,16.257847151887844,0.0075,0.9947379904486471,-23.64834219758842,-36.55386381737373,12.905521619785311,0.01,0.973056150775432,-24.186375343692745,-81.42601044820721,57.23963510451446
13.0,0.005,0.9856097419162718,-26.043957655266425,-32.16077148370263,6.116813828436207,0.005,0.9988880302728013,-42.5711167507025,-55.886302923648365,13.315186172945864,0.005,0.9933541869353886,-32.693954388304924,-45.9732033501793,13.279248961874373,0.005,0.9867100020508238,-30.514898263325357,-54.75120843917644,24.23631017585108
14.0,0.0125,0.983936032424987,-18.672280218041397,-62.3501985257536,43.677918307712204,0.005,0.9989580348460831,-43.769517211902425,-84.24294664416752,40.47342943226509,0.01,0.9935056157708617,-24.853353316269803,-40.07671690595601,15.223363589686208,0.01,0.9778411269139221,-22.0031060228477,-41.734073616231356,19.730967593383657
