,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.9078050200053428,-55.823481307178575,-90.30899869919435,34.48551739201577,0.005,0.9204154230770849,-59.68087511162835,-67.83741882789624,8.15654371626789,0.005,0.9367459964192671,-56.283121475376035,-68.00993572765196,11.726814252275929,0.005,0.7624984966734623,-73.36529508782738,-86.68270941087316,13.317414323045782
3.0,0.005,0.86745636316835,-56.32959861247397,-80.76657360480111,24.436974992327137,0.005,0.9474850187668898,-60.2737697538084,-60.62239303522478,0.3486232814163799,0.005,0.8432464093630081,-61.836258197651574,-92.52767046790996,30.691412270258382,0.005,0.7019675056120463,-74.78770282834299,-80.48701286647301,5.699310038130022
4.0,0.005,0.7756463736543372,-57.43994516947061,-90.30899869919435,32.869053529723736,0.005,0.9336353397839678,-60.6229765178235,-75.96191160750767,15.33893508968417,0.005,0.6637898481706861,-61.50423522921285,-78.69255303462666,17.188317805413803,0.005,0.618630316587295,-78.14573920384883,-99.40321313376693,21.257473929918092
5.0,0.005,0.7834051124321993,-57.844012891236346,-61.06103874121523,3.2170258499788815,0.005,0.9093884068463537,-61.67318274725489,-64.96655009080267,3.2933673435477786,0.005,0.6313102442610213,-62.56427760442284,-92.18235057802247,29.618072973599624,0.005,0.6913544263585998,-78.25424677141842,-82.49958651709477,4.245339745676347
6.0,0.005,0.8313160888723792,-57.24474842368748,-84.28839878591472,27.04365036222724,0.005,0.9300729695021848,-61.44372481559295,-89.33697359092656,27.89324877533361,0.005,0.7448504396168681,-62.604207930936425,-81.1089870134607,18.50477908252428,0.005,0.7926096493191974,-79.92580379491831,-89.93292174419061,10.007117949272299
7.0,0.005,0.8349651360255981,-53.16234877056899,-59.18294868384861,6.020599913279618,0.005,0.9461021335055124,-59.352924122500745,-75.74595239559339,16.393028273092646,0.005,0.8116436673237398,-55.767114862280195,-68.7815851147769,13.014470252496707,0.005,0.7015730664340315,-73.67854580959735,-75.81329051155853,2.134744701961182
8.0,0.005,-0.26193752376043,-42.009531739778,-59.18294868384861,17.17341694407061,0.005,-0.4328956475298353,-43.86243049592067,-54.01936174256448,10.156931246643808,0.005,-0.019031004228975315,-46.680130215576426,-86.14946133568309,39.46933112010666,0.005,0.4123611221959735,-68.23767318538005,-90.374536442868,22.13686325748796
9.0,0.005,0.11610702906652905,-51.7206201849085,-90.30899869919435,38.58837851428585,0.005,-0.3457853440632745,-49.53465557477578,-86.78538609181561,37.25073051703983,0.005,0.2084558801643445,-57.584983194207844,-72.33192280304573,14.746939608837884,0.005,0.2957642741552412,-73.95782737067395,-92.70578373722124,18.747956366547285
10.0,0.005,0.054481608381511566,-39.231338166316874,-50.39629480724336,11.164956640926484,0.005,-0.6458796649924491,-45.23317495926748,-56.39287278751145,11.15969782824397,0.005,-0.6101146951109955,-44.764880058833754,-44.93538687905972,0.17050682022596675,0.005,0.9968071737866318,-50.80236880418491,-57.74702220076919,6.944653396584279
11.0,0.005,0.32993197014792813,-35.80710827756498,-46.33585696010591,10.528748682540929,0.005,-0.1155191716498375,-43.25626655021017,-49.268764129880644,6.012497579670473,0.005,0.15593270141654628,-41.745173629477925,-57.631078393380434,15.88590476390251,0.005,0.9943804171507732,-44.013092649144234,-62.825324444748475,18.81223179560424
12.0,0.005,0.1326368289394987,-33.59518726934584,-38.57725260575926,4.98206533641342,0.005,0.4880446766147594,-42.569819316490715,-60.58573844002253,18.015919123531816,0.005,-0.2647496102384242,-36.38628441676142,-42.71008551035564,6.32380109359422,0.005,0.9812527391732911,-42.68775921052602,-61.069420370646206,18.38166116012019
13.0,0.005,0.08293300296980151,-27.129693491526155,-46.33585696010591,19.206163468579753,0.005,0.6644739330044293,-45.57726706226162,-74.1070830893763,28.529816027114684,0.005,-0.401748454316456,-28.32721831391741,-52.2974571222036,23.970238808286194,0.005,0.9651732847257148,-41.29974428554563,-44.0165131845276,2.716768898981968
14.0,0.0075,0.3411748913038084,-25.408621284439295,-45.90683693839325,20.498215653953952,0.005,0.045702281884000884,-48.11476117874698,-57.563997237771304,9.449236059024322,0.005,-0.05488300259714986,-27.67782777958056,-72.39894146668908,44.72111368710852,0.005,0.9511522501776669,-39.535554140464725,-56.1379489244872,16.602394784022472
