,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,-0.22490704910915374,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.687980645750294,-100.83435895674162,-100.83435895674162,0.0,0.005,-0.5897731703015272,-81.36163923506906,-93.19113699979239,11.829497764723328,0.005,0.48597951245245946,-81.17843423685657,-88.22811438228013,7.049680145423551
5.0,0.005,0.15524449794925077,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.8164247192871145,-92.68311908795638,-118.10771031901243,25.42459123105604,0.005,0.1013650153266454,-79.70975198657138,-93.81499733759713,14.105245351025758,0.005,0.35682574552095236,-82.44069498463632,-89.63533949655991,7.194644511923585
6.0,0.005,0.09088171927402745,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.6485465023776961,-95.67999791489717,-106.97247221836304,11.292474303465866,0.005,0.046518634811779196,-78.54616030892628,-114.87025215903252,36.32409185010624,0.005,0.22645236924508147,-81.92399074189454,-99.03745188826412,17.113461146369573
7.0,0.005,0.6971615101744504,-64.73392668013777,-64.73392668013777,0.0,0.005,0.5116971917461755,-90.96192102521249,-90.96192102521249,0.0,0.005,0.6041884597357391,-71.02769130619438,-86.60633482609182,15.57864351989744,0.005,0.46154596124216574,-72.96352987167205,-97.16202636042885,24.198496488756803
8.0,0.1,0.9548521734468705,-0.009547849113171927,-21.046075964667367,21.036528115554194,0.095,0.9976211388491268,-0.13467000171585175,-13.516037188383383,13.38136718666753,0.0675,0.9927344406486382,-3.3484402689546258,-19.792382544856196,16.44394227590157,0.05,0.30951253281898333,-5.841429479437981,-31.966389625835966,26.124960146397985
9.0,0.1,0.9948606339908487,-0.0002650763603796191,-9.708344600470934,9.708079524110554,0.1,0.9980593172149033,-0.06549152434872049,-2.1816401772884237,2.116148652939703,0.02,0.9732925801580063,-15.154897690649653,-50.72413996300435,35.56924227235469,0.01,0.2502560842022378,-22.702739824846706,-71.84006304860026,49.137323223753555
10.0,0.0525,0.9892489206144978,-4.455904095234628,-14.293282892639105,9.837378797404478,0.0825,0.9925146500592378,-1.8726170514747063,-12.895861970440855,11.02324491896615,0.02,0.9817866301006558,-14.943251988623771,-36.88828788822066,21.94503589959689,0.005,0.8799184395001032,-28.26617241947146,-50.556317518715716,22.290145099244256
11.0,0.0575,0.9338793933528715,-3.844781997641427,-13.611687101193597,9.76690510355217,0.045,0.989061451593555,-7.388418725558425,-17.108274276460417,9.719855550901993,0.015,0.987330497396648,-16.41031728078291,-31.53553612985409,15.125218849071182,0.0375,0.7452725910028241,-8.095963394933019,-27.46972086436649,19.37375746943347
12.0,0.035,0.9760820791063307,-9.247429829525963,-15.211334134151004,5.963904304625041,0.025,0.9900561929272829,-11.434476260071643,-19.01585302872481,7.581376768653167,0.0075,0.9844419306629884,-24.809847756444295,-42.57894603326129,17.769098276816994,0.01,0.8301139330060417,-20.598155887834505,-47.25529935631472,26.657143468480218
13.0,0.025,0.9641489879087862,-12.268940872179769,-19.21921549911798,6.95027462693821,0.0275,0.9978741767136784,-10.96715365696575,-24.989641279831183,14.022487622865432,0.005,0.9844261124036278,-29.933651450896917,-37.39846760737723,7.46481615648031,0.015,0.262998695534743,-16.983297438611913,-27.425173073906173,10.44187563529426
14.0,0.04,0.7925739978036394,-7.914645517084459,-16.646256069534218,8.731610552449759,0.02,0.9966193243018455,-14.56444646135637,-17.004259633781835,2.439813172425465,0.005,0.9182342551063376,-30.66435705923276,-48.215968627216256,17.551611567983496,0.015,0.2656700066392528,-17.690156685687274,-59.071004492344194,41.38084780665692
